selection_id,dataset_id,url,status,error_type,error_message,retry_count,processed_at
RSO01T2,RSO01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RSO01T2,success,,,0,2025-05-24T09:39:33.834077
RSO001,RSO01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RSO001,success,,,0,2025-05-24T09:39:33.882658
OBY05B01T02,OBY05B01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/OBY05B01T02,success,,,0,2025-05-24T09:39:33.883662
OBY05B01T01,OBY05B01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/OBY05B01T01,success,,,0,2025-05-24T09:39:34.009979
OBY05B02T02,OBY05B02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/OBY05B02T02,success,,,0,2025-05-24T09:39:34.059730
OBY05B02T01,OBY05B02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/OBY05B02T01,success,,,0,2025-05-24T09:39:34.124797
OBY05B03T01,OBY05B03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/OBY05B03T01,success,,,0,2025-05-24T09:39:34.183333
OBY05B03T02,OBY05B03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/OBY05B03T02,success,,,0,2025-05-24T09:39:34.345602
MZDQ1T2,MZDQ1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDQ1T2,success,,,0,2025-05-24T09:39:34.416040
MZDQ1T1,MZDQ1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDQ1T1,success,,,0,2025-05-24T09:39:34.427569
MZDQ1T4,MZDQ1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDQ1T4,success,,,0,2025-05-24T09:39:56.237406
MZDQ1T3,MZDQ1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDQ1T3,success,,,0,2025-05-24T09:39:56.243845
MZDQ1T5,MZDQ1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDQ1T5,success,,,0,2025-05-24T09:39:56.243845
SLD050T01,SLD050,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD050T01,success,,,0,2025-05-24T09:39:56.426443
SLD050T02,SLD050,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD050T02,success,,,0,2025-05-24T09:39:56.440251
SLD051T01,SLD051,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD051T01,success,,,0,2025-05-24T09:39:56.578491
SLD052T01,SLD052,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD052T01,success,,,0,2025-05-24T09:39:57.298497
WFIN02A,WFIN02A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WFIN02A,success,,,0,2025-05-24T09:39:57.323178
SLD051T02,SLD051,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD051T02,success,,,0,2025-05-24T09:39:57.332131
SLD054T02,SLD054,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD054T02,success,,,0,2025-05-24T09:39:57.487752
CRU01RT3,CRU01R,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRU01RT3,success,,,0,2025-05-24T09:40:18.174065
CRU01RT1,CRU01R,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRU01RT1,success,,,0,2025-05-24T09:40:18.174065
CRU01RT2,CRU01R,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRU01RT2,success,,,0,2025-05-24T09:40:18.174065
CRU01RT4,CRU01R,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRU01RT4,success,,,0,2025-05-24T09:40:18.350243
SLD053T01,SLD053,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD053T01,success,,,0,2025-05-24T09:40:18.355658
SLD053T02,SLD053,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD053T02,success,,,0,2025-05-24T09:40:18.364796
SLD056T03,SLD056,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD056T03,success,,,0,2025-05-24T09:40:18.529057
SLD055T01,SLD055,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD055T01,success,,,0,2025-05-24T09:40:18.539669
WOBYG,WOBYG,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WOBYG,success,,,0,2025-05-24T09:40:18.595500
WZEM02AT01,WZEM02A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WZEM02AT01,success,,,0,2025-05-24T09:40:18.708695
WCRU05T1,WCRU05,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU05T1,success,,,0,2025-05-24T09:40:41.964981
WCRU05G,WCRU05,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU05G,success,,,0,2025-05-24T09:40:42.020982
RSO03,RSO03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RSO03,success,,,0,2025-05-24T09:40:42.126718
RSO03K,RSO03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RSO03K,success,,,0,2025-05-24T09:40:42.257623
WCRU01T2,WCRU01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU01T2,success,,,0,2025-05-24T09:40:42.417994
WCRU01G,WCRU01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU01G,success,,,0,2025-05-24T09:40:42.443132
WCRU01T1,WCRU01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU01T1,success,,,0,2025-05-24T09:40:42.500140
WCRU01M,WCRU01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU01M,success,,,0,2025-05-24T09:40:42.590271
RESDP03,RESDP03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP03,success,,,0,2025-05-24T09:40:42.617692
WCRU02T1,WCRU02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU02T1,success,,,0,2025-05-24T09:40:42.709713
WCRU02M,WCRU02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU02M,success,,,0,2025-05-24T09:41:02.263483
WCRU02G,WCRU02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU02G,success,,,0,2025-05-24T09:41:02.434234
SLD005AT01,SLD005A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD005AT01,success,,,0,2025-05-24T09:41:02.459243
WCRU02T2,WCRU02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WCRU02T2,success,,,0,2025-05-24T09:41:02.462682
RESDP02T1,RESDP02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP02T1,success,,,0,2025-05-24T09:41:02.623912
RESDP01T2,RESDP01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP01T2,success,,,0,2025-05-24T09:41:02.660767
RESDP01T1,RESDP01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP01T1,success,,,0,2025-05-24T09:41:02.660767
RESDP00T1,RESDP00,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP00T1,success,,,0,2025-05-24T09:41:04.576285
RESDP01T3,RESDP01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP01T3,success,,,0,2025-05-24T09:41:04.576285
RESDP00T2,RESDP00,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP00T2,success,,,0,2025-05-24T09:41:04.576285
SZB08A,SZB08A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SZB08A,success,,,0,2025-05-24T09:41:24.306968
RESDP00T3,RESDP00,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP00T3,success,,,0,2025-05-24T09:41:24.322718
SZB08AA,SZB08A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SZB08AA,success,,,0,2025-05-24T09:41:24.341206
SLD040T01,SLD040,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD040T01,success,,,0,2025-05-24T09:41:25.485454
STAV501AT2,STAV501A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/STAV501AT2,success,,,0,2025-05-24T09:41:25.489475
STAV501AT1,STAV501A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/STAV501AT1,success,,,0,2025-05-24T09:41:25.633680
WSLU03T1,WOBC03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WSLU03T1,success,,,0,2025-05-24T09:41:25.675646
WOBC03T1,WOBC03,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WOBC03T1,success,,,0,2025-05-24T09:41:25.675646
WZEM03AT01,WZEM03A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WZEM03AT01,success,,,0,2025-05-24T09:41:27.177553
SLD042T01,SLD042,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD042T01,success,,,0,2025-05-24T09:41:27.215511
SLD042T03,SLD042,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD042T03,success,,,0,2025-05-24T09:41:45.547811
SLD041T02,SLD041,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD041T02,success,,,0,2025-05-24T09:41:45.845776
SLD042T02,SLD042,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD042T02,success,,,0,2025-05-24T09:41:46.193735
SLD041T01,SLD041,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD041T01,success,,,0,2025-05-24T09:41:46.197019
SLD043T01,SLD043,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD043T01,success,,,0,2025-05-24T09:41:46.362954
SLD043T02,SLD043,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD043T02,success,,,0,2025-05-24T09:41:46.367514
SLD044T01,SLD044,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD044T01,success,,,0,2025-05-24T09:41:46.377508
SLD044T02,SLD044,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD044T02,success,,,0,2025-05-24T09:41:46.542150
SLD045T02,SLD045,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD045T02,success,,,0,2025-05-24T09:41:46.549812
WZEM03BT01,WZEM03B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WZEM03BT01,success,,,0,2025-05-24T09:41:46.904852
SLD047T02,SLD047,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD047T02,success,,,0,2025-05-24T09:42:05.756777
SLD046T01,SLD046,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD046T01,success,,,0,2025-05-24T09:42:05.756777
SLD047T01,SLD047,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD047T01,success,,,0,2025-05-24T09:42:05.760808
SLD049T01,SLD049,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD049T01,success,,,0,2025-05-24T09:42:05.947829
RES01QOBCE,RES01QOBCE,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RES01QOBCE,success,,,0,2025-05-24T09:42:05.948908
SLD046T02,SLD046,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD046T02,success,,,0,2025-05-24T09:42:05.950954
CRUHVD2,CRUHVD2,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRUHVD2,success,,,0,2025-05-24T09:42:10.389108
CRUHVD3,CRUHVD3,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRUHVD3,success,,,0,2025-05-24T09:42:10.399779
SLD048T01,SLD048,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/SLD048T01,success,,,0,2025-05-24T09:42:10.419698
CRUHVD1T1,CRUHVD1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRUHVD1T1,success,,,0,2025-05-24T09:42:10.562805
CRUHVD1T3,CRUHVD1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRUHVD1T3,success,,,0,2025-05-24T09:42:35.000531
CRUHVD1T2,CRUHVD1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/CRUHVD1T2,success,,,0,2025-05-24T09:42:35.193622
RESDP04,RESDP04,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RESDP04,success,,,0,2025-05-24T09:42:35.203266
ENE01WENET1,ENE01,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/ENE01WENET1,success,,,0,2025-05-24T09:42:35.255509
ENE02T3,ENE02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/ENE02T3,success,,,0,2025-05-24T09:42:35.366684
ENE02T5,ENE02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/ENE02T5,success,,,0,2025-05-24T09:42:35.422401
RES04ROBCET1,RES04ROBCE,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/RES04ROBCET1,success,,,0,2025-05-24T09:42:35.573221
FIN03NEBANKZAM,FIN03NEBANK,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/FIN03NEBANKZAM,success,,,0,2025-05-24T09:42:35.602428
ENE02T4,ENE02,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/ENE02T4,success,,,0,2025-05-24T09:42:35.610639
FIN03NEBANKAKT,FIN03NEBANK,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/FIN03NEBANKAKT,success,,,0,2025-05-24T09:42:35.747760
FIN03NEBANKFA,FIN03NEBANK,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/FIN03NEBANKFA,success,,,0,2025-05-24T09:42:55.188617
FIN03NEBANKPAS,FIN03NEBANK,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/FIN03NEBANKPAS,success,,,0,2025-05-24T09:42:55.196856
