Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;únor 2022;Změny dokončených staveb;3515
Česko;Počet vydaných stavebních povolení - budovy;leden 2022;Celkem;3899
Česko;Počet vydaných stavebních povolení - budovy;leden 2022;Nová výstavba;2143
Česko;Počet vydaných stavebních povolení - budovy;leden 2022;Změny dokončených staveb;1756
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2021;Celkem;52601
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2021;Nová výstavba;27532
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2021;Změny dokončených staveb;25069
Česko;Počet vydaných stavebních povolení - budovy;listopad 2021;Celkem;47920
Česko;Počet vydaných stavebních povolení - budovy;listopad 2021;Nová výstavba;24946
Česko;Počet vydaných stavebních povolení - budovy;listopad 2021;Změny dokončených staveb;22974
Česko;Počet vydaných stavebních povolení - budovy;říjen 2021;Celkem;43683
Česko;Počet vydaných stavebních povolení - budovy;říjen 2021;Nová výstavba;22664
Česko;Počet vydaných stavebních povolení - budovy;říjen 2021;Změny dokončených staveb;21019
Česko;Počet vydaných stavebních povolení - budovy;září 2021;Celkem;39294
Česko;Počet vydaných stavebních povolení - budovy;září 2021;Nová výstavba;20319
Česko;Počet vydaných stavebních povolení - budovy;září 2021;Změny dokončených staveb;18975
Česko;Počet vydaných stavebních povolení - budovy;srpen 2021;Celkem;34976
Česko;Počet vydaných stavebních povolení - budovy;srpen 2021;Nová výstavba;18023
Česko;Počet vydaných stavebních povolení - budovy;srpen 2021;Změny dokončených staveb;16953
Česko;Počet vydaných stavebních povolení - budovy;červenec 2021;Celkem;30231
Česko;Počet vydaných stavebních povolení - budovy;červenec 2021;Nová výstavba;15559
Česko;Počet vydaných stavebních povolení - budovy;červenec 2021;Změny dokončených staveb;14672
Česko;Počet vydaných stavebních povolení - budovy;červen 2021;Celkem;25810
Česko;Počet vydaných stavebních povolení - budovy;červen 2021;Nová výstavba;13169
Česko;Počet vydaných stavebních povolení - budovy;červen 2021;Změny dokončených staveb;12641
Česko;Počet vydaných stavebních povolení - budovy;květen 2021;Celkem;20882
Česko;Počet vydaných stavebních povolení - budovy;květen 2021;Nová výstavba;10676
Česko;Počet vydaných stavebních povolení - budovy;květen 2021;Změny dokončených staveb;10206
Česko;Počet vydaných stavebních povolení - budovy;duben 2021;Celkem;15605
