Území;CZ NACE;Ukazatel;Roky;value
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2021;437238.938203768
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2022;520389.514281215
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2008;98285.7683590797
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2009;93805.5230967958
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2010;91815.7095078279
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2011;89730.0401580061
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2012;86726.7355391663
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2013;85400.4963771413
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2014;87520.0329052322
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2015;92765.5875889309
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2016;100849.450103076
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2017;110595.067155264
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2018;120914.941765086
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2019;129664.040001637
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2020;127309.556864949
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2021;133366.821585368
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2022;144785.243092984
Česko;49 až 53 Sekce H - Doprava a skladování;Osobní náklady (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2008;69869.5693317626
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2009;66708.9442136572
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2010;64452.2143601531
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2011;63212.7895262786
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2012;61498.8828086857
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2013;59841.5353589061
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2014;61572.1489996431
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2015;65278.6198037875
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2016;70851.3325808432
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2017;77617.6059964451
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2018;84930.1027838518
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2019;91164.9153916571
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2020;88770.950112878
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2021;89596.2967853269
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2022;98595.7833301948
Česko;49 až 53 Sekce H - Doprava a skladování;Mzdy bez OON (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2008;129064.202991776
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2009;120345.824971801
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2010;134884.095507507
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2011;132130.456644709
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2012;129604.538326106
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2013;128981.329783289
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2014;139031.59216862
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2015;153573.686080367
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2016;158536.633453451
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2017;166685.001219288
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2018;175017.878182029
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2019;180929.722072471
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2020;164406.465277586
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2021;179019.457460649
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2022;202043.621978279
Česko;49 až 53 Sekce H - Doprava a skladování;Přidaná hodnota (mil. Kč);2023;
