Ukazatel;Roky;SO ORP;Velikostní skupina obcí;value
Počet obyvatel;2024;Votice;méně než 200;
Počet obyvatel;2024;Votice;200 až 499;
Počet obyvatel;2024;Votice;500 až 999;
Počet obyvatel;2024;Votice;1 000 až 1 9999;
Počet obyvatel;2024;Votice;2 000 až 4 999;
Počet obyvatel;2024;Votice;5 000 až 9 9999;
Počet obyvatel;2024;Votice;10 000 až 19 999;
Počet obyvatel;2024;Votice;20 000 až 49 999;
Počet obyvatel;2024;Votice;50 000 až 99 999;
Počet obyvatel;2024;Votice;100 000 a více;
Počet obyvatel;2024;Blatná;Celkem;13838.0
Počet obyvatel;2024;Blatná;méně než 200;
Počet obyvatel;2024;Blatná;200 až 499;
Počet obyvatel;2024;Blatná;500 až 999;
Počet obyvatel;2024;Blatná;1 000 až 1 9999;
Počet obyvatel;2024;Blatná;2 000 až 4 999;
Počet obyvatel;2024;Blatná;5 000 až 9 9999;
Počet obyvatel;2024;Blatná;10 000 až 19 999;
Počet obyvatel;2024;Blatná;20 000 až 49 999;
Počet obyvatel;2024;Blatná;50 000 až 99 999;
Počet obyvatel;2024;Blatná;100 000 a více;
Počet obyvatel;2024;České Budějovice;Celkem;168393.0
Počet obyvatel;2024;České Budějovice;méně než 200;
Počet obyvatel;2024;České Budějovice;200 až 499;
Počet obyvatel;2024;České Budějovice;500 až 999;
Počet obyvatel;2024;České Budějovice;1 000 až 1 9999;
Počet obyvatel;2024;České Budějovice;2 000 až 4 999;
Počet obyvatel;2024;České Budějovice;5 000 až 9 9999;
Počet obyvatel;2024;České Budějovice;10 000 až 19 999;
Počet obyvatel;2024;České Budějovice;20 000 až 49 999;
Počet obyvatel;2024;České Budějovice;50 000 až 99 999;
Počet obyvatel;2024;České Budějovice;100 000 a více;
Počet obyvatel;2024;Český Krumlov;Celkem;41551.0
Počet obyvatel;2024;Český Krumlov;méně než 200;
Počet obyvatel;2024;Český Krumlov;200 až 499;
Počet obyvatel;2024;Český Krumlov;500 až 999;
Počet obyvatel;2024;Český Krumlov;1 000 až 1 9999;
Počet obyvatel;2024;Český Krumlov;2 000 až 4 999;
Počet obyvatel;2024;Český Krumlov;5 000 až 9 9999;
