Kraje,Ukazatel,Roky,value
Hlavní město Praha,Saldo migrace,2062,9971.6130389865
Hlavní město Praha,Saldo migrace,2063,9982.4849407059
Hlavní město Praha,Saldo migrace,2064,9987.8708294808
Hlavní město Praha,Saldo migrace,2065,9987.2420176642
Hlavní město Praha,Saldo migrace,2066,9980.6782588819
Hlavní město Praha,Saldo migrace,2067,9968.9538174616
Hlavní město Praha,Saldo migrace,2068,9952.0486479219
Hlavní město Praha,Saldo migrace,2069,9930.5083630126
Hlavní město Praha,Saldo migrace,2070,9905.4315237808
Hlavní město Praha,Saldo migrace,2071,9877.010637229
Hlavní město Praha,Saldo migrace,2072,9845.0342316159
Hlavní město Praha,Saldo migrace,2073,9809.7674759898
Hlavní město Praha,Saldo migrace,2074,9771.5257112376
Hlavní město Praha,Saldo migrace,2075,9729.9032665751
Hlavní město Praha,Saldo migrace,2076,9685.2127774306
Hlavní město Praha,Saldo migrace,2077,9638.0402427249
Hlavní město Praha,Saldo migrace,2078,9589.3746301698
Hlavní město Praha,Saldo migrace,2079,9540.3746598431
Hlavní město Praha,Saldo migrace,2080,9492.6028849315
Hlavní město Praha,Saldo migrace,2081,
Hlavní město Praha,Celkový přírůstek,2025,-4237.5201056446
Hlavní město Praha,Celkový přírůstek,2026,-4173.5508561992
Hlavní město Praha,Celkový přírůstek,2027,-4095.3108849464
Hlavní město Praha,Celkový přírůstek,2028,10125.7278060138
Hlavní město Praha,Celkový přírůstek,2029,10430.6616657818
Hlavní město Praha,Celkový přírůstek,2030,10753.4436296545
Hlavní město Praha,Celkový přírůstek,2031,10866.2004123598
Hlavní město Praha,Celkový přírůstek,2032,10998.777766776
Hlavní město Praha,Celkový přírůstek,2033,11146.3349370764
Hlavní město Praha,Celkový přírůstek,2034,11306.3697630505
Hlavní město Praha,Celkový přírůstek,2035,11474.7484981438
Hlavní město Praha,Celkový přírůstek,2036,11646.6367453887
Hlavní město Praha,Celkový přírůstek,2037,11820.5851093733
Hlavní město Praha,Celkový přírůstek,2038,11991.8949006946
Hlavní město Praha,Celkový přírůstek,2039,12153.2598432872
Hlavní město Praha,Celkový přírůstek,2040,12299.6321009989
Hlavní město Praha,Celkový přírůstek,2041,12426.3905880334
Hlavní město Praha,Celkový přírůstek,2042,12530.1991626601
Hlavní město Praha,Celkový přírůstek,2043,12607.9971796022
Hlavní město Praha,Celkový přírůstek,2044,12657.5701191022
Hlavní město Praha,Celkový přírůstek,2045,12677.3938478261
Hlavní město Praha,Celkový přírůstek,2046,12665.4044702511
Hlavní město Praha,Celkový přírůstek,2047,12618.4405454068
Hlavní město Praha,Celkový přírůstek,2048,12534.3081672062
Hlavní město Praha,Celkový přírůstek,2049,12413.9283127663
Hlavní město Praha,Celkový přírůstek,2050,12259.4609806364
Hlavní město Praha,Celkový přírůstek,2051,12057.8635822599
Hlavní město Praha,Celkový přírůstek,2052,11825.0239153553
Hlavní město Praha,Celkový přírůstek,2053,11564.7667220207
Hlavní město Praha,Celkový přírůstek,2054,11285.4151786765
Hlavní město Praha,Celkový přírůstek,2055,10997.6174207194
Hlavní město Praha,Celkový přírůstek,2056,10712.3202428979
Hlavní město Praha,Celkový přírůstek,2057,10438.8775755125
Hlavní město Praha,Celkový přírůstek,2058,10185.8197096443
Hlavní město Praha,Celkový přírůstek,2059,9958.5793426474
Hlavní město Praha,Celkový přírůstek,2060,9760.0178637962
Hlavní město Praha,Celkový přírůstek,2061,9586.4892973494
Hlavní město Praha,Celkový přírůstek,2062,9439.5974204035
Hlavní město Praha,Celkový přírůstek,2063,9317.4085055323
Hlavní město Praha,Celkový přírůstek,2064,9217.6429385835
Hlavní město Praha,Celkový přírůstek,2065,9137.1274281002
Hlavní město Praha,Celkový přírůstek,2066,9072.0340912137
Hlavní město Praha,Celkový přírůstek,2067,9020.2025621834
Hlavní město Praha,Celkový přírůstek,2068,8980.5542732226
Hlavní město Praha,Celkový přírůstek,2069,8953.545153595
Hlavní město Praha,Celkový přírůstek,2070,8940.5462764386
Hlavní město Praha,Celkový přírůstek,2071,8941.6411721939
Hlavní město Praha,Celkový přírůstek,2072,8956.8460197541
Hlavní město Praha,Celkový přírůstek,2073,8985.647088039
Hlavní město Praha,Celkový přírůstek,2074,9024.6853667739
Hlavní město Praha,Celkový přírůstek,2075,9067.8335893699
Hlavní město Praha,Celkový přírůstek,2076,9108.3965601178
Hlavní město Praha,Celkový přírůstek,2077,9139.6504438988
Hlavní město Praha,Celkový přírůstek,2078,9155.766904056
Hlavní město Praha,Celkový přírůstek,2079,9152.7641062693
Hlavní město Praha,Celkový přírůstek,2080,9128.772143306
Hlavní město Praha,Celkový přírůstek,2081,
Hlavní město Praha,Hrubá míra porodnosti (‰),2025,8.2999364311
Hlavní město Praha,Hrubá míra porodnosti (‰),2026,8.3656857866
Hlavní město Praha,Hrubá míra porodnosti (‰),2027,8.4469681811
Hlavní město Praha,Hrubá míra porodnosti (‰),2028,8.5571707955
Hlavní město Praha,Hrubá míra porodnosti (‰),2029,8.6991944997
Hlavní město Praha,Hrubá míra porodnosti (‰),2030,8.8651962581
Hlavní město Praha,Hrubá míra porodnosti (‰),2031,8.8918359824
Hlavní město Praha,Hrubá míra porodnosti (‰),2032,8.9429557604
Hlavní město Praha,Hrubá míra porodnosti (‰),2033,9.0148614375
Hlavní město Praha,Hrubá míra porodnosti (‰),2034,9.1032539299
Hlavní město Praha,Hrubá míra porodnosti (‰),2035,9.203208426
Hlavní město Praha,Hrubá míra porodnosti (‰),2036,9.3091029314
Hlavní město Praha,Hrubá míra porodnosti (‰),2037,9.4154273579
Hlavní město Praha,Hrubá míra porodnosti (‰),2038,9.5165533743
Hlavní město Praha,Hrubá míra porodnosti (‰),2039,9.6073356663
Hlavní město Praha,Hrubá míra porodnosti (‰),2040,9.6830052862
Hlavní město Praha,Hrubá míra porodnosti (‰),2041,9.7392486169
Hlavní město Praha,Hrubá míra porodnosti (‰),2042,9.7737752107
Hlavní město Praha,Hrubá míra porodnosti (‰),2043,9.785853346
Hlavní město Praha,Hrubá míra porodnosti (‰),2044,9.7762179928
Hlavní město Praha,Hrubá míra porodnosti (‰),2045,9.7466748378
Hlavní město Praha,Hrubá míra porodnosti (‰),2046,9.699582439
Hlavní město Praha,Hrubá míra porodnosti (‰),2047,9.6369335897
Hlavní město Praha,Hrubá míra porodnosti (‰),2048,9.5600216131
Hlavní město Praha,Hrubá míra porodnosti (‰),2049,9.4697874531
Hlavní město Praha,Hrubá míra porodnosti (‰),2050,9.3673675916
Hlavní město Praha,Hrubá míra porodnosti (‰),2051,9.2447122802
Hlavní město Praha,Hrubá míra porodnosti (‰),2052,9.111987985
Hlavní město Praha,Hrubá míra porodnosti (‰),2053,8.9714941338
Hlavní město Praha,Hrubá míra porodnosti (‰),2054,8.8273597289
Hlavní město Praha,Hrubá míra porodnosti (‰),2055,8.6859006184
Hlavní město Praha,Hrubá míra porodnosti (‰),2056,8.5540331755
Hlavní město Praha,Hrubá míra porodnosti (‰),2057,8.437398531
Hlavní město Praha,Hrubá míra porodnosti (‰),2058,8.3403908441
Hlavní město Praha,Hrubá míra porodnosti (‰),2059,8.2664014443
Hlavní město Praha,Hrubá míra porodnosti (‰),2060,8.2171294002
Hlavní město Praha,Hrubá míra porodnosti (‰),2061,8.1914539338
Hlavní město Praha,Hrubá míra porodnosti (‰),2062,8.1864460599
Hlavní město Praha,Hrubá míra porodnosti (‰),2063,8.1994618788
Hlavní město Praha,Hrubá míra porodnosti (‰),2064,8.2280128838
Hlavní město Praha,Hrubá míra porodnosti (‰),2065,8.2690290751
Hlavní město Praha,Hrubá míra porodnosti (‰),2066,8.3188265228
Hlavní město Praha,Hrubá míra porodnosti (‰),2067,8.3737008423
Hlavní město Praha,Hrubá míra porodnosti (‰),2068,8.4304537241
Hlavní město Praha,Hrubá míra porodnosti (‰),2069,8.4865039205
Hlavní město Praha,Hrubá míra porodnosti (‰),2070,8.5398048129
Hlavní město Praha,Hrubá míra porodnosti (‰),2071,8.5884326968
Hlavní město Praha,Hrubá míra porodnosti (‰),2072,8.6310661265
Hlavní město Praha,Hrubá míra porodnosti (‰),2073,8.6668573433
Hlavní město Praha,Hrubá míra porodnosti (‰),2074,8.6949472065
Hlavní město Praha,Hrubá míra porodnosti (‰),2075,8.7145967968
Hlavní město Praha,Hrubá míra porodnosti (‰),2076,8.7252544923
Hlavní město Praha,Hrubá míra porodnosti (‰),2077,8.7267247423
Hlavní město Praha,Hrubá míra porodnosti (‰),2078,8.7190551203
Hlavní město Praha,Hrubá míra porodnosti (‰),2079,8.7025191146
Hlavní město Praha,Hrubá míra porodnosti (‰),2080,8.6775860561
Hlavní město Praha,Hrubá míra porodnosti (‰),2081,
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2025,8.7411814735
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2026,8.8174334396
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2027,8.8977627244
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2028,8.9652407093
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2029,8.9904061929
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2030,9.0163476904
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2031,9.0409182268
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2032,9.0627837057
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2033,9.0799393219
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2034,9.0900752523
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2035,9.0914247782
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2036,9.0826486682
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2037,9.0622787901
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2038,9.0299007107
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2039,8.9854217798
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2040,8.9282378523
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2041,8.8586931369
