Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2021,34844.2465647493
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2022,37625.5451359998
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2023,40402.5221792664
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2008,23045.170874452
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2009,23613.8760757879
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2010,23817.9514965869
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2011,24356.6609676963
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2012,24826.7195819356
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2013,24688.0816332274
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2014,25247.6527923542
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2015,26093.0074891609
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2016,27136.2917664557
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2017,28886.9197522666
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2018,31144.4820010465
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2019,33789.7828880993
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2020,35546.9752103549
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2021,36785.2143482334
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2022,39927.6711836463
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2023,42719.9092358652
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2008,2380454.93509597
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2009,2246580.33120923
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2010,2272765.00148325
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2011,2335918.54904539
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2012,2336247.78396451
