Ukazatel,Území,Typ údaje,Odvětví,Měsíce,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",prosinec 2022,140.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",leden 2023,149.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",únor 2023,148.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",březen 2023,147.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",duben 2023,145.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",květen 2023,144.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",červen 2023,143.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",červenec 2023,143.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",srpen 2023,143.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",září 2023,144.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",říjen 2023,144.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",listopad 2023,144.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",prosinec 2023,143.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",leden 2024,147.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",únor 2024,148.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",březen 2024,148.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",duben 2024,148.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",květen 2024,146.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",červen 2024,145.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",červenec 2024,146.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",srpen 2024,146.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",září 2024,145.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",říjen 2024,145.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",listopad 2024,146.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",prosinec 2024,147.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",leden 2025,147.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",únor 2025,147.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",březen 2025,147.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",duben 2025,145.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",květen 2025,144.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",červen 2025,144.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",červenec 2025,144.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",srpen 2025,144.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2000,79.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2000,79.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2000,80.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2000,79.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2000,80.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2000,80.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2000,80.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2000,80.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2000,81.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2000,82.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2000,82.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2000,82.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2001,82.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2001,83.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2001,83.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2001,82.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2001,82.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2001,83.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2001,82.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2001,82.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2001,82.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2001,83.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2001,82.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2001,82.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2002,82.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2002,82.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2002,83.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2002,82.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2002,82.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2002,82.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2002,81.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2002,81.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2002,81.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2002,82.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2002,82.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2002,82.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2003,82.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2003,82.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2003,82.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2003,81.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2003,81.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2003,81.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2003,81.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2003,81.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2003,81.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2003,82.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2003,82.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2003,82.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2004,83.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2004,83.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2004,84.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2004,84.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2004,85.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2004,86.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2004,87.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2004,87.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2004,88.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2004,89.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2004,89.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2004,88.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2005,89.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2005,89.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2005,89.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2005,89.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2005,88.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2005,88.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2005,88.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2005,88.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2005,89.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2005,89.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2005,89.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2005,88.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2006,89.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2006,89.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2006,89.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2006,89.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2006,90.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2006,90.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2006,90.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2006,91.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2006,91.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2006,91.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2006,90.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2006,90.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2007,91.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2007,92.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2007,92.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2007,93.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2007,93.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2007,94.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2007,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2007,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2007,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2007,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2007,95.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2007,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2008,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2008,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2008,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2008,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2008,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2008,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2008,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2008,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2008,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2008,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2008,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2008,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2009,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2009,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2009,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2009,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2009,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2009,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2009,94.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2009,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2009,94.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2009,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2009,94.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2009,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2010,94.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2010,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2010,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2010,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2010,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2010,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2010,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2010,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2010,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2010,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2010,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2010,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2011,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2011,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2011,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2011,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2011,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2011,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2011,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2011,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2011,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2011,101.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2011,102.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2011,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2012,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2012,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2012,103.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2012,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2012,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2012,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2012,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2012,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2012,103.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,listopad 2012,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,prosinec 2012,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,leden 2013,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,únor 2013,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,březen 2013,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,duben 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,květen 2013,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červen 2013,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,červenec 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,srpen 2013,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,září 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,říjen 2013,103.7
