Stát;Kumulace měsíců;Ukazatel;Směr výstavby;value
Česko;01-10 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-10 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-09 2019;Počet stavebních povolení v ČR;Celkem;64436.0
Česko;01-09 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-09 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy;Celkem;36172.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;18435.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;17737.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;23907.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;13588.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;10319.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;12265.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;4847.0
Česko;01-09 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;7418.0
Česko;01-09 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-09 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-09 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-09 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;298588.0
Česko;01-09 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-09 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-09 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;193431.0
Česko;01-09 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;130435.0
Česko;01-09 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;62996.0
Česko;01-09 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;97917.0
Česko;01-09 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;79161.0
Česko;01-09 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;18756.0
Česko;01-09 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;95514.0
Česko;01-09 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;51274.0
Česko;01-09 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;44240.0
Česko;01-09 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-09 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-09 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-08 2019;Počet stavebních povolení v ČR;Celkem;56930.0
Česko;01-08 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-08 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy;Celkem;32072.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;16340.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;15732.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;21279.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;12084.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;9195.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;10793.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;4256.0
Česko;01-08 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;6537.0
Česko;01-08 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-08 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-08 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-08 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;265630.0
Česko;01-08 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-08 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-08 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;170314.0
Česko;01-08 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;113638.0
Česko;01-08 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;56676.0
Česko;01-08 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;84529.0
Česko;01-08 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;67639.0
Česko;01-08 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;16890.0
Česko;01-08 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;85785.0
Česko;01-08 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;45999.0
Česko;01-08 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;39786.0
Česko;01-08 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-08 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-08 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-07 2019;Počet stavebních povolení v ČR;Celkem;49556.0
Česko;01-07 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-07 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy;Celkem;27972.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;14219.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;13753.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;18556.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;10522.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;8034.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;9416.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;3697.0
Česko;01-07 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;5719.0
Česko;01-07 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-07 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-07 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-07 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;230344.0
Česko;01-07 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-07 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-07 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;145893.0
Česko;01-07 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;96302.0
Česko;01-07 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;49591.0
Česko;01-07 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;73813.0
Česko;01-07 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;59246.0
Česko;01-07 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;14567.0
Česko;01-07 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;72080.0
Česko;01-07 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;37056.0
Česko;01-07 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;35024.0
Česko;01-07 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-07 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-07 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-06 2019;Počet stavebních povolení v ČR;Celkem;41990.0
Česko;01-06 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-06 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy;Celkem;23605.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;11987.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;11618.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;15667.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;8895.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;6772.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;7938.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;3092.0
Česko;01-06 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;4846.0
Česko;01-06 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-06 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-06 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-06 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;198538.0
Česko;01-06 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-06 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-06 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;125040.0
Česko;01-06 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;83601.0
Česko;01-06 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;41439.0
Česko;01-06 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;63166.0
Česko;01-06 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;50898.0
Česko;01-06 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;12268.0
Česko;01-06 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;61874.0
Česko;01-06 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;32703.0
Česko;01-06 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;29171.0
Česko;01-06 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-06 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-06 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-05 2019;Počet stavebních povolení v ČR;Celkem;34635.0
Česko;01-05 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-05 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy;Celkem;19418.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;9782.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;9636.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;12827.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;7209.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;5618.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;6591.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;2573.0
Česko;01-05 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;4018.0
Česko;01-05 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-05 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-05 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-05 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;159016.0
Česko;01-05 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-05 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-05 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;102271.0
Česko;01-05 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;69031.0
Česko;01-05 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;33240.0
Česko;01-05 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;52894.0
Česko;01-05 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;42708.0
Česko;01-05 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;10186.0
Česko;01-05 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;49377.0
Česko;01-05 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;26323.0
Česko;01-05 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;23054.0
Česko;01-05 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-05 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-05 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-04 2019;Počet stavebních povolení v ČR;Celkem;26788.0
Česko;01-04 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-04 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy;Celkem;14927.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;7537.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;7390.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;9879.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;5586.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;4293.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;5048.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;1951.0
Česko;01-04 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;3097.0
Česko;01-04 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-04 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-04 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-04 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;126406.0
Česko;01-04 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-04 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-04 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;79149.0
Česko;01-04 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;53456.0
Česko;01-04 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;25693.0
Česko;01-04 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;41854.0
Česko;01-04 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;33852.0
Česko;01-04 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;8002.0
Česko;01-04 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;37295.0
Česko;01-04 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;19604.0
Česko;01-04 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;17691.0
Česko;01-04 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-04 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-04 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-03 2019;Počet stavebních povolení v ČR;Celkem;19413.0
Česko;01-03 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-03 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy;Celkem;10728.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;5371.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;5357.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;7021.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;3970.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;3051.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;3707.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;1401.0
Česko;01-03 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;2306.0
Česko;01-03 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-03 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-03 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-03 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;91613.0
Česko;01-03 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-03 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-03 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;58015.0
Česko;01-03 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;38688.0
Česko;01-03 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;19327.0
Česko;01-03 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;30920.0
Česko;01-03 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;25241.0
Česko;01-03 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;5679.0
Česko;01-03 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;27095.0
Česko;01-03 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;13447.0
Česko;01-03 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;13648.0
Česko;01-03 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-03 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-03 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-02 2019;Počet stavebních povolení v ČR;Celkem;12174.0
Česko;01-02 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-02 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy;Celkem;6547.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;3182.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;3365.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;4253.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;2328.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1925.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;2294.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;854.0
Česko;01-02 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;1440.0
Česko;01-02 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-02 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-02 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-02 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;56557.0
Česko;01-02 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-02 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-02 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;35494.0
Česko;01-02 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;23182.0
Česko;01-02 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;12312.0
Česko;01-02 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;16921.0
Česko;01-02 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;13455.0
Česko;01-02 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3466.0
Česko;01-02 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;18573.0
Česko;01-02 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;9727.0
Česko;01-02 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;8846.0
Česko;01-02 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01-02 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-02 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01 2019;Počet stavebních povolení v ČR;Celkem;6078.0
Česko;01 2019;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01 2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01 2019;Počet vydaných stavebních povolení - budovy;Celkem;3296.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;1623.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1673.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;2153.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;1182.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;971.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1143.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;441.0
Česko;01 2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;702.0
Česko;01 2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01 2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01 2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;30839.0
Česko;01 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01 2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;17497.0
Česko;01 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;12158.0
Česko;01 2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;5339.0
Česko;01 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;9052.0
Česko;01 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;7218.0
Česko;01 2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1834.0
Česko;01 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;8445.0
Česko;01 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;4940.0
Česko;01 2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;3505.0
Česko;01 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;01 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01 2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-12 2018;Počet stavebních povolení v ČR;Celkem;81174.0
Česko;01-12 2018;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-12 2018;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy;Celkem;47115.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy;Nová výstavba;23240.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;23875.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy bytové;Celkem;30702.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;17260.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;13442.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy nebytové;Celkem;16413.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;5980.0
Česko;01-12 2018;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;10433.0
Česko;01-12 2018;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;01-12 2018;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-12 2018;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-12 2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;358058.0
Česko;01-12 2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-12 2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-12 2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;224619.0
Česko;01-12 2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;146502.0
