Ukazatel;Území;Roky;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2016;4636.015
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2015;6781.729
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2014;6958.183
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2013;5023.424
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2012;5656.493
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2011;7413.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2010;11130.721
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2009;11596.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2008;9662.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2007;9678.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2006;8538.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2005;9834.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2004;8580.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2003;7419.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2002;6138.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2001;5184.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2000;4886.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;1999;5752.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;1998;6054.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2023;26588.255
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2022;27117.172
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2021;23386.905
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2020;23024.469
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2019;21561.243
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2018;19236.853
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2017;15984.588
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2016;15354.135
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2015;15635.383
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2014;14465.653
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2013;16779.555
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2012;15844.725
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2011;22527.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2010;22886.83
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2009;26129.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2008;23198.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2007;25997.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2006;22296.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2005;21341.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2004;18570.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2003;18102.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2002;18670.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2001;16399.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;2000;13326.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;1999;13658.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Ústecký kraj;1998;13841.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2023;11745.318
