Stát;Roky;Ukazatel;Směr výstavby;value
Česko;2018;Počet vydaných stavebních povolení - budovy;Nová výstavba;23240.0
Česko;2018;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;23875.0
Česko;2018;Počet vydaných stavebních povolení - budovy bytové;Celkem;30702.0
Česko;2018;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;17260.0
Česko;2018;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;13442.0
Česko;2018;Počet vydaných stavebních povolení - budovy nebytové;Celkem;16413.0
Česko;2018;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;5980.0
Česko;2018;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;10433.0
Česko;2018;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;2018;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2018;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;358058.0
Česko;2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;224619.0
Česko;2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;146502.0
Česko;2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;78117.0
Česko;2018;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;102719.0
Česko;2018;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;80455.0
Česko;2018;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;22264.0
Česko;2018;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;121900.0
Česko;2018;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;66047.0
Česko;2018;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;55853.0
Česko;2018;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;2018;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2018;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2017;Počet stavebních povolení v ČR;Celkem;84164.0
Česko;2017;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2017;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2017;Počet vydaných stavebních povolení - budovy;Celkem;49850.0
Česko;2017;Počet vydaných stavebních povolení - budovy;Nová výstavba;23510.0
Česko;2017;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;26340.0
Česko;2017;Počet vydaných stavebních povolení - budovy bytové;Celkem;32069.0
Česko;2017;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;17194.0
Česko;2017;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;14875.0
Česko;2017;Počet vydaných stavebních povolení - budovy nebytové;Celkem;17781.0
Česko;2017;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;6316.0
Česko;2017;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;11465.0
Česko;2017;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;2017;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2017;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2017;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;352939.0
Česko;2017;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2017;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2017;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;232027.0
Česko;2017;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;149724.0
Česko;2017;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;82303.0
Česko;2017;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;102795.0
Česko;2017;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;79356.0
Česko;2017;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;23439.0
Česko;2017;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;129232.0
Česko;2017;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;70368.0
Česko;2017;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;58864.0
Česko;2017;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;2017;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2017;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2016;Počet stavebních povolení v ČR;Celkem;83340.0
Česko;2016;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2016;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2016;Počet vydaných stavebních povolení - budovy;Celkem;49231.0
Česko;2016;Počet vydaných stavebních povolení - budovy;Nová výstavba;21301.0
Česko;2016;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;27930.0
Česko;2016;Počet vydaných stavebních povolení - budovy bytové;Celkem;31002.0
Česko;2016;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;14790.0
Česko;2016;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;16212.0
Česko;2016;Počet vydaných stavebních povolení - budovy nebytové;Celkem;18229.0
Česko;2016;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;6511.0
Česko;2016;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;11718.0
Česko;2016;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;2016;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2016;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2016;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;284307.0
Česko;2016;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2016;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2016;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;195530.0
Česko;2016;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;118040.0
Česko;2016;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;77490.0
Česko;2016;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;85951.0
Česko;2016;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;63892.0
Česko;2016;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;22059.0
Česko;2016;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;109579.0
Česko;2016;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;54148.0
Česko;2016;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;55431.0
Česko;2016;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;2016;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2016;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2015;Počet stavebních povolení v ČR;Celkem;80478.0
Česko;2015;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2015;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2015;Počet vydaných stavebních povolení - budovy;Celkem;45675.0
Česko;2015;Počet vydaných stavebních povolení - budovy;Nová výstavba;18819.0
Česko;2015;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;26856.0
Česko;2015;Počet vydaných stavebních povolení - budovy bytové;Celkem;28886.0
Česko;2015;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;12926.0
Česko;2015;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;15960.0
Česko;2015;Počet vydaných stavebních povolení - budovy nebytové;Celkem;16789.0
Česko;2015;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;5893.0
Česko;2015;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;10896.0
Česko;2015;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;2015;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2015;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2015;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;254891.0
Česko;2015;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2015;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2015;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;160223.0
Česko;2015;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;97642.0
Česko;2015;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;62581.0
Česko;2015;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;81568.0
Česko;2015;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;60232.0
Česko;2015;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;21336.0
Česko;2015;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;78655.0
Česko;2015;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;37410.0
Česko;2015;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;41245.0
Česko;2015;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;2015;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2015;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2014;Počet stavebních povolení v ČR;Celkem;79357.0
Česko;2014;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2014;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2014;Počet vydaných stavebních povolení - budovy;Celkem;45654.0
Česko;2014;Počet vydaných stavebních povolení - budovy;Nová výstavba;18109.0
Česko;2014;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;27545.0
Česko;2014;Počet vydaných stavebních povolení - budovy bytové;Celkem;28127.0
Česko;2014;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;11929.0
Česko;2014;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;16198.0
Česko;2014;Počet vydaných stavebních povolení - budovy nebytové;Celkem;17527.0
Česko;2014;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;6180.0
Česko;2014;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;11347.0
Česko;2014;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;2014;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2014;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
