Ukazatel,Typ údaje,Území,CZ-COICOP,Měsíce,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,duben 2025,152.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,květen 2025,154.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,červen 2025,155.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,červenec 2025,155.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,srpen 2025,155.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,srpen 2024,136.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,září 2024,134.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,říjen 2024,134.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,listopad 2024,135.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,prosinec 2024,135.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,leden 2025,136.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,únor 2025,136.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,březen 2025,135.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,duben 2025,135.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,květen 2025,134.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,červen 2025,135.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,červenec 2025,135.9
