Území;Ukazatel;Typ ceny;Očištění;CZCPA;Čtvrtletí;value
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2020;11862.747493
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2020;9161.652467
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2020;10045.826241
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2020;10793.659274
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2019;9355.522361
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2019;8365.075296
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2019;9122.932516
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2019;9533.728864
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2018;9662.912325
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2018;8630.199911
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2018;7976.867807
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2018;8913.172454
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2017;9237.130727
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2017;8006.509641
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2017;10227.808723
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2017;11979.880596
