Území;Kumulace čtvrtletí;Ukazatel;value
Česko;Q1 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.8
Česko;Q1 2003;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);14500.0
Česko;Q1 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.6
Česko;Q1-Q2 2003;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3823.4
Česko;Q1-Q2 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.9
Česko;Q1-Q2 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);15761.0
Česko;Q1-Q2 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.2
Česko;Q1-Q2 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3950.7
Česko;Q1-Q2 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.8
Česko;Q1-Q2 2003;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15253.0
Česko;Q1-Q2 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.3
Česko;Q1-Q3 2003;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3831.1
Česko;Q1-Q3 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0
Česko;Q1-Q3 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);15871.0
Česko;Q1-Q3 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.9
Česko;Q1-Q3 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3956.9
Česko;Q1-Q3 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.8
Česko;Q1-Q3 2003;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15366.0
Česko;Q1-Q3 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.1
Česko;Q1-Q4 2003;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3837.4
Česko;Q1-Q4 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0
Česko;Q1-Q4 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);16430.0
Česko;Q1-Q4 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.8
Česko;Q1-Q4 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3963.7
Česko;Q1-Q4 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.8
Česko;Q1-Q4 2003;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15906.0
Česko;Q1-Q4 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.0
Česko;Q1 2004;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3789.2
Česko;Q1 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.5
Česko;Q1 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);16231.0
Česko;Q1 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.3
Česko;Q1 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3910.2
Česko;Q1 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.4
Česko;Q1 2004;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15729.0
