Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Roky;value
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2020;102.0
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2021;103.8
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2022;105.2
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2023;103.3
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2024;104.9
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2015;100.2
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2016;98.6
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2017;98.5
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2018;100.4
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2019;102.5
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2020;104.1
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2021;100.1
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2022;105.2
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2023;103.9
Index vývozních cen (%);Meziroční index;Česko;Stroje a zařízení j. n.;2024;105.0
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2015;99.8
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2016;98.2
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2017;97.1
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2018;98.4
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2019;101.8
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2020;103.1
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2021;101.5
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2022;99.5
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2023;102.4
Index vývozních cen (%);Meziroční index;Česko;Motorová vozidla (kromě motocyklů), přívěsy a návěsy;2024;106.6
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2015;102.7
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2016;96.9
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2017;97.6
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2018;100.3
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2019;102.2
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2020;98.8
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2021;96.2
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2022;117.0
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2023;111.2
Index vývozních cen (%);Meziroční index;Česko;Ostatní dopravní prostředky a zařízení;2024;112.9
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2015;99.7
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2016;99.6
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2017;97.6
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2018;96.8
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2019;100.0
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2020;101.9
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2021;98.7
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2022;105.0
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2023;100.9
Index vývozních cen (%);Meziroční index;Česko;Nábytek;2024;112.3
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2015;101.2
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2016;98.2
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2017;101.1
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2018;99.7
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2019;102.0
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2020;103.1
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2021;99.4
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2022;102.1
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2023;103.4
Index vývozních cen (%);Meziroční index;Česko;Ostatní výrobky zpracovatelského průmyslu;2024;102.2
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2015;90.0
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2016;89.8
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2017;104.3
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2018;109.2
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2019;101.8
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2020;97.8
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2021;180.4
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2022;227.1
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2023;104.3
Index vývozních cen (%);Meziroční index;Česko;Elektřina, plyn, pára a klimatizovaný vzduch;2024;94.6
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2015;88.9
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2016;87.7
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2017;121.9
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2018;102.0
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2019;88.8
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2020;95.3
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2021;164.1
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2022;108.0
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2023;80.0
Index vývozních cen (%);Meziroční index;Česko;"Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití";2024;107.9
