Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu členěné;Ukazatel;Rezidence;value
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Počet hostů;Nerezidenti;50826.0
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Počet přenocování;Celkem;632103.0
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Počet přenocování;Rezidenti;464159.0
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Počet přenocování;Nerezidenti;167944.0
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Průměrný počet přenocování ;Celkem;3.9645195685
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Průměrný počet přenocování ;Rezidenti;4.2734730329
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Průměrný počet přenocování ;Nerezidenti;3.3042930783
2023;HUZ celkem;Západočeské lázně;Počet hostů;Celkem;1170657.0
2023;HUZ celkem;Západočeské lázně;Počet hostů;Rezidenti;522232.0
2023;HUZ celkem;Západočeské lázně;Počet hostů;Nerezidenti;648425.0
2023;HUZ celkem;Západočeské lázně;Počet přenocování;Celkem;4417515.0
2023;HUZ celkem;Západočeské lázně;Počet přenocování;Rezidenti;1902575.0
2023;HUZ celkem;Západočeské lázně;Počet přenocování;Nerezidenti;2514940.0
2023;HUZ celkem;Západočeské lázně;Průměrný počet přenocování ;Celkem;3.7735348612
2023;HUZ celkem;Západočeské lázně;Průměrný počet přenocování ;Rezidenti;3.643160511
2023;HUZ celkem;Západočeské lázně;Průměrný počet přenocování ;Nerezidenti;3.8785364537
2023;HUZ celkem;Postřelí - Karlovarský kraj;Počet hostů;Celkem;17782.0
2023;HUZ celkem;Postřelí - Karlovarský kraj;Počet hostů;Rezidenti;13721.0
2023;HUZ celkem;Postřelí - Karlovarský kraj;Počet hostů;Nerezidenti;4061.0
2023;HUZ celkem;Postřelí - Karlovarský kraj;Počet přenocování;Celkem;44797.0
2023;HUZ celkem;Postřelí - Karlovarský kraj;Počet přenocování;Rezidenti;34599.0
2023;HUZ celkem;Postřelí - Karlovarský kraj;Počet přenocování;Nerezidenti;10198.0
2023;HUZ celkem;Postřelí - Karlovarský kraj;Průměrný počet přenocování ;Celkem;2.5192329322
2023;HUZ celkem;Postřelí - Karlovarský kraj;Průměrný počet přenocování ;Rezidenti;2.5216092122
2023;HUZ celkem;Postřelí - Karlovarský kraj;Průměrný počet přenocování ;Nerezidenti;2.5112041369
2023;HUZ celkem;České Středohoří;Počet hostů;Celkem;144390.0
