Roky;Realizace stavby;Území;Ukazatel;value
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";1715.518
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";2256.271
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";4394.329
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";6567.378
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";242.953
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";1940.9
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";7928.411
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";49314.11
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";10268.845
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";8395.429
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";7982.132
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";17083.949
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";943.14
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";4640.615
2023;Místo realizace stavby;Jihomoravský kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";23064.489
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";21349.223
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";2358.536
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";3284.074
