Ukazatel;ČR a kraje;Věkové skupiny (pětileté);Roky;value
Přistěhovalí;Česko;35 - 39;2005;6732.0
Přistěhovalí;Česko;35 - 39;2004;5679.0
Přistěhovalí;Česko;35 - 39;2003;5969.0
Přistěhovalí;Česko;35 - 39;2002;4748.0
Přistěhovalí;Česko;35 - 39;2001;1379.0
Přistěhovalí;Česko;35 - 39;2000;760.0
Přistěhovalí;Česko;40 - 44;2024;
Přistěhovalí;Česko;40 - 44;2023;13138.0
Přistěhovalí;Česko;40 - 44;2022;30081.0
Přistěhovalí;Česko;40 - 44;2021;6548.0
Přistěhovalí;Česko;40 - 44;2020;5018.0
Přistěhovalí;Česko;40 - 44;2019;5807.0
Přistěhovalí;Česko;40 - 44;2018;4857.0
Přistěhovalí;Česko;40 - 44;2017;3466.0
Přistěhovalí;Česko;40 - 44;2016;2399.0
Přistěhovalí;Česko;40 - 44;2015;2074.0
Přistěhovalí;Česko;40 - 44;2014;2900.0
Přistěhovalí;Česko;40 - 44;2013;1985.0
Přistěhovalí;Česko;40 - 44;2012;2165.0
Přistěhovalí;Česko;40 - 44;2011;1231.0
Přistěhovalí;Česko;40 - 44;2010;1775.0
Přistěhovalí;Česko;40 - 44;2009;2609.0
Přistěhovalí;Česko;40 - 44;2008;5765.0
Přistěhovalí;Česko;40 - 44;2007;9022.0
Přistěhovalí;Česko;40 - 44;2006;6528.0
Přistěhovalí;Česko;40 - 44;2005;5782.0
Přistěhovalí;Česko;40 - 44;2004;5295.0
Přistěhovalí;Česko;40 - 44;2003;5449.0
Přistěhovalí;Česko;40 - 44;2002;4109.0
Přistěhovalí;Česko;40 - 44;2001;1173.0
Přistěhovalí;Česko;40 - 44;2000;561.0
Přistěhovalí;Česko;45 - 49;2024;
Přistěhovalí;Česko;45 - 49;2023;10700.0
Přistěhovalí;Česko;45 - 49;2022;23644.0
Přistěhovalí;Česko;45 - 49;2021;5236.0
Přistěhovalí;Česko;45 - 49;2020;3814.0
Přistěhovalí;Česko;45 - 49;2019;4359.0
Přistěhovalí;Česko;45 - 49;2018;3495.0
Přistěhovalí;Česko;45 - 49;2017;2467.0
Přistěhovalí;Česko;45 - 49;2016;1733.0
Přistěhovalí;Česko;45 - 49;2015;1601.0
Přistěhovalí;Česko;45 - 49;2014;2285.0
Přistěhovalí;Česko;45 - 49;2013;1475.0
Přistěhovalí;Česko;45 - 49;2012;1744.0
Přistěhovalí;Česko;45 - 49;2011;1025.0
Přistěhovalí;Česko;45 - 49;2010;1370.0
Přistěhovalí;Česko;45 - 49;2009;2073.0
Přistěhovalí;Česko;45 - 49;2008;4454.0
Přistěhovalí;Česko;45 - 49;2007;7308.0
Přistěhovalí;Česko;45 - 49;2006;5122.0
Přistěhovalí;Česko;45 - 49;2005;4356.0
Přistěhovalí;Česko;45 - 49;2004;4014.0
Přistěhovalí;Česko;45 - 49;2003;4395.0
Přistěhovalí;Česko;45 - 49;2002;3113.0
Přistěhovalí;Česko;45 - 49;2001;854.0
Přistěhovalí;Česko;45 - 49;2000;541.0
Přistěhovalí;Česko;50 - 54;2024;
Přistěhovalí;Česko;50 - 54;2023;7856.0
Přistěhovalí;Česko;50 - 54;2022;16170.0
Přistěhovalí;Česko;50 - 54;2021;3193.0
Přistěhovalí;Česko;50 - 54;2020;2405.0
Přistěhovalí;Česko;50 - 54;2019;2548.0
Přistěhovalí;Česko;50 - 54;2018;2198.0
Přistěhovalí;Česko;50 - 54;2017;1459.0
Přistěhovalí;Česko;50 - 54;2016;1211.0
Přistěhovalí;Česko;50 - 54;2015;1149.0
Přistěhovalí;Česko;50 - 54;2014;1829.0
Přistěhovalí;Česko;50 - 54;2013;1124.0
Přistěhovalí;Česko;50 - 54;2012;1255.0
Přistěhovalí;Česko;50 - 54;2011;659.0
Přistěhovalí;Česko;50 - 54;2010;914.0
Přistěhovalí;Česko;50 - 54;2009;1381.0
Přistěhovalí;Česko;50 - 54;2008;2743.0
Přistěhovalí;Česko;50 - 54;2007;4217.0
Přistěhovalí;Česko;50 - 54;2006;2806.0
Přistěhovalí;Česko;50 - 54;2005;2576.0
Přistěhovalí;Česko;50 - 54;2004;2574.0
Přistěhovalí;Česko;50 - 54;2003;2698.0
Přistěhovalí;Česko;50 - 54;2002;1983.0
Přistěhovalí;Česko;50 - 54;2001;609.0
Přistěhovalí;Česko;50 - 54;2000;495.0
Přistěhovalí;Česko;55 - 59;2024;
Přistěhovalí;Česko;55 - 59;2023;4798.0
Přistěhovalí;Česko;55 - 59;2022;10104.0
Přistěhovalí;Česko;55 - 59;2021;1716.0
Přistěhovalí;Česko;55 - 59;2020;1402.0
Přistěhovalí;Česko;55 - 59;2019;1388.0
Přistěhovalí;Česko;55 - 59;2018;1151.0
Přistěhovalí;Česko;55 - 59;2017;931.0
Přistěhovalí;Česko;55 - 59;2016;788.0
Přistěhovalí;Česko;55 - 59;2015;712.0
Přistěhovalí;Česko;55 - 59;2014;1094.0
Přistěhovalí;Česko;55 - 59;2013;689.0
Přistěhovalí;Česko;55 - 59;2012;801.0
Přistěhovalí;Česko;55 - 59;2011;457.0
Přistěhovalí;Česko;55 - 59;2010;687.0
Přistěhovalí;Česko;55 - 59;2009;700.0
Přistěhovalí;Česko;55 - 59;2008;1493.0
Přistěhovalí;Česko;55 - 59;2007;2079.0
Přistěhovalí;Česko;55 - 59;2006;1396.0
Přistěhovalí;Česko;55 - 59;2005;1247.0
Přistěhovalí;Česko;55 - 59;2004;1332.0
Přistěhovalí;Česko;55 - 59;2003;1356.0
Přistěhovalí;Česko;55 - 59;2002;982.0
Přistěhovalí;Česko;55 - 59;2001;343.0
Přistěhovalí;Česko;55 - 59;2000;332.0
Přistěhovalí;Česko;60 - 64;2024;
Přistěhovalí;Česko;60 - 64;2023;4965.0
Přistěhovalí;Česko;60 - 64;2022;9672.0
Přistěhovalí;Česko;60 - 64;2021;864.0
Přistěhovalí;Česko;60 - 64;2020;719.0
Přistěhovalí;Česko;60 - 64;2019;653.0
Přistěhovalí;Česko;60 - 64;2018;653.0
Přistěhovalí;Česko;60 - 64;2017;558.0
Přistěhovalí;Česko;60 - 64;2016;527.0
Přistěhovalí;Česko;60 - 64;2015;518.0
Přistěhovalí;Česko;60 - 64;2014;647.0
Přistěhovalí;Česko;60 - 64;2013;496.0
Přistěhovalí;Česko;60 - 64;2012;492.0
Přistěhovalí;Česko;60 - 64;2011;353.0
Přistěhovalí;Česko;60 - 64;2010;495.0
Přistěhovalí;Česko;60 - 64;2009;486.0
Přistěhovalí;Česko;60 - 64;2008;749.0
Přistěhovalí;Česko;60 - 64;2007;800.0
Přistěhovalí;Česko;60 - 64;2006;406.0
Přistěhovalí;Česko;60 - 64;2005;529.0
Přistěhovalí;Česko;60 - 64;2004;612.0
Přistěhovalí;Česko;60 - 64;2003;503.0
Přistěhovalí;Česko;60 - 64;2002;416.0
Přistěhovalí;Česko;60 - 64;2001;221.0
Přistěhovalí;Česko;60 - 64;2000;260.0
Přistěhovalí;Česko;65 - 69;2024;
Přistěhovalí;Česko;65 - 69;2023;2460.0
Přistěhovalí;Česko;65 - 69;2022;5493.0
Přistěhovalí;Česko;65 - 69;2021;463.0
Přistěhovalí;Česko;65 - 69;2020;409.0
Přistěhovalí;Česko;65 - 69;2019;375.0
Přistěhovalí;Česko;65 - 69;2018;375.0
Přistěhovalí;Česko;65 - 69;2017;400.0
Přistěhovalí;Česko;65 - 69;2016;385.0
Přistěhovalí;Česko;65 - 69;2015;397.0
