Ukazatel;Druh nemovitosti;Typ údaje;Území;Roky;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2022;261.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2023;251.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2016;109.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2017;128.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2018;139.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2019;148.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2020;173.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2021;227.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2022;274.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Moravskoslezský kraj;2023;253.9
