Regiony;Roky (regiony soudržnosti);Pohlaví;Věk (roky);Ukazatel;value
Střední Čechy;2023;muži;23;Naděje dožití (ex);54.38631874
Střední Čechy;2023;muži;24;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;24;Počet obyvatel (Px);6288.0
Střední Čechy;2023;muži;24;Míra úmrtnosti (mx);0.000690546
Střední Čechy;2023;muži;24;Pravděpodobnost úmrtí (qx);0.000690308
Střední Čechy;2023;muži;24;Tabulkový počet dožívajících (lx);99245.59324
Střední Čechy;2023;muži;24;Tabulkový počet zemřelých (dx);68.50997319
Střední Čechy;2023;muži;24;Tabulkový počet žijících (Lx);99211.33825
Střední Čechy;2023;muži;24;Pomocný ukazatel (Tx);5301770.346
Střední Čechy;2023;muži;24;Naděje dožití (ex);53.42071293
Střední Čechy;2023;muži;25;Počet zemřelých (Dx);8.0
Střední Čechy;2023;muži;25;Počet obyvatel (Px);6490.0
Střední Čechy;2023;muži;25;Míra úmrtnosti (mx);0.000741301
Střední Čechy;2023;muži;25;Pravděpodobnost úmrtí (qx);0.000741026
Střední Čechy;2023;muži;25;Tabulkový počet dožívajících (lx);99177.08327
Střední Čechy;2023;muži;25;Tabulkový počet zemřelých (dx);73.49278817
Střední Čechy;2023;muži;25;Tabulkový počet žijících (Lx);99140.33687
Střední Čechy;2023;muži;25;Pomocný ukazatel (Tx);5202559.008
Střední Čechy;2023;muži;25;Naděje dožití (ex);52.45726973
Střední Čechy;2023;muži;26;Počet zemřelých (Dx);4.0
Střední Čechy;2023;muži;26;Počet obyvatel (Px);6564.0
Střední Čechy;2023;muži;26;Míra úmrtnosti (mx);0.000791844
Střední Čechy;2023;muži;26;Pravděpodobnost úmrtí (qx);0.00079153
Střední Čechy;2023;muži;26;Tabulkový počet dožívajících (lx);99103.59048
Střední Čechy;2023;muži;26;Tabulkový počet zemřelých (dx);78.44348495
Střední Čechy;2023;muži;26;Tabulkový počet žijících (Lx);99064.36874
Střední Čechy;2023;muži;26;Pomocný ukazatel (Tx);5103418.671
Střední Čechy;2023;muži;26;Naděje dožití (ex);51.49579996
Střední Čechy;2023;muži;27;Počet zemřelých (Dx);4.0
Střední Čechy;2023;muži;27;Počet obyvatel (Px);6680.0
Střední Čechy;2023;muži;27;Míra úmrtnosti (mx);0.000843013
Střední Čechy;2023;muži;27;Pravděpodobnost úmrtí (qx);0.000842658
Střední Čechy;2023;muži;27;Tabulkový počet dožívajících (lx);99025.14699
Střední Čechy;2023;muži;27;Tabulkový počet zemřelých (dx);83.44429766
Střední Čechy;2023;muži;27;Tabulkový počet žijících (Lx);98983.42485
Střední Čechy;2023;muži;27;Pomocný ukazatel (Tx);5004354.302
Střední Čechy;2023;muži;27;Naděje dožití (ex);50.53619666
Střední Čechy;2023;muži;28;Počet zemřelých (Dx);4.0
Střední Čechy;2023;muži;28;Počet obyvatel (Px);7131.0
Střední Čechy;2023;muži;28;Míra úmrtnosti (mx);0.00089464
Střední Čechy;2023;muži;28;Pravděpodobnost úmrtí (qx);0.00089424
Střední Čechy;2023;muži;28;Tabulkový počet dožívajících (lx);98941.7027
Střední Čechy;2023;muži;28;Tabulkový počet zemřelých (dx);88.47765523
Střední Čechy;2023;muži;28;Tabulkový počet žijících (Lx);98897.46387
Střední Čechy;2023;muži;28;Pomocný ukazatel (Tx);4905370.877
Střední Čechy;2023;muži;28;Naděje dožití (ex);49.5783956
Střední Čechy;2023;muži;29;Počet zemřelých (Dx);11.0
Střední Čechy;2023;muži;29;Počet obyvatel (Px);7939.0
Střední Čechy;2023;muži;29;Míra úmrtnosti (mx);0.000946488
Střední Čechy;2023;muži;29;Pravděpodobnost úmrtí (qx);0.00094604
Střední Čechy;2023;muži;29;Tabulkový počet dožívajících (lx);98853.22504
Střední Čechy;2023;muži;29;Tabulkový počet zemřelých (dx);93.51910638
Střední Čechy;2023;muži;29;Tabulkový počet žijících (Lx);98806.46549
Střední Čechy;2023;muži;29;Pomocný ukazatel (Tx);4806473.414
Střední Čechy;2023;muži;29;Naděje dožití (ex);48.62232276
Střední Čechy;2023;muži;30;Počet zemřelých (Dx);9.0
Střední Čechy;2023;muži;30;Počet obyvatel (Px);8625.0
Střední Čechy;2023;muži;30;Míra úmrtnosti (mx);0.000998022
Střední Čechy;2023;muži;30;Pravděpodobnost úmrtí (qx);0.000997525
Střední Čechy;2023;muži;30;Tabulkový počet dožívajících (lx);98759.70593
Střední Čechy;2023;muži;30;Tabulkový počet zemřelých (dx);98.51522618
Střední Čechy;2023;muži;30;Tabulkový počet žijících (Lx);98710.44832
Střední Čechy;2023;muži;30;Pomocný ukazatel (Tx);4707666.948
Střední Čechy;2023;muži;30;Naděje dožití (ex);47.66789151
Střední Čechy;2023;muži;31;Počet zemřelých (Dx);7.0
Střední Čechy;2023;muži;31;Počet obyvatel (Px);9060.0
Střední Čechy;2023;muži;31;Míra úmrtnosti (mx);0.001048455
Střední Čechy;2023;muži;31;Pravděpodobnost úmrtí (qx);0.001047906
Střední Čechy;2023;muži;31;Tabulkový počet dožívajících (lx);98661.19071
Střední Čechy;2023;muži;31;Tabulkový počet zemřelých (dx);103.3876269
Střední Čechy;2023;muži;31;Tabulkový počet žijících (Lx);98609.4969
Střední Čechy;2023;muži;31;Pomocný ukazatel (Tx);4608956.5
Střední Čechy;2023;muži;31;Naděje dožití (ex);46.71498962
Střední Čechy;2023;muži;32;Počet zemřelých (Dx);13.0
Střední Čechy;2023;muži;32;Počet obyvatel (Px);9295.0
Střední Čechy;2023;muži;32;Míra úmrtnosti (mx);0.001097067
Střední Čechy;2023;muži;32;Pravděpodobnost úmrtí (qx);0.001096465
Střední Čechy;2023;muži;32;Tabulkový počet dožívajících (lx);98557.80308
Střední Čechy;2023;muži;32;Tabulkový počet zemřelých (dx);108.0652057
Střední Čechy;2023;muži;32;Tabulkový počet žijících (Lx);98503.77048
Střední Čechy;2023;muži;32;Pomocný ukazatel (Tx);4510347.003
Střední Čechy;2023;muži;32;Naděje dožití (ex);45.76346937
Střední Čechy;2023;muži;33;Počet zemřelých (Dx);11.0
Střední Čechy;2023;muži;33;Počet obyvatel (Px);9329.0
Střední Čechy;2023;muži;33;Míra úmrtnosti (mx);0.001144249
Střední Čechy;2023;muži;33;Pravděpodobnost úmrtí (qx);0.001143595
Střední Čechy;2023;muži;33;Tabulkový počet dožívajících (lx);98449.73788
Střední Čechy;2023;muži;33;Tabulkový počet zemřelých (dx);112.5866313
Střední Čechy;2023;muži;33;Tabulkový počet žijících (Lx);98393.44456
