SO ORP,Pětileté období (SO ORP),Pohlaví,Věk (roky),Ukazatel,value
Praha,2020-2024,muži,16,Míra úmrtnosti (mx),0.000214649
Praha,2020-2024,muži,16,Pravděpodobnost úmrtí (qx),0.0002146259
Praha,2020-2024,muži,16,Tabulkový počet dožívajících (lx),99698.9063542382
Praha,2020-2024,muži,16,Tabulkový počet zemřelých (dx),21.3979695811
Praha,2020-2024,muži,16,Tabulkový počet žijících (Lx),99688.2073694476
Praha,2020-2024,muži,16,Pomocný ukazatel (Tx),6193110.3415551
Praha,2020-2024,muži,16,Naděje dožití (ex),62.1181371795
Praha,2020-2024,muži,17,Počet zemřelých (Dx),6.0
Praha,2020-2024,muži,17,Počet obyvatel (Px),31202.0
Praha,2020-2024,muži,17,Míra úmrtnosti (mx),0.0002938628
Praha,2020-2024,muži,17,Pravděpodobnost úmrtí (qx),0.0002938197
Praha,2020-2024,muži,17,Tabulkový počet dožívajících (lx),99677.5083846571
Praha,2020-2024,muži,17,Tabulkový počet zemřelých (dx),29.2872125113
Praha,2020-2024,muži,17,Tabulkový počet žijících (Lx),99662.8647784014
Praha,2020-2024,muži,17,Pomocný ukazatel (Tx),6093422.13418565
Praha,2020-2024,muži,17,Naděje dožití (ex),61.1313648679
Praha,2020-2024,muži,18,Počet zemřelých (Dx),13.0
Praha,2020-2024,muži,18,Počet obyvatel (Px),32324.0
Praha,2020-2024,muži,18,Míra úmrtnosti (mx),0.0004005752
Praha,2020-2024,muži,18,Pravděpodobnost úmrtí (qx),0.000400495
Praha,2020-2024,muži,18,Tabulkový počet dožívajících (lx),99648.2211721457
Praha,2020-2024,muži,18,Tabulkový počet zemřelých (dx),39.9086160123
Praha,2020-2024,muži,18,Tabulkový počet žijících (Lx),99628.2668641396
Praha,2020-2024,muži,18,Pomocný ukazatel (Tx),5993759.26940725
Praha,2020-2024,muži,18,Naděje dožití (ex),60.1491847913
Praha,2020-2024,muži,19,Počet zemřelých (Dx),19.0
Praha,2020-2024,muži,19,Počet obyvatel (Px),31631.0
Praha,2020-2024,muži,19,Míra úmrtnosti (mx),0.0005170125
Praha,2020-2024,muži,19,Pravděpodobnost úmrtí (qx),0.0005168788
Praha,2020-2024,muži,19,Tabulkový počet dožívajících (lx),99608.3125561334
Praha,2020-2024,muži,19,Tabulkový počet zemřelých (dx),51.485429404
Praha,2020-2024,muži,19,Tabulkový počet žijících (Lx),99582.5698414314
Praha,2020-2024,muži,19,Pomocný ukazatel (Tx),5894131.00254311
Praha,2020-2024,muži,19,Naděje dožití (ex),59.1730835639
Praha,2020-2024,muži,20,Počet zemřelých (Dx),21.0
Praha,2020-2024,muži,20,Počet obyvatel (Px),30482.5
Praha,2020-2024,muži,20,Míra úmrtnosti (mx),0.0005987262
Praha,2020-2024,muži,20,Pravděpodobnost úmrtí (qx),0.000598547
Praha,2020-2024,muži,20,Tabulkový počet dožívajících (lx),99556.8271267294
Praha,2020-2024,muži,20,Tabulkový počet zemřelých (dx),59.5894414763
Praha,2020-2024,muži,20,Tabulkový počet žijících (Lx),99527.0324059913
Praha,2020-2024,muži,20,Pomocný ukazatel (Tx),5794548.43270168
Praha,2020-2024,muži,20,Naděje dožití (ex),58.2034261229
Praha,2020-2024,muži,21,Počet zemřelých (Dx),18.0
Praha,2020-2024,muži,21,Počet obyvatel (Px),29647.5
Praha,2020-2024,muži,21,Míra úmrtnosti (mx),0.0006082204
Praha,2020-2024,muži,21,Pravděpodobnost úmrtí (qx),0.0006080354
Praha,2020-2024,muži,21,Tabulkový počet dožívajících (lx),99497.2376852531
Praha,2020-2024,muži,21,Tabulkový počet zemřelých (dx),60.4978468444
Praha,2020-2024,muži,21,Tabulkový počet žijících (Lx),99466.9887618309
Praha,2020-2024,muži,21,Pomocný ukazatel (Tx),5695021.40029569
Praha,2020-2024,muži,21,Naděje dožití (ex),57.2379850214
Praha,2020-2024,muži,22,Počet zemřelých (Dx),15.0
Praha,2020-2024,muži,22,Počet obyvatel (Px),29613.5
Praha,2020-2024,muži,22,Míra úmrtnosti (mx),0.0005680925
Praha,2020-2024,muži,22,Pravděpodobnost úmrtí (qx),0.0005679311
Praha,2020-2024,muži,22,Tabulkový počet dožívajících (lx),99436.7398384087
Praha,2020-2024,muži,22,Tabulkový počet zemřelých (dx),56.4732217208
Praha,2020-2024,muži,22,Tabulkový počet žijících (Lx),99408.5032275483
Praha,2020-2024,muži,22,Pomocný ukazatel (Tx),5595554.41153386
Praha,2020-2024,muži,22,Naděje dožití (ex),56.2725047163
Praha,2020-2024,muži,23,Počet zemřelých (Dx),14.0
Praha,2020-2024,muži,23,Počet obyvatel (Px),30018.5
Praha,2020-2024,muži,23,Míra úmrtnosti (mx),0.0005160205
Praha,2020-2024,muži,23,Pravděpodobnost úmrtí (qx),0.0005158874
Praha,2020-2024,muži,23,Tabulkový počet dožívajících (lx),99380.2666166879
Praha,2020-2024,muži,23,Tabulkový počet zemřelých (dx),51.269031586
Praha,2020-2024,muži,23,Tabulkový počet žijících (Lx),99354.632100895
Praha,2020-2024,muži,23,Pomocný ukazatel (Tx),5496145.90830631
Praha,2020-2024,muži,23,Naděje dožití (ex),55.3041976583
Praha,2020-2024,muži,24,Počet zemřelých (Dx),15.0
Praha,2020-2024,muži,24,Počet obyvatel (Px),31044.5
Praha,2020-2024,muži,24,Míra úmrtnosti (mx),0.0004742935
Praha,2020-2024,muži,24,Pravděpodobnost úmrtí (qx),0.000474181
Praha,2020-2024,muži,24,Tabulkový počet dožívajících (lx),99328.997585102
Praha,2020-2024,muži,24,Tabulkový počet zemřelých (dx),47.0999271139
Praha,2020-2024,muži,24,Tabulkový počet žijících (Lx),99305.4476215451
Praha,2020-2024,muži,24,Pomocný ukazatel (Tx),5396791.27620541
Praha,2020-2024,muži,24,Naděje dožití (ex),54.3324850488
Praha,2020-2024,muži,25,Počet zemřelých (Dx),18.0
Praha,2020-2024,muži,25,Počet obyvatel (Px),32881.5
Praha,2020-2024,muži,25,Míra úmrtnosti (mx),0.0004481606
Praha,2020-2024,muži,25,Pravděpodobnost úmrtí (qx),0.0004480602
Praha,2020-2024,muži,25,Tabulkový počet dožívajících (lx),99281.8976579881
Praha,2020-2024,muži,25,Tabulkový počet zemřelých (dx),44.4842688694
Praha,2020-2024,muži,25,Tabulkový počet žijících (Lx),99259.6555235534
Praha,2020-2024,muži,25,Pomocný ukazatel (Tx),5297485.82858387
Praha,2020-2024,muži,25,Naděje dožití (ex),53.3580235023
Praha,2020-2024,muži,26,Počet zemřelých (Dx),15.0
Praha,2020-2024,muži,26,Počet obyvatel (Px),35456.5
Praha,2020-2024,muži,26,Míra úmrtnosti (mx),0.0004412456
Praha,2020-2024,muži,26,Pravděpodobnost úmrtí (qx),0.0004411483
Praha,2020-2024,muži,26,Tabulkový počet dožívajících (lx),99237.4133891188
Praha,2020-2024,muži,26,Tabulkový počet zemřelých (dx),43.7784166118
Praha,2020-2024,muži,26,Tabulkový počet žijících (Lx),99215.5241808129
Praha,2020-2024,muži,26,Pomocný ukazatel (Tx),5198226.17306031
Praha,2020-2024,muži,26,Naděje dožití (ex),52.3817176963
Praha,2020-2024,muži,27,Počet zemřelých (Dx),14.0
Praha,2020-2024,muži,27,Počet obyvatel (Px),38640.5
Praha,2020-2024,muži,27,Míra úmrtnosti (mx),0.0004542166
Praha,2020-2024,muži,27,Pravděpodobnost úmrtí (qx),0.0004541135
Praha,2020-2024,muži,27,Tabulkový počet dožívajících (lx),99193.634972507
Praha,2020-2024,muži,27,Tabulkový počet zemřelých (dx),45.0451652428
Praha,2020-2024,muži,27,Tabulkový počet žijících (Lx),99171.1123898856
Praha,2020-2024,muži,27,Pomocný ukazatel (Tx),5099010.6488795
Praha,2020-2024,muži,27,Naděje dožití (ex),51.4046153293
Praha,2020-2024,muži,28,Počet zemřelých (Dx),17.0
Praha,2020-2024,muži,28,Počet obyvatel (Px),42160.5
