Ukazatel;Typ údaje;Území;Měsíce;Spotřební skupina;value
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2019;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2019;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2019;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2019;Zboží úhrnem;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2019;Služby;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2019;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2019;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2019;Zboží úhrnem;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2019;Služby;101.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2018;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2018;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2018;Zboží úhrnem;99.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2018;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2018;Zboží úhrnem;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2018;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2018;Zboží úhrnem;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2018;Služby;98.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2018;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2018;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2018;Zboží úhrnem;99.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2018;Služby;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2018;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2018;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2018;Zboží úhrnem;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2018;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2018;Zboží úhrnem;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2018;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2018;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2018;Služby;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2018;Zboží úhrnem;99.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2018;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2018;Zboží úhrnem;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2018;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2017;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2017;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2017;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2017;Služby;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2017;Zboží úhrnem;100.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2017;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2017;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2017;Služby;99.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2017;Zboží úhrnem;99.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2017;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2017;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2017;Služby;100.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2017;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2017;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2017;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2017;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2017;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2017;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2017;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2017;Služby;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2017;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2017;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2017;Zboží úhrnem;100.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2017;Služby;100.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2016;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2016;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2016;Zboží úhrnem;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2016;Služby;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2016;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2016;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2016;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2016;Služby;99.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2016;Zboží úhrnem;99.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2016;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2016;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2016;Služby;100.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2016;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2016;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2016;Zboží úhrnem;99.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2016;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2016;Zboží úhrnem;100.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2016;Služby;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2016;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2016;Služby;99.8
