Ukazatel;Území;Klasifikace CZ-CPA;Typ údaje;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2016;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2016;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2016;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2016;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2016;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2016;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2016;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2016;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2017;100.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2017;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2017;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2017;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2017;100.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2017;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2017;101.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2017;101.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2017;101.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2017;101.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2017;101.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2017;101.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2018;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2018;102.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2018;101.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2018;101.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2018;101.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2018;101.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2018;101.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2018;101.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2018;101.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2018;102.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2018;102.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2018;102.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2019;102.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2019;102.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2019;102.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2019;102.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2019;102.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2019;102.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2019;102.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2019;102.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2019;102.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2019;102.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2019;102.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2019;102.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2020;102.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2020;102.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2020;102.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2020;102.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2020;102.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2020;102.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2020;102.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2020;102.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2020;101.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2020;101.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2020;102.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2020;102.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2021;101.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2021;101.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2021;100.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2021;100.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2021;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2021;100.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2021;101.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2021;101.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2021;101.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2021;101.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2021;101.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2021;101.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2022;103.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2022;104.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2022;104.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2022;105.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2022;105.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2022;106.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2022;106.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2022;106.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2022;106.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2022;106.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2022;106.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2022;107.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2023;106.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2023;105.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2023;105.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2023;106.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2023;106.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2023;106.1
