Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,F - Stavebnictví,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.0526974105
Česko,2024,F - Stavebnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),39294.1797974106
Česko,2024,F - Stavebnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3209.9715162127
Česko,2024,F - Stavebnictví,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.8957792594
Česko,2024,F - Stavebnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),219.5272674954
Česko,2024,F - Stavebnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-2.130196534
Česko,2024,F - Stavebnictví,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.0389691846
Česko,2024,F - Stavebnictví,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),38149.0280224812
Česko,2024,F - Stavebnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2764.0446241976
Česko,2024,F - Stavebnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.8113492186
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),498.373246347
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.7706763295
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.8456003781
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42703.1718152177
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2499.2685615509
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.2164823793
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),526.2749007644
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.5781071695
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1099696967
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40439.1665571632
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2265.956787869
Česko,2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.9359870484
Česko,2024,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),255.3259108499
Česko,2024,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-3.6803759841
Česko,2024,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.5790399032
Česko,2024,H - Doprava a skladování,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41801.2676862118
Česko,2024,H - Doprava a skladování,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3267.7526343392
Česko,2024,H - Doprava a skladování,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.4802869137
Česko,2024,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),261.2283835009
Česko,2024,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.5791404072
Česko,2024,H - Doprava a skladování,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.399126637
Česko,2024,H - Doprava a skladování,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40856.7652704053
Česko,2024,H - Doprava a skladování,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2880.5973744743
Česko,2024,H - Doprava a skladování,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.5852765934
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),118.8531018196
