Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,leden 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,prosinec 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,92.62454907
Česko,Průmysl celkem,prosinec 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,95.30271508
Česko,Průmysl celkem,prosinec 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.91303298
Česko,Průmysl celkem,prosinec 2023,Meziroční index (%) - neočištěno,94.1894318444
Česko,Průmysl celkem,prosinec 2023,Meziroční index (%) - očištěno o kalendářní vlivy,99.6864995558
Česko,Průmysl celkem,prosinec 2023,Meziměsíční index (%) - sezónně očištěno,102.586319179
Česko,Průmysl celkem,prosinec 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,listopad 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,109.48401107
Česko,Průmysl celkem,listopad 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,108.55442343
Česko,Průmysl celkem,listopad 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.31847697
Česko,Průmysl celkem,listopad 2023,Meziroční index (%) - neočištěno,97.1920112949
Česko,Průmysl celkem,listopad 2023,Meziroční index (%) - očištěno o kalendářní vlivy,97.1889914208
Česko,Průmysl celkem,listopad 2023,Meziměsíční index (%) - sezónně očištěno,99.0230550272
Česko,Průmysl celkem,listopad 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,říjen 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,109.32325208
Česko,Průmysl celkem,říjen 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,107.46893845
Česko,Průmysl celkem,říjen 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.30820236
Česko,Průmysl celkem,říjen 2023,Meziroční index (%) - neočištěno,107.2747284166
Česko,Průmysl celkem,říjen 2023,Meziroční index (%) - očištěno o kalendářní vlivy,101.071948222
Česko,Průmysl celkem,říjen 2023,Meziměsíční index (%) - sezónně očištěno,103.1446230394
Česko,Průmysl celkem,říjen 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,září 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,99.46502436
Česko,Průmysl celkem,září 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,101.63685422
Česko,Průmysl celkem,září 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.21956722
Česko,Průmysl celkem,září 2023,Meziroční index (%) - neočištěno,92.454667812
Česko,Průmysl celkem,září 2023,Meziroční index (%) - očištěno o kalendářní vlivy,95.2848853408
Česko,Průmysl celkem,září 2023,Meziměsíční index (%) - sezónně očištěno,98.2196327129
Česko,Průmysl celkem,září 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,srpen 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,94.39194392
Česko,Průmysl celkem,srpen 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,92.00563296
Česko,Průmysl celkem,srpen 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.99993332
Česko,Průmysl celkem,srpen 2023,Meziroční index (%) - neočištěno,97.8479702875
Česko,Průmysl celkem,srpen 2023,Meziroční index (%) - očištěno o kalendářní vlivy,97.8293965801
Česko,Průmysl celkem,srpen 2023,Meziměsíční index (%) - sezónně očištěno,100.4471500579
Česko,Průmysl celkem,srpen 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,85.39430194
Česko,Průmysl celkem,červenec 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,89.89851657
Česko,Průmysl celkem,červenec 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.55477409
Česko,Průmysl celkem,červenec 2023,Meziroční index (%) - neočištěno,96.6857729883
Česko,Průmysl celkem,červenec 2023,Meziroční index (%) - očištěno o kalendářní vlivy,96.7704116366
Česko,Průmysl celkem,červenec 2023,Meziměsíční index (%) - sezónně očištěno,97.3407478583
Česko,Průmysl celkem,červenec 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,109.64975078
Česko,Průmysl celkem,červen 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,107.75091674
Česko,Průmysl celkem,červen 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.27451122
