Ukazatel;Území;Rodinný stav ženicha;Věk ženicha (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;36;2011;1621.0
Sňatky;Česko;Celkem;36;2010;1668.0
Sňatky;Česko;Celkem;36;2009;1385.0
Sňatky;Česko;Celkem;36;2008;1322.0
Sňatky;Česko;Celkem;36;2007;1424.0
Sňatky;Česko;Celkem;36;2006;1236.0
Sňatky;Česko;Celkem;36;2005;1009.0
Sňatky;Česko;Celkem;36;2004;1053.0
Sňatky;Česko;Celkem;36;2003;889.0
Sňatky;Česko;Celkem;36;2002;977.0
Sňatky;Česko;Celkem;36;2001;922.0
Sňatky;Česko;Celkem;37;2024;
Sňatky;Česko;Celkem;37;2023;1406.0
Sňatky;Česko;Celkem;37;2022;1618.0
Sňatky;Česko;Celkem;37;2021;1427.0
Sňatky;Česko;Celkem;37;2020;1356.0
Sňatky;Česko;Celkem;37;2019;1664.0
Sňatky;Česko;Celkem;37;2018;1646.0
Sňatky;Česko;Celkem;37;2017;1692.0
Sňatky;Česko;Celkem;37;2016;1758.0
Sňatky;Česko;Celkem;37;2015;1678.0
Sňatky;Česko;Celkem;37;2014;1560.0
Sňatky;Česko;Celkem;37;2013;1401.0
Sňatky;Česko;Celkem;37;2012;1466.0
Sňatky;Česko;Celkem;37;2011;1436.0
Sňatky;Česko;Celkem;37;2010;1233.0
Sňatky;Česko;Celkem;37;2009;1131.0
Sňatky;Česko;Celkem;37;2008;1115.0
Sňatky;Česko;Celkem;37;2007;1275.0
Sňatky;Česko;Celkem;37;2006;954.0
Sňatky;Česko;Celkem;37;2005;896.0
Sňatky;Česko;Celkem;37;2004;867.0
Sňatky;Česko;Celkem;37;2003;856.0
Sňatky;Česko;Celkem;37;2002;839.0
Sňatky;Česko;Celkem;37;2001;874.0
Sňatky;Česko;Celkem;38;2024;
Sňatky;Česko;Celkem;38;2023;1320.0
Sňatky;Česko;Celkem;38;2022;1521.0
Sňatky;Česko;Celkem;38;2021;1285.0
Sňatky;Česko;Celkem;38;2020;1282.0
Sňatky;Česko;Celkem;38;2019;1450.0
Sňatky;Česko;Celkem;38;2018;1535.0
Sňatky;Česko;Celkem;38;2017;1576.0
