Území,Země,Čtvrtletí,Ukazatel,value
Česko,Svět celkem,1. čtvrtletí 2016,Obrat pohybu zboží (meziroční index),103.568224154
Česko,Svět celkem,4. čtvrtletí 2015,"Pohyb zboží z ČR (v mil. Kč, FOB)",1019386.582783
Česko,Svět celkem,4. čtvrtletí 2015,"Pohyb zboží do ČR (v mil. Kč, CIF)",922192.439125
Česko,Svět celkem,4. čtvrtletí 2015,Bilance - pohyb zboží (v mil. Kč),97194.143658
Česko,Svět celkem,4. čtvrtletí 2015,Obrat - pohyb zboží (v mil. Kč),1941579.021908
Česko,Svět celkem,4. čtvrtletí 2015,Pohyb zboží z ČR (meziroční index ),108.5
Česko,Svět celkem,4. čtvrtletí 2015,Pohyb zboží do ČR (meziroční index),109.1
Česko,Svět celkem,4. čtvrtletí 2015,Obrat pohybu zboží (meziroční index),108.8
Česko,Svět celkem,3. čtvrtletí 2015,"Pohyb zboží z ČR (v mil. Kč, FOB)",947430.795766
Česko,Svět celkem,3. čtvrtletí 2015,"Pohyb zboží do ČR (v mil. Kč, CIF)",853677.499539
Česko,Svět celkem,3. čtvrtletí 2015,Bilance - pohyb zboží (v mil. Kč),93753.296227
Česko,Svět celkem,3. čtvrtletí 2015,Obrat - pohyb zboží (v mil. Kč),1801108.295305
Česko,Svět celkem,3. čtvrtletí 2015,Pohyb zboží z ČR (meziroční index ),105.2
Česko,Svět celkem,3. čtvrtletí 2015,Pohyb zboží do ČR (meziroční index),107.0
Česko,Svět celkem,3. čtvrtletí 2015,Obrat pohybu zboží (meziroční index),106.0
Česko,Svět celkem,2. čtvrtletí 2015,"Pohyb zboží z ČR (v mil. Kč, FOB)",963646.971945
Česko,Svět celkem,2. čtvrtletí 2015,"Pohyb zboží do ČR (v mil. Kč, CIF)",855791.862235
Česko,Svět celkem,2. čtvrtletí 2015,Bilance - pohyb zboží (v mil. Kč),107855.10971
Česko,Svět celkem,2. čtvrtletí 2015,Obrat - pohyb zboží (v mil. Kč),1819438.83418
Česko,Svět celkem,2. čtvrtletí 2015,Pohyb zboží z ČR (meziroční index ),107.4
Česko,Svět celkem,2. čtvrtletí 2015,Pohyb zboží do ČR (meziroční index),108.4
Česko,Svět celkem,2. čtvrtletí 2015,Obrat pohybu zboží (meziroční index),107.9
Česko,Svět celkem,1. čtvrtletí 2015,"Pohyb zboží z ČR (v mil. Kč, FOB)",952784.58048
Česko,Svět celkem,1. čtvrtletí 2015,"Pohyb zboží do ČR (v mil. Kč, CIF)",845338.596251
Česko,Svět celkem,1. čtvrtletí 2015,Bilance - pohyb zboží (v mil. Kč),107445.984229
Česko,Svět celkem,1. čtvrtletí 2015,Obrat - pohyb zboží (v mil. Kč),1798123.176731
Česko,Svět celkem,1. čtvrtletí 2015,Pohyb zboží z ČR (meziroční index ),106.9
Česko,Svět celkem,1. čtvrtletí 2015,Pohyb zboží do ČR (meziroční index),110.2
Česko,Svět celkem,1. čtvrtletí 2015,Obrat pohybu zboží (meziroční index),108.4
Česko,Svět celkem,4. čtvrtletí 2014,"Pohyb zboží z ČR (v mil. Kč, FOB)",939860.0
Česko,Svět celkem,4. čtvrtletí 2014,"Pohyb zboží do ČR (v mil. Kč, CIF)",845044.0
Česko,Svět celkem,4. čtvrtletí 2014,Bilance - pohyb zboží (v mil. Kč),94815.0
Česko,Svět celkem,4. čtvrtletí 2014,Obrat - pohyb zboží (v mil. Kč),1784904.0
Česko,Svět celkem,4. čtvrtletí 2014,Pohyb zboží z ČR (meziroční index ),110.0
Česko,Svět celkem,4. čtvrtletí 2014,Pohyb zboží do ČR (meziroční index),108.7
Česko,Svět celkem,4. čtvrtletí 2014,Obrat pohybu zboží (meziroční index),109.4
Česko,Svět celkem,3. čtvrtletí 2014,"Pohyb zboží z ČR (v mil. Kč, FOB)",900575.0
Česko,Svět celkem,3. čtvrtletí 2014,"Pohyb zboží do ČR (v mil. Kč, CIF)",797952.0
Česko,Svět celkem,3. čtvrtletí 2014,Bilance - pohyb zboží (v mil. Kč),102624.0
Česko,Svět celkem,3. čtvrtletí 2014,Obrat - pohyb zboží (v mil. Kč),1698527.0
Česko,Svět celkem,3. čtvrtletí 2014,Pohyb zboží z ČR (meziroční index ),115.0
Česko,Svět celkem,3. čtvrtletí 2014,Pohyb zboží do ČR (meziroční index),113.9
Česko,Svět celkem,3. čtvrtletí 2014,Obrat pohybu zboží (meziroční index),114.5
Česko,Svět celkem,2. čtvrtletí 2014,"Pohyb zboží z ČR (v mil. Kč, FOB)",897411.0
Česko,Svět celkem,2. čtvrtletí 2014,"Pohyb zboží do ČR (v mil. Kč, CIF)",789476.0
Česko,Svět celkem,2. čtvrtletí 2014,Bilance - pohyb zboží (v mil. Kč),107935.0
Česko,Svět celkem,2. čtvrtletí 2014,Obrat - pohyb zboží (v mil. Kč),1686887.0
Česko,Svět celkem,2. čtvrtletí 2014,Pohyb zboží z ČR (meziroční index ),114.4
Česko,Svět celkem,2. čtvrtletí 2014,Pohyb zboží do ČR (meziroční index),114.5
Česko,Svět celkem,2. čtvrtletí 2014,Obrat pohybu zboží (meziroční index),114.4
Česko,Svět celkem,1. čtvrtletí 2014,"Pohyb zboží z ČR (v mil. Kč, FOB)",890979.0
Česko,Svět celkem,1. čtvrtletí 2014,"Pohyb zboží do ČR (v mil. Kč, CIF)",767158.0
Česko,Svět celkem,1. čtvrtletí 2014,Bilance - pohyb zboží (v mil. Kč),123821.0
Česko,Svět celkem,1. čtvrtletí 2014,Obrat - pohyb zboží (v mil. Kč),1658137.0
Česko,Svět celkem,1. čtvrtletí 2014,Pohyb zboží z ČR (meziroční index ),118.3
Česko,Svět celkem,1. čtvrtletí 2014,Pohyb zboží do ČR (meziroční index),116.9
Česko,Svět celkem,1. čtvrtletí 2014,Obrat pohybu zboží (meziroční index),117.7
Česko,Svět celkem,4. čtvrtletí 2013,"Pohyb zboží z ČR (v mil. Kč, FOB)",854397.0
Česko,Svět celkem,4. čtvrtletí 2013,"Pohyb zboží do ČR (v mil. Kč, CIF)",777185.0
Česko,Svět celkem,4. čtvrtletí 2013,Bilance - pohyb zboží (v mil. Kč),77212.0
Česko,Svět celkem,4. čtvrtletí 2013,Obrat - pohyb zboží (v mil. Kč),1631582.0
Česko,Svět celkem,4. čtvrtletí 2013,Pohyb zboží z ČR (meziroční index ),110.3
Česko,Svět celkem,4. čtvrtletí 2013,Pohyb zboží do ČR (meziroční index),110.6
Česko,Svět celkem,4. čtvrtletí 2013,Obrat pohybu zboží (meziroční index),110.4
Česko,Svět celkem,3. čtvrtletí 2013,"Pohyb zboží z ČR (v mil. Kč, FOB)",783013.0
Česko,Svět celkem,3. čtvrtletí 2013,"Pohyb zboží do ČR (v mil. Kč, CIF)",700571.0
Česko,Svět celkem,3. čtvrtletí 2013,Bilance - pohyb zboží (v mil. Kč),82441.0
Česko,Svět celkem,3. čtvrtletí 2013,Obrat - pohyb zboží (v mil. Kč),1483584.0
Česko,Svět celkem,3. čtvrtletí 2013,Pohyb zboží z ČR (meziroční index ),105.7
Česko,Svět celkem,3. čtvrtletí 2013,Pohyb zboží do ČR (meziroční index),104.4
Česko,Svět celkem,3. čtvrtletí 2013,Obrat pohybu zboží (meziroční index),105.1
Česko,Svět celkem,2. čtvrtletí 2013,"Pohyb zboží z ČR (v mil. Kč, FOB)",784344.0
Česko,Svět celkem,2. čtvrtletí 2013,"Pohyb zboží do ČR (v mil. Kč, CIF)",689613.0
Česko,Svět celkem,2. čtvrtletí 2013,Bilance - pohyb zboží (v mil. Kč),94731.0
Česko,Svět celkem,2. čtvrtletí 2013,Obrat - pohyb zboží (v mil. Kč),1473957.0
Česko,Svět celkem,2. čtvrtletí 2013,Pohyb zboží z ČR (meziroční index ),101.9
Česko,Svět celkem,2. čtvrtletí 2013,Pohyb zboží do ČR (meziroční index),98.5
Česko,Svět celkem,2. čtvrtletí 2013,Obrat pohybu zboží (meziroční index),100.3
Česko,Svět celkem,1. čtvrtletí 2013,"Pohyb zboží z ČR (v mil. Kč, FOB)",752950.0
Česko,Svět celkem,1. čtvrtletí 2013,"Pohyb zboží do ČR (v mil. Kč, CIF)",656115.0
Česko,Svět celkem,1. čtvrtletí 2013,Bilance - pohyb zboží (v mil. Kč),96835.0
Česko,Svět celkem,1. čtvrtletí 2013,Obrat - pohyb zboží (v mil. Kč),1409066.0
Česko,Svět celkem,1. čtvrtletí 2013,Pohyb zboží z ČR (meziroční index ),95.6
Česko,Svět celkem,1. čtvrtletí 2013,Pohyb zboží do ČR (meziroční index),94.7
Česko,Svět celkem,1. čtvrtletí 2013,Obrat pohybu zboží (meziroční index),95.2
Česko,Svět celkem,4. čtvrtletí 2012,"Pohyb zboží z ČR (v mil. Kč, FOB)",774866.0
Česko,Svět celkem,4. čtvrtletí 2012,"Pohyb zboží do ČR (v mil. Kč, CIF)",702969.0
Česko,Svět celkem,4. čtvrtletí 2012,Bilance - pohyb zboží (v mil. Kč),71896.0
Česko,Svět celkem,4. čtvrtletí 2012,Obrat - pohyb zboží (v mil. Kč),1477835.0
Česko,Svět celkem,4. čtvrtletí 2012,Pohyb zboží z ČR (meziroční index ),102.5
Česko,Svět celkem,4. čtvrtletí 2012,Pohyb zboží do ČR (meziroční index),100.7
Česko,Svět celkem,4. čtvrtletí 2012,Obrat pohybu zboží (meziroční index),101.6
Česko,Svět celkem,3. čtvrtletí 2012,"Pohyb zboží z ČR (v mil. Kč, FOB)",740884.0
Česko,Svět celkem,3. čtvrtletí 2012,"Pohyb zboží do ČR (v mil. Kč, CIF)",671297.0
Česko,Svět celkem,3. čtvrtletí 2012,Bilance - pohyb zboží (v mil. Kč),69588.0
Česko,Svět celkem,3. čtvrtletí 2012,Obrat - pohyb zboží (v mil. Kč),1412181.0
Česko,Svět celkem,3. čtvrtletí 2012,Pohyb zboží z ČR (meziroční index ),106.4
Česko,Svět celkem,3. čtvrtletí 2012,Pohyb zboží do ČR (meziroční index),101.6
Česko,Svět celkem,3. čtvrtletí 2012,Obrat pohybu zboží (meziroční index),104.1
Česko,Svět celkem,2. čtvrtletí 2012,"Pohyb zboží z ČR (v mil. Kč, FOB)",769523.0
Česko,Svět celkem,2. čtvrtletí 2012,"Pohyb zboží do ČR (v mil. Kč, CIF)",699832.0
Česko,Svět celkem,2. čtvrtletí 2012,Bilance - pohyb zboží (v mil. Kč),69691.0
Česko,Svět celkem,2. čtvrtletí 2012,Obrat - pohyb zboží (v mil. Kč),1469355.0
Česko,Svět celkem,2. čtvrtletí 2012,Pohyb zboží z ČR (meziroční index ),106.5
Česko,Svět celkem,2. čtvrtletí 2012,Pohyb zboží do ČR (meziroční index),102.9
Česko,Svět celkem,2. čtvrtletí 2012,Obrat pohybu zboží (meziroční index),104.7
Česko,Svět celkem,1. čtvrtletí 2012,"Pohyb zboží z ČR (v mil. Kč, FOB)",787325.0
Česko,Svět celkem,1. čtvrtletí 2012,"Pohyb zboží do ČR (v mil. Kč, CIF)",692790.0
Česko,Svět celkem,1. čtvrtletí 2012,Bilance - pohyb zboží (v mil. Kč),94534.0
Česko,Svět celkem,1. čtvrtletí 2012,Obrat - pohyb zboží (v mil. Kč),1480115.0
Česko,Svět celkem,1. čtvrtletí 2012,Pohyb zboží z ČR (meziroční index ),111.9
Česko,Svět celkem,1. čtvrtletí 2012,Pohyb zboží do ČR (meziroční index),106.8
Česko,Svět celkem,1. čtvrtletí 2012,Obrat pohybu zboží (meziroční index),109.5
Česko,Svět celkem,4. čtvrtletí 2011,"Pohyb zboží z ČR (v mil. Kč, FOB)",755905.0
Česko,Svět celkem,4. čtvrtletí 2011,"Pohyb zboží do ČR (v mil. Kč, CIF)",698227.0
Česko,Svět celkem,4. čtvrtletí 2011,Bilance - pohyb zboží (v mil. Kč),57678.0
Česko,Svět celkem,4. čtvrtletí 2011,Obrat - pohyb zboží (v mil. Kč),1454132.0
Česko,Svět celkem,4. čtvrtletí 2011,Pohyb zboží z ČR (meziroční index ),110.5
Česko,Svět celkem,4. čtvrtletí 2011,Pohyb zboží do ČR (meziroční index),105.7
Česko,Svět celkem,4. čtvrtletí 2011,Obrat pohybu zboží (meziroční index),108.2
Česko,Svět celkem,3. čtvrtletí 2011,"Pohyb zboží z ČR (v mil. Kč, FOB)",696451.0
Česko,Svět celkem,3. čtvrtletí 2011,"Pohyb zboží do ČR (v mil. Kč, CIF)",660761.0
Česko,Svět celkem,3. čtvrtletí 2011,Bilance - pohyb zboží (v mil. Kč),35691.0
Česko,Svět celkem,3. čtvrtletí 2011,Obrat - pohyb zboží (v mil. Kč),1357212.0
Česko,Svět celkem,3. čtvrtletí 2011,Pohyb zboží z ČR (meziroční index ),110.2
Česko,Svět celkem,3. čtvrtletí 2011,Pohyb zboží do ČR (meziroční index),107.0
Česko,Svět celkem,3. čtvrtletí 2011,Obrat pohybu zboží (meziroční index),108.6
Česko,Svět celkem,2. čtvrtletí 2011,"Pohyb zboží z ČR (v mil. Kč, FOB)",722784.0
Česko,Svět celkem,2. čtvrtletí 2011,"Pohyb zboží do ČR (v mil. Kč, CIF)",680140.0
Česko,Svět celkem,2. čtvrtletí 2011,Bilance - pohyb zboží (v mil. Kč),42645.0
Česko,Svět celkem,2. čtvrtletí 2011,Obrat - pohyb zboží (v mil. Kč),1402924.0
Česko,Svět celkem,2. čtvrtletí 2011,Pohyb zboží z ČR (meziroční index ),114.1
Česko,Svět celkem,2. čtvrtletí 2011,Pohyb zboží do ČR (meziroční index),113.4
Česko,Svět celkem,2. čtvrtletí 2011,Obrat pohybu zboží (meziroční index),113.7
Česko,Svět celkem,1. čtvrtletí 2011,"Pohyb zboží z ČR (v mil. Kč, FOB)",703550.0
Česko,Svět celkem,1. čtvrtletí 2011,"Pohyb zboží do ČR (v mil. Kč, CIF)",648436.0
Česko,Svět celkem,1. čtvrtletí 2011,Bilance - pohyb zboží (v mil. Kč),55115.0
Česko,Svět celkem,1. čtvrtletí 2011,Obrat - pohyb zboží (v mil. Kč),1351986.0
Česko,Svět celkem,1. čtvrtletí 2011,Pohyb zboží z ČR (meziroční index ),120.6
Česko,Svět celkem,1. čtvrtletí 2011,Pohyb zboží do ČR (meziroční index),121.5
Česko,Svět celkem,1. čtvrtletí 2011,Obrat pohybu zboží (meziroční index),121.1
Česko,Svět celkem,4. čtvrtletí 2010,"Pohyb zboží z ČR (v mil. Kč, FOB)",683902.0
Česko,Svět celkem,4. čtvrtletí 2010,"Pohyb zboží do ČR (v mil. Kč, CIF)",660274.0
Česko,Svět celkem,4. čtvrtletí 2010,Bilance - pohyb zboží (v mil. Kč),23628.0
Česko,Svět celkem,4. čtvrtletí 2010,Obrat - pohyb zboží (v mil. Kč),1344176.0
Česko,Svět celkem,4. čtvrtletí 2010,Pohyb zboží z ČR (meziroční index ),122.3
Česko,Svět celkem,4. čtvrtletí 2010,Pohyb zboží do ČR (meziroční index),125.6
Česko,Svět celkem,4. čtvrtletí 2010,Obrat pohybu zboží (meziroční index),123.9
Česko,Svět celkem,3. čtvrtletí 2010,"Pohyb zboží z ČR (v mil. Kč, FOB)",632163.0
Česko,Svět celkem,3. čtvrtletí 2010,"Pohyb zboží do ČR (v mil. Kč, CIF)",617702.0
Česko,Svět celkem,3. čtvrtletí 2010,Bilance - pohyb zboží (v mil. Kč),14461.0
Česko,Svět celkem,3. čtvrtletí 2010,Obrat - pohyb zboží (v mil. Kč),1249865.0
Česko,Svět celkem,3. čtvrtletí 2010,Pohyb zboží z ČR (meziroční index ),119.6
Česko,Svět celkem,3. čtvrtletí 2010,Pohyb zboží do ČR (meziroční index),125.9
Česko,Svět celkem,3. čtvrtletí 2010,Obrat pohybu zboží (meziroční index),122.6
Česko,Svět celkem,2. čtvrtletí 2010,"Pohyb zboží z ČR (v mil. Kč, FOB)",633564.0
Česko,Svět celkem,2. čtvrtletí 2010,"Pohyb zboží do ČR (v mil. Kč, CIF)",599961.0
Česko,Svět celkem,2. čtvrtletí 2010,Bilance - pohyb zboží (v mil. Kč),33603.0
Česko,Svět celkem,2. čtvrtletí 2010,Obrat - pohyb zboží (v mil. Kč),1233525.0
Česko,Svět celkem,2. čtvrtletí 2010,Pohyb zboží z ČR (meziroční index ),120.0
Česko,Svět celkem,2. čtvrtletí 2010,Pohyb zboží do ČR (meziroční index),124.0
Česko,Svět celkem,2. čtvrtletí 2010,Obrat pohybu zboží (meziroční index),121.9
Česko,Svět celkem,1. čtvrtletí 2010,"Pohyb zboží z ČR (v mil. Kč, FOB)",583168.0
Česko,Svět celkem,1. čtvrtletí 2010,"Pohyb zboží do ČR (v mil. Kč, CIF)",533619.0
Česko,Svět celkem,1. čtvrtletí 2010,Bilance - pohyb zboží (v mil. Kč),49549.0
Česko,Svět celkem,1. čtvrtletí 2010,Obrat - pohyb zboží (v mil. Kč),1116788.0
Česko,Svět celkem,1. čtvrtletí 2010,Pohyb zboží z ČR (meziroční index ),111.5
Česko,Svět celkem,1. čtvrtletí 2010,Pohyb zboží do ČR (meziroční index),109.2
Česko,Svět celkem,1. čtvrtletí 2010,Obrat pohybu zboží (meziroční index),110.4
Česko,Svět celkem,4. čtvrtletí 2009,"Pohyb zboží z ČR (v mil. Kč, FOB)",559365.0
Česko,Svět celkem,4. čtvrtletí 2009,"Pohyb zboží do ČR (v mil. Kč, CIF)",525725.0
Česko,Svět celkem,4. čtvrtletí 2009,Bilance - pohyb zboží (v mil. Kč),33640.0
Česko,Svět celkem,4. čtvrtletí 2009,Obrat - pohyb zboží (v mil. Kč),1085089.0
Česko,Svět celkem,4. čtvrtletí 2009,Pohyb zboží z ČR (meziroční index ),98.0
Česko,Svět celkem,4. čtvrtletí 2009,Pohyb zboží do ČR (meziroční index),89.7
Česko,Svět celkem,4. čtvrtletí 2009,Obrat pohybu zboží (meziroční index),93.8
Česko,Svět celkem,3. čtvrtletí 2009,"Pohyb zboží z ČR (v mil. Kč, FOB)",528398.0
Česko,Svět celkem,3. čtvrtletí 2009,"Pohyb zboží do ČR (v mil. Kč, CIF)",490690.0
Česko,Svět celkem,3. čtvrtletí 2009,Bilance - pohyb zboží (v mil. Kč),37708.0
Česko,Svět celkem,3. čtvrtletí 2009,Obrat - pohyb zboží (v mil. Kč),1019088.0
Česko,Svět celkem,3. čtvrtletí 2009,Pohyb zboží z ČR (meziroční index ),87.6
Česko,Svět celkem,3. čtvrtletí 2009,Pohyb zboží do ČR (meziroční index),83.9
Česko,Svět celkem,3. čtvrtletí 2009,Obrat pohybu zboží (meziroční index),85.8
Česko,Svět celkem,2. čtvrtletí 2009,"Pohyb zboží z ČR (v mil. Kč, FOB)",528007.0
Česko,Svět celkem,2. čtvrtletí 2009,"Pohyb zboží do ČR (v mil. Kč, CIF)",483760.0
Česko,Svět celkem,2. čtvrtletí 2009,Bilance - pohyb zboží (v mil. Kč),44247.0
Česko,Svět celkem,2. čtvrtletí 2009,Obrat - pohyb zboží (v mil. Kč),1011768.0
Česko,Svět celkem,2. čtvrtletí 2009,Pohyb zboží z ČR (meziroční index ),80.7
Česko,Svět celkem,2. čtvrtletí 2009,Pohyb zboží do ČR (meziroční index),77.5
Česko,Svět celkem,2. čtvrtletí 2009,Obrat pohybu zboží (meziroční index),79.2
Česko,Svět celkem,1. čtvrtletí 2009,"Pohyb zboží z ČR (v mil. Kč, FOB)",522853.0
Česko,Svět celkem,1. čtvrtletí 2009,"Pohyb zboží do ČR (v mil. Kč, CIF)",488861.0
Česko,Svět celkem,1. čtvrtletí 2009,Bilance - pohyb zboží (v mil. Kč),33993.0
Česko,Svět celkem,1. čtvrtletí 2009,Obrat - pohyb zboží (v mil. Kč),1011714.0
Česko,Svět celkem,1. čtvrtletí 2009,Pohyb zboží z ČR (meziroční index ),81.0
Česko,Svět celkem,1. čtvrtletí 2009,Pohyb zboží do ČR (meziroční index),79.9
Česko,Svět celkem,1. čtvrtletí 2009,Obrat pohybu zboží (meziroční index),80.5
Česko,Svět celkem,4. čtvrtletí 2008,"Pohyb zboží z ČR (v mil. Kč, FOB)",570738.0
Česko,Svět celkem,4. čtvrtletí 2008,"Pohyb zboží do ČR (v mil. Kč, CIF)",586120.0
Česko,Svět celkem,4. čtvrtletí 2008,Bilance - pohyb zboží (v mil. Kč),-15383.0
Česko,Svět celkem,4. čtvrtletí 2008,Obrat - pohyb zboží (v mil. Kč),1156858.0
Česko,Svět celkem,4. čtvrtletí 2008,Pohyb zboží z ČR (meziroční index ),86.7
Česko,Svět celkem,4. čtvrtletí 2008,Pohyb zboží do ČR (meziroční index),91.6
Česko,Svět celkem,4. čtvrtletí 2008,Obrat pohybu zboží (meziroční index),89.1
Česko,Svět celkem,3. čtvrtletí 2008,"Pohyb zboží z ČR (v mil. Kč, FOB)",603389.0
Česko,Svět celkem,3. čtvrtletí 2008,"Pohyb zboží do ČR (v mil. Kč, CIF)",584806.0
Česko,Svět celkem,3. čtvrtletí 2008,Bilance - pohyb zboží (v mil. Kč),18583.0
Česko,Svět celkem,3. čtvrtletí 2008,Obrat - pohyb zboží (v mil. Kč),1188195.0
Česko,Svět celkem,3. čtvrtletí 2008,Pohyb zboží z ČR (meziroční index ),99.8
Česko,Svět celkem,3. čtvrtletí 2008,Pohyb zboží do ČR (meziroční index),98.8
Česko,Svět celkem,3. čtvrtletí 2008,Obrat pohybu zboží (meziroční index),99.3
Česko,Svět celkem,2. čtvrtletí 2008,"Pohyb zboží z ČR (v mil. Kč, FOB)",654191.0
Česko,Svět celkem,2. čtvrtletí 2008,"Pohyb zboží do ČR (v mil. Kč, CIF)",623983.0
Česko,Svět celkem,2. čtvrtletí 2008,Bilance - pohyb zboží (v mil. Kč),30209.0
Česko,Svět celkem,2. čtvrtletí 2008,Obrat - pohyb zboží (v mil. Kč),1278174.0
Česko,Svět celkem,2. čtvrtletí 2008,Pohyb zboží z ČR (meziroční index ),106.3
Česko,Svět celkem,2. čtvrtletí 2008,Pohyb zboží do ČR (meziroční index),104.7
Česko,Svět celkem,2. čtvrtletí 2008,Obrat pohybu zboží (meziroční index),105.5
Česko,Svět celkem,1. čtvrtletí 2008,"Pohyb zboží z ČR (v mil. Kč, FOB)",645418.0
Česko,Svět celkem,1. čtvrtletí 2008,"Pohyb zboží do ČR (v mil. Kč, CIF)",611581.0
Česko,Svět celkem,1. čtvrtletí 2008,Bilance - pohyb zboží (v mil. Kč),33837.0
Česko,Svět celkem,1. čtvrtletí 2008,Obrat - pohyb zboží (v mil. Kč),1256998.0
Česko,Svět celkem,1. čtvrtletí 2008,Pohyb zboží z ČR (meziroční index ),107.3
Česko,Svět celkem,1. čtvrtletí 2008,Pohyb zboží do ČR (meziroční index),108.6
Česko,Svět celkem,1. čtvrtletí 2008,Obrat pohybu zboží (meziroční index),107.9
Česko,Svět celkem,4. čtvrtletí 2007,"Pohyb zboží z ČR (v mil. Kč, FOB)",657979.0
Česko,Svět celkem,4. čtvrtletí 2007,"Pohyb zboží do ČR (v mil. Kč, CIF)",640108.0
Česko,Svět celkem,4. čtvrtletí 2007,Bilance - pohyb zboží (v mil. Kč),17871.0
Česko,Svět celkem,4. čtvrtletí 2007,Obrat - pohyb zboží (v mil. Kč),1298086.0
Česko,Svět celkem,4. čtvrtletí 2007,Pohyb zboží z ČR (meziroční index ),111.5
Česko,Svět celkem,4. čtvrtletí 2007,Pohyb zboží do ČR (meziroční index),109.4
Česko,Svět celkem,4. čtvrtletí 2007,Obrat pohybu zboží (meziroční index),110.5
Česko,Svět celkem,3. čtvrtletí 2007,"Pohyb zboží z ČR (v mil. Kč, FOB)",604820.0
Česko,Svět celkem,3. čtvrtletí 2007,"Pohyb zboží do ČR (v mil. Kč, CIF)",592121.0
Česko,Svět celkem,3. čtvrtletí 2007,Bilance - pohyb zboží (v mil. Kč),12698.0
Česko,Svět celkem,3. čtvrtletí 2007,Obrat - pohyb zboží (v mil. Kč),1196941.0
Česko,Svět celkem,3. čtvrtletí 2007,Pohyb zboží z ČR (meziroční index ),117.1
Česko,Svět celkem,3. čtvrtletí 2007,Pohyb zboží do ČR (meziroční index),115.3
Česko,Svět celkem,3. čtvrtletí 2007,Obrat pohybu zboží (meziroční index),116.2
Česko,Svět celkem,2. čtvrtletí 2007,"Pohyb zboží z ČR (v mil. Kč, FOB)",615191.0
Česko,Svět celkem,2. čtvrtletí 2007,"Pohyb zboží do ČR (v mil. Kč, CIF)",595795.0
Česko,Svět celkem,2. čtvrtletí 2007,Bilance - pohyb zboží (v mil. Kč),19396.0
Česko,Svět celkem,2. čtvrtletí 2007,Obrat - pohyb zboží (v mil. Kč),1210987.0
Česko,Svět celkem,2. čtvrtletí 2007,Pohyb zboží z ČR (meziroční index ),116.8
Česko,Svět celkem,2. čtvrtletí 2007,Pohyb zboží do ČR (meziroční index),114.8
Česko,Svět celkem,2. čtvrtletí 2007,Obrat pohybu zboží (meziroční index),115.8
Česko,Svět celkem,1. čtvrtletí 2007,"Pohyb zboží z ČR (v mil. Kč, FOB)",601244.0
Česko,Svět celkem,1. čtvrtletí 2007,"Pohyb zboží do ČR (v mil. Kč, CIF)",563294.0
Česko,Svět celkem,1. čtvrtletí 2007,Bilance - pohyb zboží (v mil. Kč),37950.0
Česko,Svět celkem,1. čtvrtletí 2007,Obrat - pohyb zboží (v mil. Kč),1164538.0
Česko,Svět celkem,1. čtvrtletí 2007,Pohyb zboží z ČR (meziroční index ),117.6
Česko,Svět celkem,1. čtvrtletí 2007,Pohyb zboží do ČR (meziroční index),115.6
Česko,Svět celkem,1. čtvrtletí 2007,Obrat pohybu zboží (meziroční index),116.6
Česko,Svět celkem,4. čtvrtletí 2006,"Pohyb zboží z ČR (v mil. Kč, FOB)",589992.0
Česko,Svět celkem,4. čtvrtletí 2006,"Pohyb zboží do ČR (v mil. Kč, CIF)",584869.0
Česko,Svět celkem,4. čtvrtletí 2006,Bilance - pohyb zboží (v mil. Kč),5123.0
Česko,Svět celkem,4. čtvrtletí 2006,Obrat - pohyb zboží (v mil. Kč),1174862.0
Česko,Svět celkem,4. čtvrtletí 2006,Pohyb zboží z ČR (meziroční index ),117.4
Česko,Svět celkem,4. čtvrtletí 2006,Pohyb zboží do ČR (meziroční index),116.6
Česko,Svět celkem,4. čtvrtletí 2006,Obrat pohybu zboží (meziroční index),117.0
Česko,Svět celkem,3. čtvrtletí 2006,"Pohyb zboží z ČR (v mil. Kč, FOB)",516423.0
Česko,Svět celkem,3. čtvrtletí 2006,"Pohyb zboží do ČR (v mil. Kč, CIF)",513539.0
Česko,Svět celkem,3. čtvrtletí 2006,Bilance - pohyb zboží (v mil. Kč),2884.0
Česko,Svět celkem,3. čtvrtletí 2006,Obrat - pohyb zboží (v mil. Kč),1029962.0
Česko,Svět celkem,3. čtvrtletí 2006,Pohyb zboží z ČR (meziroční index ),112.6
Česko,Svět celkem,3. čtvrtletí 2006,Pohyb zboží do ČR (meziroční index),112.0
Česko,Svět celkem,3. čtvrtletí 2006,Obrat pohybu zboží (meziroční index),112.3
Česko,Svět celkem,2. čtvrtletí 2006,"Pohyb zboží z ČR (v mil. Kč, FOB)",526855.0
Česko,Svět celkem,2. čtvrtletí 2006,"Pohyb zboží do ČR (v mil. Kč, CIF)",519014.0
Česko,Svět celkem,2. čtvrtletí 2006,Bilance - pohyb zboží (v mil. Kč),7841.0
Česko,Svět celkem,2. čtvrtletí 2006,Obrat - pohyb zboží (v mil. Kč),1045869.0
Česko,Svět celkem,2. čtvrtletí 2006,Pohyb zboží z ČR (meziroční index ),110.6
Česko,Svět celkem,2. čtvrtletí 2006,Pohyb zboží do ČR (meziroční index),112.2
Česko,Svět celkem,2. čtvrtletí 2006,Obrat pohybu zboží (meziroční index),111.4
Česko,Svět celkem,1. čtvrtletí 2006,"Pohyb zboží z ČR (v mil. Kč, FOB)",511303.0
