Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Kumulace měsíců,value
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – únor 2024,145.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – březen 2024,145.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – duben 2024,145.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – květen 2024,145.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – červen 2024,145.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – červenec 2024,145.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – srpen 2024,146.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – září 2024,146.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – říjen 2024,146.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – listopad 2024,146.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – prosinec 2024,146.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden 2025,146.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – únor 2025,149.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – březen 2025,150.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – duben 2025,151.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – květen 2025,151.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – červen 2025,151.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – červenec 2025,152.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – srpen 2025,152.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden 2023,121.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – únor 2023,122.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – březen 2023,122.8
