Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2021,106.8253755095
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2022,96.2635559287
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2023,104.4310231417
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2024,100.8772053997
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2001,113.1165959515
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2002,105.8290863098
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2003,105.1695772302
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2004,103.1667193566
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2005,114.8558346356
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2006,120.351467182
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2007,115.9131955765
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2008,98.745876906
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2009,88.9727552598
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2010,108.1094485144
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2011,106.996565124
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2012,98.9557608646
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2013,104.919262285
