Stát,Typ ceny,Čtvrtletí,Ukazatel,Typ indexu,value
Česko,Běžné ceny,2. čtvrtletí 2020,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),93.7407141667
Česko,Běžné ceny,2. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Meziroční index,91.8814404073
Česko,Běžné ceny,2. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),91.37901071
Česko,Běžné ceny,2. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Meziroční index,104.8440070466
Česko,Běžné ceny,2. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),98.2290678767
Česko,Běžné ceny,1. čtvrtletí 2020,Index stavební produkce - Celkem (%),Meziroční index,107.0436183287
Česko,Běžné ceny,1. čtvrtletí 2020,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),63.7900551933
Česko,Běžné ceny,1. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Meziroční index,103.9963437619
Česko,Běžné ceny,1. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),71.4861928533
Česko,Běžné ceny,1. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Meziroční index,116.4747581189
Česko,Běžné ceny,1. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),49.16375315
