Území,Ukazatel,Typ ceny,Očištění,CZCPA,Roky,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2024,70860.610778
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2023,67559.322673
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2022,62552.595237
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2021,56828.304646
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2020,48025.849578
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2019,51643.579439
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2018,46631.083414
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2017,42081.045121
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2016,43502.211665
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"21 Základní farmaceutické výrobky a farmaceutické přípravky, vč. subdodavatelských prací",2015,41512.373978
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2024,223847.979275
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2023,212409.155125
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2022,209831.24732
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2021,192572.516617
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2020,173774.279746
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2019,192433.216555
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2018,190551.279935
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2017,187719.958403
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2016,179486.534734
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"22 Pryžové a plastové výrobky, vč. souvisejících služeb a prací",2015,178567.696589
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2024,84553.100165
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2023,83490.164248
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2022,88969.156548
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2021,77605.952462
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2020,68887.748966
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2019,71896.479313
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2018,71017.283421
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2017,71099.265602
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2016,69346.696164
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"23 Ostatní nekovové minerální výrobky, vč. souvisejících služeb a prací",2015,69066.044375
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2024,149602.065177
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2023,159248.278975
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2022,194833.534601
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2021,167759.144876
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2020,122079.06476
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2019,137808.076288
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2018,149427.282205
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2017,138722.499092
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2016,128864.02325
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"24 Základní kovy, vč. subdodavatelských prací",2015,142009.78466
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2024,274667.697248
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2023,268302.163693
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2022,273894.443637
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2021,242306.252527
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2020,209864.640468
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2019,229685.683148
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2018,227574.623721
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2017,222338.058223
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2016,225297.922729
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"25 Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2015,218423.138151
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2024,440664.412111
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2023,368992.057317
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2022,413093.72755
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2021,407728.694847
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2020,384731.033783
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2019,385785.7756
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2018,382777.087757
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2017,341043.991689
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2016,298382.812409
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2015,309569.807657
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2024,471068.545377
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2023,453991.389448
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2022,417384.358514
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2021,348720.737092
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2020,304880.951542
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2019,311204.652868
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2018,308661.838572
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2017,296777.329242
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2016,274011.001704
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",2015,267702.344972
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2024,508740.434949
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2023,520959.210771
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2022,494963.993131
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2021,458318.875703
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2020,415704.314335
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2019,413362.670235
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2018,404200.63382
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2017,391556.218826
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2016,363327.014444
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",2015,353058.511018
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2024,1305023.023177
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2023,1228847.514525
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2022,1041937.44464
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2021,940212.92355
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2020,898994.910846
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2019,1020163.294578
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2018,985052.406334
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2017,990260.770251
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2016,923641.761048
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2015,848412.152828
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2024,81840.013548
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2023,77017.65467
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2022,65630.050917
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2021,56302.186026
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2020,53244.157111
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2019,58671.982002
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2018,51770.113488
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2017,53303.072459
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2016,45666.460957
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2015,49445.637053
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2024,31583.602205
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2023,32570.619407
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2022,36405.161158
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2021,34306.282828
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2020,31879.148161
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2019,28480.79029
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2018,27117.791262
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2017,26432.214877
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2016,26611.962058
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",2015,24052.018254
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2024,107156.78855
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2023,98325.788337
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2022,98020.335297
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2021,90644.95936
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2020,83513.34061
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2019,82202.541908
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2018,79050.402889
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2017,75734.77069
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2016,75092.514691
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2015,69200.480275
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2024,48269.17938
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2023,51876.110793
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2022,119246.170309
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2021,60379.00849
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2020,20706.903905
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2019,30559.790238
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2018,33469.877815
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2017,25260.128376
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2016,26130.182767
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",2015,30948.068587
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2024,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2023,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2022,0.060872
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2021,0.000887
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2020,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2019,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2018,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2017,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2016,0.0
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,2015,0.031547
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2024,46775.9876
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2023,39290.253749
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2022,47201.976204
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2021,46541.763983
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2020,27996.368244
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2019,31844.328497
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2018,35709.748478
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2017,34518.878265
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2016,26050.563096
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",2015,27383.103361
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2024,13626.230437
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2023,12296.220817
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2022,13090.713353
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2021,11285.041738
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2020,10931.409198
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2019,14694.724243
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2018,14000.281364
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2017,18261.228743
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2016,27737.215782
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,58 Vydavatelské služby,2015,26951.606407
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2024,6400.470286
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2023,7616.036459
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2022,7915.172949
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2021,7645.724537
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2020,9179.549954
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2019,12110.348471
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2018,11972.475284
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2017,10230.7011
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2016,4416.50922
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",2015,2009.881462
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,2024,3.329932
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,2023,8.968454
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,2022,2.838701
