Území,Roky,Země,Ukazatel,value
Česko,2024,Aruba,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Aruba,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Aruba,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Aruba,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Aruba,Pohyb zboží do ČR (meziroční index),
Česko,2024,Aruba,Obrat pohybu zboží (meziroční index),
Česko,2024,Austrálie,"Pohyb zboží z ČR (v mil. Kč, FOB)",15378.428073
Česko,2024,Austrálie,"Pohyb zboží do ČR (v mil. Kč, CIF)",2680.98483
Česko,2024,Austrálie,Bilance - pohyb zboží (v mil. Kč),12697.443243
Česko,2024,Austrálie,Obrat - pohyb zboží (v mil. Kč),18059.412903
Česko,2024,Austrálie,Pohyb zboží z ČR (meziroční index ),114.9770085333
Česko,2024,Austrálie,Pohyb zboží do ČR (meziroční index),94.9388839587
Česko,2024,Austrálie,Obrat pohybu zboží (meziroční index),111.4838707352
Česko,2024,Ázerbájdžán,"Pohyb zboží z ČR (v mil. Kč, FOB)",6808.921133
Česko,2024,Ázerbájdžán,"Pohyb zboží do ČR (v mil. Kč, CIF)",39614.317315
Česko,2024,Ázerbájdžán,Bilance - pohyb zboží (v mil. Kč),-32805.396182
Česko,2024,Ázerbájdžán,Obrat - pohyb zboží (v mil. Kč),46423.238448
Česko,2024,Ázerbájdžán,Pohyb zboží z ČR (meziroční index ),151.8308674445
Česko,2024,Ázerbájdžán,Pohyb zboží do ČR (meziroční index),133.3382822699
Česko,2024,Ázerbájdžán,Obrat pohybu zboží (meziroční index),135.7635723026
Česko,2024,Bahamy,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bahamy,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bahamy,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bahamy,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bahamy,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bahamy,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bahamy,Obrat pohybu zboží (meziroční index),
Česko,2024,Bahrajn,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bahrajn,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bahrajn,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bahrajn,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bahrajn,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bahrajn,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bahrajn,Obrat pohybu zboží (meziroční index),
Česko,2024,Bangladéš,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bangladéš,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bangladéš,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bangladéš,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bangladéš,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bangladéš,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bangladéš,Obrat pohybu zboží (meziroční index),
Česko,2024,Barbados,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Barbados,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Barbados,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Barbados,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Barbados,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Barbados,Pohyb zboží do ČR (meziroční index),
Česko,2024,Barbados,Obrat pohybu zboží (meziroční index),
Česko,2024,Belgie,"Pohyb zboží z ČR (v mil. Kč, FOB)",132822.081371
Česko,2024,Belgie,"Pohyb zboží do ČR (v mil. Kč, CIF)",83196.580033
Česko,2024,Belgie,Bilance - pohyb zboží (v mil. Kč),49625.501338
Česko,2024,Belgie,Obrat - pohyb zboží (v mil. Kč),216018.661404
Česko,2024,Belgie,Pohyb zboží z ČR (meziroční index ),105.8839371792
Česko,2024,Belgie,Pohyb zboží do ČR (meziroční index),102.5604188098
Česko,2024,Belgie,Obrat pohybu zboží (meziroční index),104.5787406535
Česko,2024,Belize,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Belize,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Belize,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Belize,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Belize,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Belize,Pohyb zboží do ČR (meziroční index),
Česko,2024,Belize,Obrat pohybu zboží (meziroční index),
Česko,2024,Bělorusko,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bělorusko,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bělorusko,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bělorusko,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bělorusko,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bělorusko,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bělorusko,Obrat pohybu zboží (meziroční index),
Česko,2024,Benin,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Benin,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Benin,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Benin,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Benin,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Benin,Pohyb zboží do ČR (meziroční index),
Česko,2024,Benin,Obrat pohybu zboží (meziroční index),
Česko,2024,Bermudy,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bermudy,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bermudy,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bermudy,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bermudy,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bermudy,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bermudy,Obrat pohybu zboží (meziroční index),
