Ukazatel;Území;Měsíce;Komodity SITC;value
Dovoz (v mil. Kč, CIF);Česko;únor 2024;4 Živočišné a rostlinné oleje, tuky a vosky;930.71114
Dovoz (v mil. Kč, CIF);Česko;únor 2024;5 Chemikálie a příbuzné výrobky, j. n.;42463.501028
Dovoz (v mil. Kč, CIF);Česko;únor 2024;6 Tržní výrobky tříděné hlavně podle materiálu;60818.366068
Dovoz (v mil. Kč, CIF);Česko;únor 2024;7 Stroje a dopravní prostředky;153790.762889
Dovoz (v mil. Kč, CIF);Česko;únor 2024;8 Průmyslové spotřební zboží;40845.076057
Dovoz (v mil. Kč, CIF);Česko;únor 2024;9 Komodity a předměty obchodu, j. n.;1051.489218
Dovoz (v mil. Kč, CIF);Česko;leden 2024;0 Potraviny a živá zvířata;22051.501451
Dovoz (v mil. Kč, CIF);Česko;leden 2024;1 Nápoje a tabák;2148.617564
Dovoz (v mil. Kč, CIF);Česko;leden 2024;2 Suroviny nepoživatelné, s výjimkou paliv;6563.491723
Dovoz (v mil. Kč, CIF);Česko;leden 2024;3 Minerální paliva, maziva a příbuzné materiály;24974.888273
Dovoz (v mil. Kč, CIF);Česko;leden 2024;4 Živočišné a rostlinné oleje, tuky a vosky;917.523495
Dovoz (v mil. Kč, CIF);Česko;leden 2024;5 Chemikálie a příbuzné výrobky, j. n.;42503.639706
Dovoz (v mil. Kč, CIF);Česko;leden 2024;6 Tržní výrobky tříděné hlavně podle materiálu;57550.15212
Dovoz (v mil. Kč, CIF);Česko;leden 2024;7 Stroje a dopravní prostředky;150564.096663
Dovoz (v mil. Kč, CIF);Česko;leden 2024;8 Průmyslové spotřební zboží;38182.339536
Dovoz (v mil. Kč, CIF);Česko;leden 2024;9 Komodity a předměty obchodu, j. n.;857.967163
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;0 Potraviny a živá zvířata;20568.275358
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;1 Nápoje a tabák;2772.560736
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;2 Suroviny nepoživatelné, s výjimkou paliv;5401.864076
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;3 Minerální paliva, maziva a příbuzné materiály;26744.176927
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;4 Živočišné a rostlinné oleje, tuky a vosky;974.07769
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;5 Chemikálie a příbuzné výrobky, j. n.;34419.991975
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;6 Tržní výrobky tříděné hlavně podle materiálu;43715.105129
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;7 Stroje a dopravní prostředky;136421.803205
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;8 Průmyslové spotřební zboží;35081.514932
Dovoz (v mil. Kč, CIF);Česko;prosinec 2023;9 Komodity a předměty obchodu, j. n.;629.108218
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;0 Potraviny a živá zvířata;22625.452193
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;1 Nápoje a tabák;3523.678083
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;2 Suroviny nepoživatelné, s výjimkou paliv;6316.608092
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;3 Minerální paliva, maziva a příbuzné materiály;26797.703185
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;4 Živočišné a rostlinné oleje, tuky a vosky;1234.285465
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;5 Chemikálie a příbuzné výrobky, j. n.;44388.370986
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;6 Tržní výrobky tříděné hlavně podle materiálu;60860.604199
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;7 Stroje a dopravní prostředky;168086.621166
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;8 Průmyslové spotřební zboží;44222.253053
Dovoz (v mil. Kč, CIF);Česko;listopad 2023;9 Komodity a předměty obchodu, j. n.;865.616362
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;0 Potraviny a živá zvířata;22689.336839
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;1 Nápoje a tabák;3225.458281
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;2 Suroviny nepoživatelné, s výjimkou paliv;7134.66186
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;3 Minerální paliva, maziva a příbuzné materiály;29338.958422
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;4 Živočišné a rostlinné oleje, tuky a vosky;1272.730777
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;5 Chemikálie a příbuzné výrobky, j. n.;47759.216413
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;6 Tržní výrobky tříděné hlavně podle materiálu;64571.111213
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;7 Stroje a dopravní prostředky;176680.271317
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;8 Průmyslové spotřební zboží;47204.049618
Dovoz (v mil. Kč, CIF);Česko;říjen 2023;9 Komodity a předměty obchodu, j. n.;735.410421
Dovoz (v mil. Kč, CIF);Česko;září 2023;0 Potraviny a živá zvířata;20656.788931
Dovoz (v mil. Kč, CIF);Česko;září 2023;1 Nápoje a tabák;3150.442414
Dovoz (v mil. Kč, CIF);Česko;září 2023;2 Suroviny nepoživatelné, s výjimkou paliv;6857.494479
Dovoz (v mil. Kč, CIF);Česko;září 2023;3 Minerální paliva, maziva a příbuzné materiály;27396.905852
Dovoz (v mil. Kč, CIF);Česko;září 2023;4 Živočišné a rostlinné oleje, tuky a vosky;1115.881987
Dovoz (v mil. Kč, CIF);Česko;září 2023;5 Chemikálie a příbuzné výrobky, j. n.;43277.738942
Dovoz (v mil. Kč, CIF);Česko;září 2023;6 Tržní výrobky tříděné hlavně podle materiálu;58727.874512
Dovoz (v mil. Kč, CIF);Česko;září 2023;7 Stroje a dopravní prostředky;152605.359049
Dovoz (v mil. Kč, CIF);Česko;září 2023;8 Průmyslové spotřební zboží;44090.619606
Dovoz (v mil. Kč, CIF);Česko;září 2023;9 Komodity a předměty obchodu, j. n.;643.448399
Dovoz (v mil. Kč, CIF);Česko;srpen 2023;0 Potraviny a živá zvířata;19665.14461
