Roky;Ukazatel;Rezidence;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Hotel, motel, botel ***;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Hotel garni;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Penzion;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Kemp;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Chatová osada;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Turistická ubytovna;
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Ostatní HUZ;
2023;Počet hostů;Celkem;Šumava západ;HUZ celkem;238814.0
2023;Počet hostů;Celkem;Šumava západ;Hotel *****;
2023;Počet hostů;Celkem;Šumava západ;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Šumava západ;Hotel, motel, botel ***;
2023;Počet hostů;Celkem;Šumava západ;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Šumava západ;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Šumava západ;Hotel garni;
2023;Počet hostů;Celkem;Šumava západ;Penzion;
2023;Počet hostů;Celkem;Šumava západ;Kemp;
2023;Počet hostů;Celkem;Šumava západ;Chatová osada;
2023;Počet hostů;Celkem;Šumava západ;Turistická ubytovna;
2023;Počet hostů;Celkem;Šumava západ;Ostatní HUZ;
2023;Počet hostů;Celkem;Jižní Plzeňsko;HUZ celkem;9001.0
2023;Počet hostů;Celkem;Jižní Plzeňsko;Hotel *****;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Hotel, motel, botel ***;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Hotel garni;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Penzion;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Kemp;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Chatová osada;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Turistická ubytovna;
2023;Počet hostů;Celkem;Jižní Plzeňsko;Ostatní HUZ;
2023;Počet hostů;Celkem;Šumava žije;HUZ celkem;
2023;Počet hostů;Celkem;Šumava žije;Hotel *****;
2023;Počet hostů;Celkem;Šumava žije;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Šumava žije;Hotel, motel, botel ***;
2023;Počet hostů;Celkem;Šumava žije;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Šumava žije;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Šumava žije;Hotel garni;
2023;Počet hostů;Celkem;Šumava žije;Penzion;
2023;Počet hostů;Celkem;Šumava žije;Kemp;
