Ukazatel,Území,Typ údaje,Odvětví,Čtvrtletí,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2010,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2010,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2011,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2011,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2011,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2011,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2012,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2012,101.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2012,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2012,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2013,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2013,101.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2013,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2013,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2014,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2014,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2014,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2014,102.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2015,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2015,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2016,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2016,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2016,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2016,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2017,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2017,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2017,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2018,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2018,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2018,102.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2018,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2019,102.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2019,103.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2019,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2019,101.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2020,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2020,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2020,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2020,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2021,104.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2021,111.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2021,118.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2021,123.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2022,129.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2022,143.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2022,145.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2022,144.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2023,144.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2023,141.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2023,137.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2023,136.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2024,136.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2024,136.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,3. čtvrtletí 2024,136.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,4. čtvrtletí 2024,136.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,1. čtvrtletí 2025,136.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2. čtvrtletí 2025,136.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2000,63.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2000,61.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2000,62.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2000,65.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2001,65.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2001,62.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2001,62.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2001,63.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2002,63.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2002,62.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2002,62.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2002,64.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2003,65.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2003,62.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2003,62.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2003,63.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2004,65.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2004,67.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2004,69.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2004,72.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2005,74.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2005,75.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2005,76.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2005,77.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2006,80.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2006,81.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2006,81.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2006,80.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2007,83.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2007,86.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2007,87.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2007,89.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2008,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2008,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2008,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2008,91.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2009,93.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2009,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2009,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2009,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2010,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2010,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2010,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2010,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2011,108.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2011,110.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2011,109.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2011,110.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2012,114.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2012,113.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2012,113.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2012,113.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2013,115.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2013,114.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2013,115.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2013,114.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2014,109.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2014,109.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2014,109.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2014,105.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2015,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2015,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2015,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2016,90.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2016,92.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2016,92.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2016,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2017,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2017,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2017,93.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2017,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2018,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2018,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2018,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2019,104.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2019,107.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2019,106.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2019,106.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2020,108.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2020,101.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2020,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2020,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2021,108.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2021,111.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2021,114.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2021,123.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2022,159.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2022,173.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2022,177.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2022,177.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2023,196.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2023,184.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2023,186.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2023,186.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2024,197.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2024,193.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,3. čtvrtletí 2024,189.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,4. čtvrtletí 2024,191.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,1. čtvrtletí 2025,192.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2. čtvrtletí 2025,182.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2000,90.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2000,90.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2000,90.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2000,91.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2001,92.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2001,93.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2001,93.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2001,93.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2002,93.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2002,93.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2002,93.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2002,93.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2003,93.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2003,93.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2003,93.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2003,93.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2004,93.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2004,94.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2004,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2004,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2005,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2005,95.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2005,95.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2005,95.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2006,95.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2006,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2006,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2006,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2007,97.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2007,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2007,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2007,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2008,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2008,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2008,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2008,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2009,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2009,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2009,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2009,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2010,96.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2010,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2010,96.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2010,96.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2011,95.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2011,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2011,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2011,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2012,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2012,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2012,96.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2012,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2013,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2013,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2013,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2013,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2014,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2014,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2014,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2014,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2015,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2015,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2015,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2015,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2016,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2016,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2016,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2016,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2017,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2017,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2017,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2017,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2018,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2018,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2018,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2018,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,1. čtvrtletí 2019,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2. čtvrtletí 2019,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,3. čtvrtletí 2019,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,4. čtvrtletí 2019,100.5
