Ukazatel,Roky,Věk (jednoleté skupiny),"ČR, Reg. soudržnosti, Kraje",value
Míry plodnosti,2024,25,Moravskoslezsko,70.02546381
Míry plodnosti,2024,25,Hlavní město Praha,44.18938307
Míry plodnosti,2024,25,Středočeský kraj,64.86573924
Míry plodnosti,2024,25,Jihočeský kraj,78.37837838
Míry plodnosti,2024,25,Plzeňský kraj,78.00917755
Míry plodnosti,2024,25,Karlovarský kraj,69.56521739
Míry plodnosti,2024,25,Ústecký kraj,78.33981842
Míry plodnosti,2024,25,Liberecký kraj,65.53512494
Míry plodnosti,2024,25,Královéhradecký kraj,70.01582278
Míry plodnosti,2024,25,Pardubický kraj,72.38924051
Míry plodnosti,2024,25,Kraj Vysočina,74.07407407
Míry plodnosti,2024,25,Jihomoravský kraj,65.16565989
Míry plodnosti,2024,25,Olomoucký kraj,73.17927171
Míry plodnosti,2024,25,Zlínský kraj,64.96960486
Míry plodnosti,2024,25,Moravskoslezský kraj,70.02546381
Míry plodnosti,2024,26,Česko,79.56260166
Míry plodnosti,2024,26,Praha,54.89453759
Míry plodnosti,2024,26,Střední Čechy,80.19691917
Míry plodnosti,2024,26,Jihozápad,82.44953815
Míry plodnosti,2024,26,Severozápad,84.25256752
Míry plodnosti,2024,26,Severovýchod,90.20044543
Míry plodnosti,2024,26,Jihovýchod,80.26137344
Míry plodnosti,2024,26,Střední Morava,88.22443706
Míry plodnosti,2024,26,Moravskoslezsko,80.9929335
Míry plodnosti,2024,26,Hlavní město Praha,54.89453759
Míry plodnosti,2024,26,Středočeský kraj,80.19691917
Míry plodnosti,2024,26,Jihočeský kraj,85.79088472
Míry plodnosti,2024,26,Plzeňský kraj,78.96575821
Míry plodnosti,2024,26,Karlovarský kraj,77.96852647
Míry plodnosti,2024,26,Ústecký kraj,86.52849741
Míry plodnosti,2024,26,Liberecký kraj,84.07703147
Míry plodnosti,2024,26,Královéhradecký kraj,85.39505188
Míry plodnosti,2024,26,Pardubický kraj,100.0392311
Míry plodnosti,2024,26,Kraj Vysočina,90.1010101
Míry plodnosti,2024,26,Jihomoravský kraj,75.94038325
Míry plodnosti,2024,26,Olomoucký kraj,87.90436006
Míry plodnosti,2024,26,Zlínský kraj,88.57808858
Míry plodnosti,2024,26,Moravskoslezský kraj,80.9929335
Míry plodnosti,2024,27,Česko,89.61568323
Míry plodnosti,2024,27,Praha,63.96833504
Míry plodnosti,2024,27,Střední Čechy,91.12444725
Míry plodnosti,2024,27,Jihozápad,93.69186538
Míry plodnosti,2024,27,Severozápad,87.66485648
Míry plodnosti,2024,27,Severovýchod,100.2239642
Míry plodnosti,2024,27,Jihovýchod,93.25033565
Míry plodnosti,2024,27,Střední Morava,98.33668434
Míry plodnosti,2024,27,Moravskoslezsko,93.99525461
Míry plodnosti,2024,27,Hlavní město Praha,63.96833504
Míry plodnosti,2024,27,Středočeský kraj,91.12444725
Míry plodnosti,2024,27,Jihočeský kraj,102.5899765
Míry plodnosti,2024,27,Plzeňský kraj,84.69387755
Míry plodnosti,2024,27,Karlovarský kraj,71.37654771
Míry plodnosti,2024,27,Ústecký kraj,93.57652657
Míry plodnosti,2024,27,Liberecký kraj,91.78279673
Míry plodnosti,2024,27,Královéhradecký kraj,100.3159558
Míry plodnosti,2024,27,Pardubický kraj,107.0723034
Míry plodnosti,2024,27,Kraj Vysočina,106.1158364
Míry plodnosti,2024,27,Jihomoravský kraj,87.70090846
Míry plodnosti,2024,27,Olomoucký kraj,95.55246699
Míry plodnosti,2024,27,Zlínský kraj,101.4269186
Míry plodnosti,2024,27,Moravskoslezský kraj,93.99525461
Míry plodnosti,2024,28,Česko,97.44508344
Míry plodnosti,2024,28,Praha,72.01169733
Míry plodnosti,2024,28,Střední Čechy,98.09840024
Míry plodnosti,2024,28,Jihozápad,100.2146277
Míry plodnosti,2024,28,Severozápad,93.88523048
Míry plodnosti,2024,28,Severovýchod,102.032294
Míry plodnosti,2024,28,Jihovýchod,106.3804694
Míry plodnosti,2024,28,Střední Morava,110.4
Míry plodnosti,2024,28,Moravskoslezsko,101.948755
Míry plodnosti,2024,28,Hlavní město Praha,72.01169733
Míry plodnosti,2024,28,Středočeský kraj,98.09840024
Míry plodnosti,2024,28,Jihočeský kraj,109.7560976
Míry plodnosti,2024,28,Plzeňský kraj,90.63843864
Míry plodnosti,2024,28,Karlovarský kraj,75.19325369
Míry plodnosti,2024,28,Ústecký kraj,100.7194245
Míry plodnosti,2024,28,Liberecký kraj,98.60509861
