Ukazatel;Počet zaměstnanců;Kraje, SO ORP;Čtvrtletí;value
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;1. čtvrtletí 2021;116411
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;1. čtvrtletí 2025;322915
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;4. čtvrtletí 2024;321073
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;3. čtvrtletí 2024;319241
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2. čtvrtletí 2024;317221
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;1. čtvrtletí 2024;317344
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;4. čtvrtletí 2023;316213
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;3. čtvrtletí 2023;315093
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2. čtvrtletí 2023;314432
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;1. čtvrtletí 2023;321230
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;4. čtvrtletí 2022;335762
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;3. čtvrtletí 2022;336538
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2. čtvrtletí 2022;335069
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;1. čtvrtletí 2022;333476
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;4. čtvrtletí 2021;332277
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;3. čtvrtletí 2021;330659
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;2. čtvrtletí 2021;329083
Počet ekonomických subjektů celkem;Celkem;Jihomoravský kraj;1. čtvrtletí 2021;327139
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;1. čtvrtletí 2025;135518
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;4. čtvrtletí 2024;135024
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;3. čtvrtletí 2024;134624
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2. čtvrtletí 2024;133947
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;1. čtvrtletí 2024;134349
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;4. čtvrtletí 2023;134345
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;3. čtvrtletí 2023;134076
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2. čtvrtletí 2023;134060
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;1. čtvrtletí 2023;137099
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;4. čtvrtletí 2022;147495
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;3. čtvrtletí 2022;148553
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2. čtvrtletí 2022;148193
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;1. čtvrtletí 2022;147614
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;4. čtvrtletí 2021;147212
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;3. čtvrtletí 2021;146700
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;2. čtvrtletí 2021;146201
Počet ekonomických subjektů celkem;Celkem;Olomoucký kraj;1. čtvrtletí 2021;145691
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;1. čtvrtletí 2025;132728
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;4. čtvrtletí 2024;132315
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;3. čtvrtletí 2024;131874
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2. čtvrtletí 2024;131377
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;1. čtvrtletí 2024;131949
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;4. čtvrtletí 2023;131790
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;3. čtvrtletí 2023;131686
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2. čtvrtletí 2023;131718
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;1. čtvrtletí 2023;134865
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;4. čtvrtletí 2022;146086
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;3. čtvrtletí 2022;146649
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2. čtvrtletí 2022;146184
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;1. čtvrtletí 2022;145737
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;4. čtvrtletí 2021;145404
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;3. čtvrtletí 2021;145069
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;2. čtvrtletí 2021;144781
Počet ekonomických subjektů celkem;Celkem;Zlínský kraj;1. čtvrtletí 2021;144362
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;1. čtvrtletí 2025;247776
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;4. čtvrtletí 2024;246678
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;3. čtvrtletí 2024;245639
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2. čtvrtletí 2024;244243
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;1. čtvrtletí 2024;244809
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;4. čtvrtletí 2023;244087
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;3. čtvrtletí 2023;243333
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2. čtvrtletí 2023;243105
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;1. čtvrtletí 2023;246617
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;4. čtvrtletí 2022;262655
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;3. čtvrtletí 2022;264567
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2. čtvrtletí 2022;264005
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;1. čtvrtletí 2022;263263
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;4. čtvrtletí 2021;262405
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;3. čtvrtletí 2021;261290
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;2. čtvrtletí 2021;260333
Počet ekonomických subjektů celkem;Celkem;Moravskoslezský kraj;1. čtvrtletí 2021;259069
