Ukazatel,Území,Typ údaje,Odvětví,Kumulace měsíců,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2009,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2009,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2009,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2010,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2010,94.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2010,94.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2010,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2010,94.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2010,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2010,95.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2010,95.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2010,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2010,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2010,95.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2010,95.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2011,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2011,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2011,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2011,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2011,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2011,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2011,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2011,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2011,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2011,100.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2011,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2011,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2012,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2012,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2012,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2012,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2012,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2012,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2013,104.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2013,104.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2013,104.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2013,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2013,104.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2013,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2013,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2013,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2013,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2014,103.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2014,103.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2014,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2014,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2014,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2015,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2015,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2015,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2015,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2015,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2015,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2015,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2015,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2015,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2016,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2016,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2016,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2016,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2016,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2016,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2016,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2016,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2016,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2016,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2016,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2016,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2017,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2017,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2017,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2017,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2017,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2018,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2018,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – březen 2018,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – duben 2018,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – květen 2018,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červen 2018,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – červenec 2018,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – srpen 2018,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – září 2018,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – říjen 2018,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – listopad 2018,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – prosinec 2018,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden 2019,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,leden – únor 2019,102.2
