Území;Týdny;Ukazatel;value
Česko; 02. týden 2023;Index cen (%);98.7
Česko; 01. týden 2023;Průměrná cena bez daní (Kč/tis. l);21287.0
Česko; 01. týden 2023;Index cen (%);102.4
Česko; 51. týden 2022;Průměrná cena bez daní (Kč/tis. l);20793.0
Česko; 51. týden 2022;Index cen (%);100.4
Česko; 50. týden 2022;Průměrná cena bez daní (Kč/tis. l);20706.0
Česko; 50. týden 2022;Index cen (%);100.2
Česko; 49. týden 2022;Průměrná cena bez daní (Kč/tis. l);20674.0
Česko; 49. týden 2022;Index cen (%);91.1
Česko; 48. týden 2022;Průměrná cena bez daní (Kč/tis. l);22705.0
Česko; 48. týden 2022;Index cen (%);97.9
Česko; 47. týden 2022;Průměrná cena bez daní (Kč/tis. l);23185.0
Česko; 47. týden 2022;Index cen (%);94.1
Česko; 46. týden 2022;Průměrná cena bez daní (Kč/tis. l);24629.0
Česko; 46. týden 2022;Index cen (%);95.5
Česko; 45. týden 2022;Průměrná cena bez daní (Kč/tis. l);25800.0
Česko; 45. týden 2022;Index cen (%);94.4
Česko; 44. týden 2022;Průměrná cena bez daní (Kč/tis. l);27334.0
Česko; 44. týden 2022;Index cen (%);96.7
Česko; 43. týden 2022;Průměrná cena bez daní (Kč/tis. l);28279.0
Česko; 43. týden 2022;Index cen (%);100.1
Česko; 42. týden 2022;Průměrná cena bez daní (Kč/tis. l);28253.0
Česko; 42. týden 2022;Index cen (%);101.1
Česko; 41. týden 2022;Průměrná cena bez daní (Kč/tis. l);27953.0
Česko; 41. týden 2022;Index cen (%);113.1
Česko; 40. týden 2022;Průměrná cena bez daní (Kč/tis. l);24721.0
Česko; 40. týden 2022;Index cen (%);102.5
Česko; 39. týden 2022;Průměrná cena bez daní (Kč/tis. l);24122.0
Česko; 39. týden 2022;Index cen (%);97.5
Česko; 38. týden 2022;Průměrná cena bez daní (Kč/tis. l);24734.0
Česko; 38. týden 2022;Index cen (%);95.2
Česko; 37. týden 2022;Průměrná cena bez daní (Kč/tis. l);25988.0
Česko; 37. týden 2022;Index cen (%);96.3
Česko; 36. týden 2022;Průměrná cena bez daní (Kč/tis. l);26997.0
Česko; 36. týden 2022;Index cen (%);97.9
Česko; 35. týden 2022;Průměrná cena bez daní (Kč/tis. l);27578.0
Česko; 35. týden 2022;Index cen (%);107.1
Česko; 34. týden 2022;Průměrná cena bez daní (Kč/tis. l);25760.0
Česko; 34. týden 2022;Index cen (%);105.7
Česko; 33. týden 2022;Průměrná cena bez daní (Kč/tis. l);24366.0
Česko; 33. týden 2022;Index cen (%);100.0
Česko; 32. týden 2022;Průměrná cena bez daní (Kč/tis. l);24368.0
Česko; 32. týden 2022;Index cen (%);90.9
Česko; 31. týden 2022;Průměrná cena bez daní (Kč/tis. l);26803.0
Česko; 31. týden 2022;Index cen (%);100.5
Česko; 30. týden 2022;Průměrná cena bez daní (Kč/tis. l);26659.0
Česko; 30. týden 2022;Index cen (%);95.7
Česko; 29. týden 2022;Průměrná cena bez daní (Kč/tis. l);27845.0
Česko; 29. týden 2022;Index cen (%);101.8
Česko; 28. týden 2022;Průměrná cena bez daní (Kč/tis. l);27350.0
Česko; 28. týden 2022;Index cen (%);93.7
Česko; 27. týden 2022;Průměrná cena bez daní (Kč/tis. l);29201.0
Česko; 27. týden 2022;Index cen (%);98.2
Česko; 26. týden 2022;Průměrná cena bez daní (Kč/tis. l);29742.0
