Ukazatel;Území;Reprezentant pro oblast cen;Měsíce;value
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2015;79.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2015;78.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2015;78.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2015;79.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2015;79.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2015;78.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2015;78.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2015;78.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2015;79.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2015;76.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2016;71.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2016;70.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2016;69.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2016;69.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2016;70.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2016;72.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2016;74.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2016;75.56
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2016;77.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2016;80.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2016;78.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2016;79.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2017;75.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2017;75.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2017;74.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2017;77.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2017;80.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2017;83.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2017;82.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2017;83.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2017;81.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2017;78.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2017;75.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2017;74.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2018;73.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2018;70.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2018;71.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2018;70.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2018;69.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2018;69.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2018;70.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2018;70.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2018;69.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2018;70.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2018;70.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2018;70.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2019;70.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2019;69.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2019;70.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2019;77.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2019;81.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2019;84.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2019;86.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2019;85.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2019;86.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2019;88.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2019;90.62
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2019;100.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2020;100.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2020;96.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2020;95.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2020;94.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2020;91.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2020;84.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2020;79.56
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2020;77.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2020;77.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2020;76.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2020;74.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2020;75.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2021;73.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2021;72.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2021;76.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2021;79.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2021;78.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2021;79.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2021;76.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2021;74.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2021;73.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2021;73.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2021;73.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2021;73.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2022;71.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2022;72.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2022;78.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2022;88.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2022;89.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2022;86.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2022;85.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2022;86.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2022;89.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2022;93.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2022;91.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2022;93.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2023;90.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2023;90.57
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2023;94.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2023;97.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2023;98.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2023;97.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2023;98.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2023;98.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2023;99.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2023;98.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2023;96.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2023;96.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2024;96.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2024;95.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2024;96.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2024;97.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];květen 2024;97.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červen 2024;98.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];červenec 2024;96.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];srpen 2024;95.62
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];září 2024;96.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];říjen 2024;95.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];listopad 2024;96.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];prosinec 2024;94.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];leden 2025;92.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];únor 2025;89.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];březen 2025;88.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Vepřová kýta bez kosti [kg];duben 2025;89.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2013;44.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2013;43.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2013;44.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2013;43.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2013;43.53
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2013;43.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2013;43.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2013;43.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2013;44.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2013;43.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2013;43.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2013;42.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2014;43.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2014;42.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2014;42.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2014;42.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2014;43.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2014;44.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2014;44.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2014;43.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2014;43.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2014;45.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2014;44.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2014;44.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2015;46.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2015;45.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2015;43.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2015;44.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2015;45.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2015;44.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2015;45.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2015;44.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2015;45.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2015;45.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2015;45.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2015;44.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2016;46.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2016;45.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2016;43.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2016;45.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2016;44.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2016;44.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2016;44.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2016;45.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2016;42.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2016;44.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2016;43.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2016;45.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2017;43.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2017;43.62
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2017;43.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2017;42.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2017;42.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2017;41.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2017;42.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2017;43.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2017;42.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2017;42.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2017;41.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2017;40.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2018;40.22
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2018;39.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2018;39.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2018;39.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2018;40.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2018;39.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2018;39.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2018;40.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2018;40.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2018;39.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2018;40.11
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2018;40.46
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2019;39.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2019;39.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2019;39.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2019;39.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2019;40.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2019;39.78
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2019;39.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2019;39.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2019;40.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2019;40.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2019;40.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2019;40.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2020;39.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2020;41.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2020;41.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2020;40.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2020;40.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2020;41.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2020;41.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2020;42.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2020;41.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2020;41.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2020;40.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2020;40.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2021;39.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2021;40.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2021;39.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2021;41.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2021;40.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2021;41.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2021;40.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2021;40.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2021;39.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2021;41.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2021;40.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2021;40.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2022;38.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2022;39.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2022;40.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2022;45.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2022;49.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2022;54.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2022;56.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2022;57.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2022;58.75
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;říjen 2022;57.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;listopad 2022;57.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;prosinec 2022;57.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;leden 2023;57.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;únor 2023;58.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;březen 2023;58.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;duben 2023;56.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;květen 2023;57.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červen 2023;57.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;červenec 2023;57.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;srpen 2023;54.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Kuře kuchané I.tř. [kg] mražené;září 2023;55.15
