Území;Čtvrtletí;Ukazatel;value
Česko;1. čtvrtletí 2022;Rozvody na 1 000 obyvatel;1.95050049443401
Česko;1. čtvrtletí 2022;Živě narození na 1 000 obyvatel;9.4917177482051
Česko;1. čtvrtletí 2022;Potraty na 1 000 obyvatel;2.72746973102575
Česko;1. čtvrtletí 2022;UPT na 1 000 obyvatel;1.6131727615177
Česko;1. čtvrtletí 2022;Zemřelí na 1 000 obyvatel;12.3534262235727
Česko;1. čtvrtletí 2022;Přistěhovalí na 1 000 obyvatel;63.3272238028219
Česko;1. čtvrtletí 2022;Vystěhovalí na 1 000 obyvatel;1.81664638832811
Česko;1. čtvrtletí 2022;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.86170847536759
Česko;1. čtvrtletí 2022;Přírůstek/úbytek stěhováním na 1 000 obyvatel;61.5105774144938
Česko;1. čtvrtletí 2022;Celkový přírůstek/úbytek na 1 000 obyvatel;58.6488689391262
Česko;1. čtvrtletí 2022;Kojenecká úmrtnost;2.51246099606921
Česko;1. čtvrtletí 2022;Novorozenecká úmrtnost;1.33727762694007
Česko;4. čtvrtletí 2021;Sňatky na 1 000 obyvatel;2.46965168543409
Česko;4. čtvrtletí 2021;Rozvody na 1 000 obyvatel;1.91392346474292
Česko;4. čtvrtletí 2021;Živě narození na 1 000 obyvatel;10.0125398838581
Česko;4. čtvrtletí 2021;Potraty na 1 000 obyvatel;2.58472100472181
Česko;4. čtvrtletí 2021;UPT na 1 000 obyvatel;1.45779622861554
Česko;4. čtvrtletí 2021;Zemřelí na 1 000 obyvatel;13.8562324245246
Česko;4. čtvrtletí 2021;Přistěhovalí na 1 000 obyvatel;7.17353454733331
Česko;4. čtvrtletí 2021;Vystěhovalí na 1 000 obyvatel;1.2178484021664
Česko;4. čtvrtletí 2021;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.84369254066644
Česko;4. čtvrtletí 2021;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.95568614516691
Česko;4. čtvrtletí 2021;Celkový přírůstek/úbytek na 1 000 obyvatel;2.11199360450047
Česko;4. čtvrtletí 2021;Kojenecká úmrtnost;2.33618448321338
Česko;4. čtvrtletí 2021;Novorozenecká úmrtnost;1.35649421605938
Česko;3. čtvrtletí 2021;Sňatky na 1 000 obyvatel;9.36726052031257
Česko;3. čtvrtletí 2021;Rozvody na 1 000 obyvatel;1.92246727843712
Česko;3. čtvrtletí 2021;Živě narození na 1 000 obyvatel;11.1341480464975
Česko;3. čtvrtletí 2021;Potraty na 1 000 obyvatel;2.50249276256194
Česko;3. čtvrtletí 2021;UPT na 1 000 obyvatel;1.41154639300687
Česko;3. čtvrtletí 2021;Zemřelí na 1 000 obyvatel;9.99184525386885
Česko;3. čtvrtletí 2021;Přistěhovalí na 1 000 obyvatel;5.7538074880272
Česko;3. čtvrtletí 2021;Vystěhovalí na 1 000 obyvatel;3.02209892542375
Česko;3. čtvrtletí 2021;Přirozený přírůstek/úbytek na 1 000 obyvatel;1.14230279262862
Česko;3. čtvrtletí 2021;Přírůstek/úbytek stěhováním na 1 000 obyvatel;2.73170856260345
Česko;3. čtvrtletí 2021;Celkový přírůstek/úbytek na 1 000 obyvatel;3.87401135523207
Česko;3. čtvrtletí 2021;Kojenecká úmrtnost;2.23842631846702
Česko;3. čtvrtletí 2021;Novorozenecká úmrtnost;1.56011531287095
Česko;2. čtvrtletí 2021;Sňatky na 1 000 obyvatel;4.77885261866484
Česko;2. čtvrtletí 2021;Rozvody na 1 000 obyvatel;2.25869781824432
Česko;2. čtvrtletí 2021;Živě narození na 1 000 obyvatel;10.7052108813252
Česko;2. čtvrtletí 2021;Potraty na 1 000 obyvatel;2.69025473765503
Česko;2. čtvrtletí 2021;UPT na 1 000 obyvatel;1.46094822496697
Česko;2. čtvrtletí 2021;Zemřelí na 1 000 obyvatel;11.4230708411598
Česko;2. čtvrtletí 2021;Přistěhovalí na 1 000 obyvatel;6.35638619387119
Česko;2. čtvrtletí 2021;Vystěhovalí na 1 000 obyvatel;0.860820356521614
Česko;2. čtvrtletí 2021;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.717859959834632
Česko;2. čtvrtletí 2021;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.49556583734958
