Území,Ukazatel,CZ-NACE,Čtvrtletí,Očištění,Typ indexu,value
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),107.82625822
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2021,Bez očištění,Meziroční index,110.0045476201
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2021,Bez očištění,Bazický index (2021 = 100),116.5575877733
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,109.3523747699
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),116.29105633
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,110.0675560192
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),105.36661693
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2021,Bez očištění,Meziroční index,101.2728908864
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2021,Bez očištění,Bazický index (2021 = 100),108.80201022
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,101.8987722195
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),109.4028787067
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,102.4490072565
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),99.7161591567
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2021,Bez očištění,Meziroční index,102.2535088319
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2021,Bez očištění,Bazický index (2021 = 100),100.70089864
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,101.0878556723
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),100.3514225567
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,101.2537862917
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),98.2585916267
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2021,Bez očištění,Meziroční index,90.3817524482
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2021,Bez očištění,Bazický index (2021 = 100),73.93950338
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,90.6663090834
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2021,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),73.9546424067
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,89.3650798473
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2021,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),96.6586322867
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2020,Bez očištění,Meziroční index,88.0315119203
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2020,Bez očištění,Bazický index (2021 = 100),105.9570629533
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,88.2243184724
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),106.34525
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,89.0910703656
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),95.729042
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2020,Bez očištění,Meziroční index,83.4794144402
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2020,Bez očištění,Bazický index (2021 = 100),107.4344864333
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,83.9171244994
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),107.3642756667
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,84.5447676448
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),97.3324796667
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2020,Bez očištění,Meziroční index,80.8523790047
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2020,Bez očištění,Bazický index (2021 = 100),98.48160693
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,80.8161063935
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),99.271492
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,81.0429449465
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),97.0418936667
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2020,Bez očištění,Meziroční index,98.6321737136
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2020,Bez očištění,Bazický index (2021 = 100),81.8079992667
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,97.9828556468
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2020,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),81.567942
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,97.2636063657
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2020,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),108.161524
