Ukazatel;Území;Roky;value
Počet obyvatel - celkem;Karlovarský kraj;2012;301726.0
Počet obyvatel - celkem;Karlovarský kraj;2011;303165.0
Počet obyvatel - celkem;Karlovarský kraj;2010;307444.0
Počet obyvatel - celkem;Karlovarský kraj;2009;307636.0
Počet obyvatel - celkem;Karlovarský kraj;2008;308403.0
Počet obyvatel - celkem;Karlovarský kraj;2007;307449.0
Počet obyvatel - celkem;Karlovarský kraj;2006;304602.0
Počet obyvatel - celkem;Karlovarský kraj;2005;304274.0
Počet obyvatel - celkem;Karlovarský kraj;2004;304588.0
Počet obyvatel - celkem;Karlovarský kraj;2003;304249.0
Počet obyvatel - celkem;Karlovarský kraj;2002;304220.0
Počet obyvatel - celkem;Karlovarský kraj;2001;303714.0
Počet obyvatel - celkem;Karlovarský kraj;2000;304400.0
Počet obyvatel - celkem;Karlovarský kraj;1999;304823.0
Počet obyvatel - celkem;Karlovarský kraj;1998;304831.0
Počet obyvatel - celkem;Karlovarský kraj;1997;304919.0
Počet obyvatel - celkem;Karlovarský kraj;1996;304834.0
Počet obyvatel - celkem;Karlovarský kraj;1995;305086.0
Počet obyvatel - celkem;Karlovarský kraj;1994;305164.0
Počet obyvatel - celkem;Karlovarský kraj;1993;304733.0
Počet obyvatel - celkem;Karlovarský kraj;1992;303987.0
Počet obyvatel - celkem;Karlovarský kraj;1991;303180.0
Počet obyvatel - celkem;Karlovarský kraj;1990;301924.0
Počet obyvatel - celkem;Karlovarský kraj;1989;306643.0
Počet obyvatel - celkem;Karlovarský kraj;1988;
Počet obyvatel - celkem;Karlovarský kraj;1987;
Počet obyvatel - celkem;Karlovarský kraj;1986;
Počet obyvatel - celkem;Karlovarský kraj;1985;
Počet obyvatel - celkem;Karlovarský kraj;1984;
Počet obyvatel - celkem;Karlovarský kraj;1983;
Počet obyvatel - celkem;Karlovarský kraj;1982;
Počet obyvatel - celkem;Karlovarský kraj;1981;
Počet obyvatel - celkem;Ústecký kraj;2024;808356.0
Počet obyvatel - celkem;Ústecký kraj;2023;811169.0
Počet obyvatel - celkem;Ústecký kraj;2022;812337.0
Počet obyvatel - celkem;Ústecký kraj;2021;798898.0
Počet obyvatel - celkem;Ústecký kraj;2020;817004.0
Počet obyvatel - celkem;Ústecký kraj;2019;820965.0
Počet obyvatel - celkem;Ústecký kraj;2018;820789.0
Počet obyvatel - celkem;Ústecký kraj;2017;821080.0
Počet obyvatel - celkem;Ústecký kraj;2016;821377.0
Počet obyvatel - celkem;Ústecký kraj;2015;822826.0
