Ukazatel;Rok sčítání;Pohlaví;Území;Mateřský jazyk;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Nezjištěno;32658
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Obyvatelstvo celkem;1162841
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Český;987375
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Moravský;891
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Slovenský;20824
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Polský;17101
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Německý;581
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Romský;580
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Ruský;1085
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Ukrajinský;1364
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Vietnamský;2547
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Maďarský;899
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Anglický;589
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Nezjištěno;86821
