Ukazatel,Území,Klasifikace produkce,Měsíce,value
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",leden 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",únor 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",duben 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",květen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Dřevo a dřevěné a korkové výrobky, kromě nábytku",srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,březen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Papír a výrobky z papíru,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Tiskařské a nahrávací služby,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,leden 2023,0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,únor 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,březen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,duben 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,květen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,červen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,červenec 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,srpen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,září 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,říjen 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,listopad 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,prosinec 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,únor 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,březen 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,duben 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,květen 2024,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,duben 2025,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,květen 2025,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,červen 2025,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Chemické látky a chemické přípravky,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní farmaceutické výrobky a farmaceutické přípravky,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,duben 2025,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Pryžové a plastové výrobky,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,leden 2023,0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,únor 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,červenec 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,leden 2025,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní nekovové minerální výrobky,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,únor 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,červen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,červenec 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,srpen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Základní kovy,listopad 2023,-0.1
