Stát;Typ ceny;Měsíce;Ukazatel;Typ indexu;value
Česko;Běžné ceny;červenec 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);131.75371003
Česko;Běžné ceny;červen 2023;Index stavební produkce - Celkem (%);Meziroční index;105.1413074907
Česko;Běžné ceny;červen 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);138.12037626
Česko;Běžné ceny;červen 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;105.1883470989
Česko;Běžné ceny;červen 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);133.98206587
Česko;Běžné ceny;červen 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;105.0593609503
Česko;Běžné ceny;červen 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);145.98512353
Česko;Běžné ceny;květen 2023;Index stavební produkce - Celkem (%);Meziroční index;99.6463525674
Česko;Běžné ceny;květen 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);124.91726168
Česko;Běžné ceny;květen 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;101.6014042886
Česko;Běžné ceny;květen 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);124.7496045
Česko;Běžné ceny;květen 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;96.1440548872
Česko;Běžné ceny;květen 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);125.23588964
Česko;Běžné ceny;duben 2023;Index stavební produkce - Celkem (%);Meziroční index;96.9474673042
Česko;Běžné ceny;duben 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);107.06786919
Česko;Běžné ceny;duben 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;97.8399861103
Česko;Běžné ceny;duben 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);109.09162587
Česko;Běžné ceny;duben 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;95.2031159473
Česko;Běžné ceny;duben 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);103.22177419
Česko;Běžné ceny;březen 2023;Index stavební produkce - Celkem (%);Meziroční index;105.3347322279
Česko;Běžné ceny;březen 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);107.89434152
Česko;Běžné ceny;březen 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;111.6479904786
Česko;Běžné ceny;březen 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);120.34082387
Česko;Běžné ceny;březen 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;91.3161005249
Česko;Běžné ceny;březen 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);84.24013751
Česko;Běžné ceny;únor 2023;Index stavební produkce - Celkem (%);Meziroční index;105.1935299891
Česko;Běžné ceny;únor 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);76.7636968
Česko;Běžné ceny;únor 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;109.0910349695
Česko;Běžné ceny;únor 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);88.296143
Česko;Běžné ceny;únor 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;94.8280757929
Česko;Běžné ceny;únor 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);54.84659385
Česko;Běžné ceny;leden 2023;Index stavební produkce - Celkem (%);Meziroční index;116.9896098632
Česko;Běžné ceny;leden 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);69.1516219
Česko;Běžné ceny;leden 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;119.8192612528
Česko;Běžné ceny;leden 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);79.49911145
Česko;Běžné ceny;leden 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;109.121779151
Česko;Běžné ceny;leden 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);49.4864971
Česko;Běžné ceny;prosinec 2022;Index stavební produkce - Celkem (%);Meziroční index;108.876087526
Česko;Běžné ceny;prosinec 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);122.82969605
Česko;Běžné ceny;prosinec 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;102.4984758713
Česko;Běžné ceny;prosinec 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);120.35537768
Česko;Běžné ceny;prosinec 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;122.5524448313
Česko;Běžné ceny;prosinec 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);127.53207136
Česko;Běžné ceny;listopad 2022;Index stavební produkce - Celkem (%);Meziroční index;111.1767286794
Česko;Běžné ceny;listopad 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);149.06987879
Česko;Běžné ceny;listopad 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;110.601280551
Česko;Běžné ceny;listopad 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);141.3495766
Česko;Běžné ceny;listopad 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;112.1338758349
Česko;Běžné ceny;listopad 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);163.74210489
Česko;Běžné ceny;říjen 2022;Index stavební produkce - Celkem (%);Meziroční index;115.1515072158
Česko;Běžné ceny;říjen 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);137.60420126
Česko;Běžné ceny;říjen 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;113.8190391916
Česko;Běžné ceny;říjen 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);132.11079213
Česko;Běžné ceny;říjen 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;117.4840475428
Česko;Běžné ceny;říjen 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);148.04427712
Česko;Běžné ceny;září 2022;Index stavební produkce - Celkem (%);Meziroční index;110.9233796077
Česko;Běžné ceny;září 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);133.26735143
Česko;Běžné ceny;září 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;107.6020051451
Česko;Běžné ceny;září 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);128.16136318
Česko;Běžné ceny;září 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;117.0801234576
Česko;Běžné ceny;září 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);142.97114437
Česko;Běžné ceny;srpen 2022;Index stavební produkce - Celkem (%);Meziroční index;116.6651350824
Česko;Běžné ceny;srpen 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);133.13718971
Česko;Běžné ceny;srpen 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;117.0436539702
Česko;Běžné ceny;srpen 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);131.54721867
Česko;Běžné ceny;srpen 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;115.9764717443
Česko;Běžné ceny;srpen 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);136.15888677
Česko;Běžné ceny;červenec 2022;Index stavební produkce - Celkem (%);Meziroční index;110.7507713808
Česko;Běžné ceny;červenec 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);117.11343496
Česko;Běžné ceny;červenec 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;110.3259130966
Česko;Běžné ceny;červenec 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);113.18344639
Česko;Běžné ceny;červenec 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;111.4920798404
Česko;Běžné ceny;červenec 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);124.58227224
Česko;Běžné ceny;červen 2022;Index stavební produkce - Celkem (%);Meziroční index;116.8729598584
Česko;Běžné ceny;červen 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);131.36642444
Česko;Běžné ceny;červen 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;118.4085647132
Česko;Běžné ceny;červen 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);127.37348724
Česko;Běžné ceny;červen 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;114.290849943
Česko;Běžné ceny;červen 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);138.95489389
Česko;Běžné ceny;květen 2022;Index stavební produkce - Celkem (%);Meziroční index;120.5542618754
Česko;Běžné ceny;květen 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);125.36059621
Česko;Běžné ceny;květen 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;120.333260009
Česko;Běžné ceny;květen 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);122.78334672
Česko;Běžné ceny;květen 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;120.9522030352
Česko;Běžné ceny;květen 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);130.25858935
Česko;Běžné ceny;duben 2022;Index stavební produkce - Celkem (%);Meziroční index;119.9101764377
Česko;Běžné ceny;duben 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);110.43905753
Česko;Běžné ceny;duben 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;122.9214189495
Česko;Běžné ceny;duben 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);111.50004227
Česko;Běžné ceny;duben 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;114.4314435067
Česko;Běžné ceny;duben 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);108.42268466
Česko;Běžné ceny;březen 2022;Index stavební produkce - Celkem (%);Meziroční index;129.0184058846
Česko;Běžné ceny;březen 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);102.42997655
Česko;Běžné ceny;březen 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;125.831173327
Česko;Běžné ceny;březen 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);107.78592911
Česko;Běžné ceny;březen 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;136.707401359
Česko;Běžné ceny;březen 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);92.25113318
Česko;Běžné ceny;únor 2022;Index stavební produkce - Celkem (%);Meziroční index;130.6531547038
Česko;Běžné ceny;únor 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);72.97378157
Česko;Běžné ceny;únor 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;128.4408960144
Česko;Běžné ceny;únor 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);80.93803769
Česko;Běžné ceny;únor 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;136.9253277016
Česko;Běžné ceny;únor 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);57.83792763
Česko;Běžné ceny;leden 2022;Index stavební produkce - Celkem (%);Meziroční index;118.5505277601
Česko;Běžné ceny;leden 2022;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);59.10919951
Česko;Běžné ceny;leden 2022;Index stavební produkce - Pozemní stavby (%);Meziroční index;119.2744897138
Česko;Běžné ceny;leden 2022;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);66.34919179
Česko;Běžné ceny;leden 2022;Index stavební produkce - Inženýrské stavby (%);Meziroční index;116.5829794764
Česko;Běžné ceny;leden 2022;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);45.34978946
Česko;Běžné ceny;prosinec 2021;Index stavební produkce - Celkem (%);Meziroční index;120.0254700593
