Ukazatel;Rok;ČR, Reg. soudržnosti, Kraje;Věk (roky);Pohlaví;value
Počet obyvatel k 31. 12.;2023;Česko;60;Muži;68507
Počet obyvatel k 31. 12.;2023;Česko;60;Ženy;69453
Počet obyvatel k 31. 12.;2023;Česko;63;Celkem;115687
Počet obyvatel k 31. 12.;2023;Česko;63;Muži;56854
Počet obyvatel k 31. 12.;2023;Česko;63;Ženy;58833
Počet obyvatel k 31. 12.;2023;Česko;61;Celkem;123397
Počet obyvatel k 31. 12.;2023;Česko;61;Muži;61105
Počet obyvatel k 31. 12.;2023;Česko;61;Ženy;62292
Počet obyvatel k 31. 12.;2023;Česko;62;Celkem;119408
Počet obyvatel k 31. 12.;2023;Česko;62;Muži;58731
Počet obyvatel k 31. 12.;2023;Česko;62;Ženy;60677
Počet obyvatel k 31. 12.;2023;Česko;64;Celkem;113380
Počet obyvatel k 31. 12.;2023;Česko;64;Muži;55134
Počet obyvatel k 31. 12.;2023;Česko;64;Ženy;58246
Počet obyvatel k 31. 12.;2023;Česko;65;Celkem;120939
Počet obyvatel k 31. 12.;2023;Česko;65;Muži;57889
Počet obyvatel k 31. 12.;2023;Česko;65;Ženy;63050
Počet obyvatel k 31. 12.;2023;Česko;66;Celkem;127678
Počet obyvatel k 31. 12.;2023;Česko;66;Muži;60735
Počet obyvatel k 31. 12.;2023;Česko;66;Ženy;66943
Počet obyvatel k 31. 12.;2023;Česko;67;Celkem;130605
Počet obyvatel k 31. 12.;2023;Česko;67;Muži;61282
Počet obyvatel k 31. 12.;2023;Česko;67;Ženy;69323
Počet obyvatel k 31. 12.;2023;Česko;68;Celkem;129724
Počet obyvatel k 31. 12.;2023;Česko;68;Muži;60298
Počet obyvatel k 31. 12.;2023;Česko;68;Ženy;69426
Počet obyvatel k 31. 12.;2023;Česko;69;Celkem;128629
Počet obyvatel k 31. 12.;2023;Česko;69;Muži;59034
Počet obyvatel k 31. 12.;2023;Česko;69;Ženy;69595
Počet obyvatel k 31. 12.;2023;Česko;70;Celkem;127333
