Kumulace čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.0590089376
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),89.7140935254
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.5919723974
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.3444821327
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),38767.0252127756
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2206.6255690553
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.0355619483
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),241.4178688614
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.4425153655
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.4060310124
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43927.2564470349
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2293.229270852
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.5080649805
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),252.8242814255
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.738779061
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.708640896
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41945.4356859258
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2068.7445877773
Q1-Q2 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.1878541845
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),144.4857260192
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.0278639841
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.2936302485
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42671.3915518345
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2344.9340592058
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.8148773907
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),151.8049819318
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.0324084509
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.3245053136
Q1-Q2 2025,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40613.9963929994
