Území,Právní forma,Ukazatel,Příjmy územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2013,15953007.04
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2012,14121565.58
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2011,11976461.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2010,11760295.57
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2009,12454513.75
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2008,13354043.39
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2007,13059795.32
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2024,1992045.54406
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2023,1971860.43193
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2022,3509912.95902
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2021,3275481.29141
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2020,3644610.26969
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2019,3426531.38505
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2018,3194271.52583
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2017,2983749.27719
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2016,2900686.84011
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2015,2727915.0512
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2014,2695194.27
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2013,2770016.36
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2012,2879826.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2011,6050278.09
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2010,6122480.75
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2009,6100101.91
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2008,5819342.16
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Poplatky a odvody v oblasti životního prostředí,2007,5771567.18
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2024,10935270.53148
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2023,9816093.84756
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2022,7512867.80221
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2021,5339229.05186
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2020,5057746.88445
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2019,5521316.4193
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2018,5327515.8456
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2017,5294675.66573
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2016,5175215.53955
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2015,5128151.84223
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2014,5095906.27
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2013,5144619.58
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2012,4806997.44
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2011,2842215.1
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2010,2351090.65
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2009,2487660.29
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2008,2715631.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Místní poplatky z vybíraných činností a služeb,2007,2609372.78
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2024,3166253.01827
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2023,3002528.79841
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2022,2858267.19607
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2021,2591700.39611
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2020,2278528.86263
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2019,2699825.14823
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2018,2800325.84309
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2017,2915355.57878
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2016,2829293.44008
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2015,2730478.684
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2014,2566140.02
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2013,2416141.97
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2012,1979600.48
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2011,2475911.71
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2010,2516332.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2009,2843142.86
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2008,3790217.3
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Správní poplatky,2007,3762181.0
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2024,22979510.1744
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2023,12467213.50565
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2022,12354212.21515
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2021,11876219.62187
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2020,11563018.31464
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2019,10908763.93838
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2018,10855672.30076
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2017,10765049.1628
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2016,10585655.29898
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2015,10333820.71775
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2014,9973489.9
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2013,9736021.09
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2012,9602113.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2011,8609129.7
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2010,8663630.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2009,6324850.81
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2008,5098966.42
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z nemovitých věcí,2007,4962376.18
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2024,79863379.47116
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2023,70177720.40895
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2022,59564170.75442
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2021,48647357.82876
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2020,43904316.78913
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2019,42263277.13247
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2018,38992127.08582
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2017,34257762.33395
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2016,35548283.46908
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2015,36610204.83889
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2014,37923711.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2013,33291026.02
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2012,33999205.94
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2011,34305836.37
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2010,32794932.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2009,31165331.23
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2008,30164843.25
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Nedaňové příjmy,2007,28156274.51
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2024,14952775.9565
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2023,14553229.66614
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2022,14488021.01658
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2021,12492565.55201
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2020,10333054.10583
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2019,10281427.86164
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2018,9782513.36048
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2017,9328483.69647
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2016,8828568.89724
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2015,8437196.95565
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2014,8209684.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2013,8026648.05
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2012,7702802.12
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2011,7383354.7
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2010,6800571.05
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2009,6179124.78
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2008,6197280.72
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z vlastní činnosti,2007,6064171.99
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2024,3605881.92052
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2023,3635474.61085
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2022,3250721.98124
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2021,3023719.37707
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2020,2724147.44909
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2019,2411849.4233
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2018,2466224.51161
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2017,2289877.17393
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2016,2271825.29418
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2015,2388943.53629
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2014,2651249.16
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2013,2417541.06
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2012,2448334.25
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2011,2463314.84
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2010,2819051.86
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2009,2225728.21
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2008,1647469.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Odvody přebytků organizací s přímým vztahem,2007,1720241.78
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2024,18212281.01354
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2023,16941450.64481
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2022,15726022.29769
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2021,14408886.49084
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2020,13384926.9261
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2019,13310408.19196
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2018,12968446.35426
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2017,12742137.85668
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2016,12485215.4132
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2015,12069327.33493
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2014,11805414.86
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2013,11819145.97
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2012,11395927.88
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2011,11115673.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2010,10802861.56
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2009,10527795.71
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2008,10134520.17
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z pronájmu majetku,2007,9757672.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2024,12690747.90814
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2023,14027519.79103
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2022,7637746.32654
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2021,787667.23362
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2020,1126455.39858
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2019,1403317.39819
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2018,547172.37299
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2017,337271.45047
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2016,365812.9449
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2015,449072.93706
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2014,662962.42
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2013,756947.68
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2012,968923.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2011,1005731.17
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2010,1084061.59
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2009,1680734.67
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2008,3008196.01
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Výnosy z finančního majetku,2007,1993829.46
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2024,14587079.51608
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2023,5524753.68528
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2022,5668376.01647
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2021,5373150.78447
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2020,4686087.2031
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2019,4219170.41213
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2018,5116859.76283
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2017,3860666.8266
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2016,4102714.47609
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2015,4246802.19013
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2014,4204749.68
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2013,3963933.5
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2012,3644146.85
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2011,3937244.16
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2010,4235048.17
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2009,3890855.14
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2008,3647686.21
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy,2007,3571938.16
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2024,9272585.58768
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2023,7262827.73561
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2022,10215856.65794
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2021,10714283.41722
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2020,7241459.31
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2019,7182018.75121
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2018,7800848.50127
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2017,6696327.23679
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2016,8526151.78531
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2015,5784861.58367
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2014,6665136.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2013,7764968.65
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2012,9490016.66
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2011,9348607.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2010,13945555.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2009,14410539.8
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2008,16280748.68
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Kapitálové příjmy,2007,13082619.29
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy,2024,7770048.18522
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy,2023,6042438.22296
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy,2022,8905979.55335
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy,2021,9679946.78365
