Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Andorra;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Andorra;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Andorra;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Andorra;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Angola;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Angola;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Angola;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Angola;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Angola;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Angola;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Angola;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Anguilla;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Anguilla;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Anguilla;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Anguilla;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Anguilla;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Anguilla;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Anguilla;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Antarktida;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Antarktida;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Antarktida;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Antarktida;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Antarktida;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Antarktida;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Antarktida;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Antigua a Barbuda;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Antigua a Barbuda;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Antigua a Barbuda;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Antigua a Barbuda;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Antigua a Barbuda;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Antigua a Barbuda;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Antigua a Barbuda;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Argentina;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Argentina;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Argentina;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Argentina;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Argentina;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Argentina;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Argentina;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Arménie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Arménie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Arménie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Arménie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Arménie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Arménie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Arménie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Aruba;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Aruba;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Aruba;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Aruba;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Aruba;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Aruba;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Aruba;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Austrálie;Pohyb zboží z ČR (v mil. Kč, FOB);1146.60741
Česko;prosinec 2024;Austrálie;Pohyb zboží do ČR (v mil. Kč, CIF);116.211376
Česko;prosinec 2024;Austrálie;Bilance - pohyb zboží (v mil. Kč);1030.396034
Česko;prosinec 2024;Austrálie;Obrat - pohyb zboží (v mil. Kč);1262.818786
Česko;prosinec 2024;Austrálie;Pohyb zboží z ČR (meziroční index );125.8133320972
Česko;prosinec 2024;Austrálie;Pohyb zboží do ČR (meziroční index);95.5677885153
Česko;prosinec 2024;Austrálie;Obrat pohybu zboží (meziroční index);122.2527890308
Česko;prosinec 2024;Ázerbájdžán;Pohyb zboží z ČR (v mil. Kč, FOB);1023.10149
Česko;prosinec 2024;Ázerbájdžán;Pohyb zboží do ČR (v mil. Kč, CIF);3256.389537
Česko;prosinec 2024;Ázerbájdžán;Bilance - pohyb zboží (v mil. Kč);-2233.288047
Česko;prosinec 2024;Ázerbájdžán;Obrat - pohyb zboží (v mil. Kč);4279.491027
Česko;prosinec 2024;Ázerbájdžán;Pohyb zboží z ČR (meziroční index );205.1864945375
Česko;prosinec 2024;Ázerbájdžán;Pohyb zboží do ČR (meziroční index);121.7607644635
Česko;prosinec 2024;Ázerbájdžán;Obrat pohybu zboží (meziroční index);134.8705293528
Česko;prosinec 2024;Bahamy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bahamy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bahamy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bahamy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bahamy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bahamy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bahamy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bahrajn;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bahrajn;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bahrajn;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bahrajn;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bahrajn;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bahrajn;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bahrajn;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bangladéš;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bangladéš;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bangladéš;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bangladéš;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bangladéš;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bangladéš;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bangladéš;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Barbados;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Barbados;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Barbados;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Barbados;Obrat - pohyb zboží (v mil. Kč);
