Právní forma;Roky;SO ORP a obce;Ukazatel;value
Obecní rozpočty;2023;Český Brod;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Český Krumlov;Příjmy celkem;
Obecní rozpočty;2023;Český Krumlov;Daňové příjmy ;
Obecní rozpočty;2023;Český Krumlov;Nedaňové příjmy ;
Obecní rozpočty;2023;Český Krumlov;Kapitalové příjmy ;
Obecní rozpočty;2023;Český Krumlov;Přijaté transféry;
Obecní rozpočty;2023;Český Krumlov;Výdaje celkem;
Obecní rozpočty;2023;Český Krumlov;Běžné výdaje ;
Obecní rozpočty;2023;Český Krumlov;Kapitalové výdaje ;
Obecní rozpočty;2023;Český Krumlov;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Český Těšín;Příjmy celkem;
Obecní rozpočty;2023;Český Těšín;Daňové příjmy ;
Obecní rozpočty;2023;Český Těšín;Nedaňové příjmy ;
Obecní rozpočty;2023;Český Těšín;Kapitalové příjmy ;
Obecní rozpočty;2023;Český Těšín;Přijaté transféry;
Obecní rozpočty;2023;Český Těšín;Výdaje celkem;
Obecní rozpočty;2023;Český Těšín;Běžné výdaje ;
Obecní rozpočty;2023;Český Těšín;Kapitalové výdaje ;
Obecní rozpočty;2023;Český Těšín;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Dačice;Příjmy celkem;
Obecní rozpočty;2023;Dačice;Daňové příjmy ;
Obecní rozpočty;2023;Dačice;Nedaňové příjmy ;
Obecní rozpočty;2023;Dačice;Kapitalové příjmy ;
Obecní rozpočty;2023;Dačice;Přijaté transféry;
Obecní rozpočty;2023;Dačice;Výdaje celkem;
Obecní rozpočty;2023;Dačice;Běžné výdaje ;
Obecní rozpočty;2023;Dačice;Kapitalové výdaje ;
Obecní rozpočty;2023;Dačice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Děčín;Příjmy celkem;
Obecní rozpočty;2023;Děčín;Daňové příjmy ;
Obecní rozpočty;2023;Děčín;Nedaňové příjmy ;
Obecní rozpočty;2023;Děčín;Kapitalové příjmy ;
Obecní rozpočty;2023;Děčín;Přijaté transféry;
Obecní rozpočty;2023;Děčín;Výdaje celkem;
Obecní rozpočty;2023;Děčín;Běžné výdaje ;
Obecní rozpočty;2023;Děčín;Kapitalové výdaje ;
Obecní rozpočty;2023;Děčín;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Dobruška;Příjmy celkem;
Obecní rozpočty;2023;Dobruška;Daňové příjmy ;
Obecní rozpočty;2023;Dobruška;Nedaňové příjmy ;
Obecní rozpočty;2023;Dobruška;Kapitalové příjmy ;
Obecní rozpočty;2023;Dobruška;Přijaté transféry;
Obecní rozpočty;2023;Dobruška;Výdaje celkem;
Obecní rozpočty;2023;Dobruška;Běžné výdaje ;
Obecní rozpočty;2023;Dobruška;Kapitalové výdaje ;
Obecní rozpočty;2023;Dobruška;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Dobříš;Příjmy celkem;
Obecní rozpočty;2023;Dobříš;Daňové příjmy ;
Obecní rozpočty;2023;Dobříš;Nedaňové příjmy ;
Obecní rozpočty;2023;Dobříš;Kapitalové příjmy ;
Obecní rozpočty;2023;Dobříš;Přijaté transféry;
Obecní rozpočty;2023;Dobříš;Výdaje celkem;
Obecní rozpočty;2023;Dobříš;Běžné výdaje ;
Obecní rozpočty;2023;Dobříš;Kapitalové výdaje ;
Obecní rozpočty;2023;Dobříš;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Domažlice;Příjmy celkem;
Obecní rozpočty;2023;Domažlice;Daňové příjmy ;
Obecní rozpočty;2023;Domažlice;Nedaňové příjmy ;
Obecní rozpočty;2023;Domažlice;Kapitalové příjmy ;
Obecní rozpočty;2023;Domažlice;Přijaté transféry;
Obecní rozpočty;2023;Domažlice;Výdaje celkem;
Obecní rozpočty;2023;Domažlice;Běžné výdaje ;
Obecní rozpočty;2023;Domažlice;Kapitalové výdaje ;
Obecní rozpočty;2023;Domažlice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Příjmy celkem;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Daňové příjmy ;
