Kategorie;Čtvrtletí;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Srbsko a Černá Hora;Průměrný počet přenocování ;2.5762811702
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Španělsko;Počet hostů;76691.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Španělsko;Počet přenocování;223452.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Španělsko;Průměrný počet přenocování ;2.9136665319
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Švédsko;Počet hostů;36545.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Švédsko;Počet přenocování;85448.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Švédsko;Průměrný počet přenocování ;2.3381584348
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Švýcarsko;Počet hostů;25443.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Švýcarsko;Počet přenocování;67183.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Švýcarsko;Průměrný počet přenocování ;2.6405298117
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Turecko;Počet hostů;35012.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Turecko;Počet přenocování;78625.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Turecko;Průměrný počet přenocování ;2.2456586313
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ukrajina;Počet hostů;51584.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ukrajina;Počet přenocování;104129.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ukrajina;Průměrný počet přenocování ;2.0186298077
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní evropské země;Počet hostů;17801.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní evropské země;Počet přenocování;41046.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní evropské země;Průměrný počet přenocování ;2.3058255154
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Kanada;Počet hostů;25860.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Kanada;Počet přenocování;68644.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Kanada;Průměrný počet přenocování ;2.6544470224
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Spojené státy;Počet hostů;169070.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Spojené státy;Počet přenocování;437271.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Spojené státy;Průměrný počet přenocování ;2.5863311055
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Brazílie;Počet hostů;14159.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Brazílie;Počet přenocování;35019.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Brazílie;Průměrný počet přenocování ;2.4732678862
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Mexiko;Počet hostů;19417.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Mexiko;Počet přenocování;49212.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Mexiko;Průměrný počet přenocování ;2.5344800948
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Argentina;Počet hostů;5318.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Argentina;Počet přenocování;13096.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Argentina;Průměrný počet přenocování ;2.4625799173
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní americké země;Počet hostů;18864.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní americké země;Počet přenocování;45248.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní americké země;Průměrný počet přenocování ;2.3986429177
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Čína;Počet hostů;44311.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Čína;Počet přenocování;84088.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Čína;Průměrný počet přenocování ;1.8976777775
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Indie;Počet hostů;23139.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Indie;Počet přenocování;56089.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Indie;Průměrný počet přenocování ;2.4240027659
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Izrael;Počet hostů;40498.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Izrael;Počet přenocování;131293.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Izrael;Průměrný počet přenocování ;3.2419625661
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Japonsko;Počet hostů;16647.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Japonsko;Počet přenocování;36358.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Japonsko;Průměrný počet přenocování ;2.1840571875
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Korejská republika;Počet hostů;52012.0
