Ukazatel;Druh nemovitosti;Typ údaje;Území;Čtvrtletí;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2022;250.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;3. čtvrtletí 2022;250.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;4. čtvrtletí 2022;240.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;1. čtvrtletí 2023;234.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2023;235.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;3. čtvrtletí 2023;234.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;4. čtvrtletí 2023;233.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2015;99.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2015;100.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2016;101.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2016;104.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2016;110.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2016;113.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2017;116.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2017;122.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2017;128.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2017;131.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2018;135.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2018;142.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2018;144.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2018;145.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2019;144.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2019;157.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2019;159.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2019;165.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2020;171.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2020;182.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2020;185.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2020;183.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2021;198.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2021;212.0
