Území;Ukazatel;Pohlaví;Týdny;Věkové skupiny (pětileté);value
Česko;Zemřelí;Celkem; 36. týden 2020;85-89;288
Česko;Zemřelí;Celkem; 36. týden 2020;90 a více;292
Česko;Zemřelí;Celkem; 35. týden 2020;0-4;5
Česko;Zemřelí;Celkem; 35. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 35. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 35. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 35. týden 2020;20-24;2
Česko;Zemřelí;Celkem; 35. týden 2020;25-29;5
Česko;Zemřelí;Celkem; 35. týden 2020;30-34;8
Česko;Zemřelí;Celkem; 35. týden 2020;35-39;12
Česko;Zemřelí;Celkem; 35. týden 2020;40-44;26
Česko;Zemřelí;Celkem; 35. týden 2020;45-49;43
Česko;Zemřelí;Celkem; 35. týden 2020;50-54;51
Česko;Zemřelí;Celkem; 35. týden 2020;55-59;70
Česko;Zemřelí;Celkem; 35. týden 2020;60-64;111
Česko;Zemřelí;Celkem; 35. týden 2020;65-69;214
Česko;Zemřelí;Celkem; 35. týden 2020;70-74;268
Česko;Zemřelí;Celkem; 35. týden 2020;75-79;303
Česko;Zemřelí;Celkem; 35. týden 2020;80-84;293
Česko;Zemřelí;Celkem; 35. týden 2020;85-89;329
Česko;Zemřelí;Celkem; 35. týden 2020;90 a více;289
Česko;Zemřelí;Celkem; 34. týden 2020;0-4;4
Česko;Zemřelí;Celkem; 34. týden 2020;5-9;2
Česko;Zemřelí;Celkem; 34. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 34. týden 2020;15-19;3
Česko;Zemřelí;Celkem; 34. týden 2020;20-24;2
Česko;Zemřelí;Celkem; 34. týden 2020;25-29;9
Česko;Zemřelí;Celkem; 34. týden 2020;30-34;14
Česko;Zemřelí;Celkem; 34. týden 2020;35-39;15
Česko;Zemřelí;Celkem; 34. týden 2020;40-44;40
Česko;Zemřelí;Celkem; 34. týden 2020;45-49;32
Česko;Zemřelí;Celkem; 34. týden 2020;50-54;59
Česko;Zemřelí;Celkem; 34. týden 2020;55-59;83
Česko;Zemřelí;Celkem; 34. týden 2020;60-64;127
Česko;Zemřelí;Celkem; 34. týden 2020;65-69;202
Česko;Zemřelí;Celkem; 34. týden 2020;70-74;275
Česko;Zemřelí;Celkem; 34. týden 2020;75-79;306
Česko;Zemřelí;Celkem; 34. týden 2020;80-84;298
Česko;Zemřelí;Celkem; 34. týden 2020;85-89;327
Česko;Zemřelí;Celkem; 34. týden 2020;90 a více;304
Česko;Zemřelí;Celkem; 33. týden 2020;0-4;5
Česko;Zemřelí;Celkem; 33. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 33. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 33. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 33. týden 2020;20-24;6
Česko;Zemřelí;Celkem; 33. týden 2020;25-29;5
Česko;Zemřelí;Celkem; 33. týden 2020;30-34;15
Česko;Zemřelí;Celkem; 33. týden 2020;35-39;17
Česko;Zemřelí;Celkem; 33. týden 2020;40-44;24
Česko;Zemřelí;Celkem; 33. týden 2020;45-49;26
Česko;Zemřelí;Celkem; 33. týden 2020;50-54;55
Česko;Zemřelí;Celkem; 33. týden 2020;55-59;76
Česko;Zemřelí;Celkem; 33. týden 2020;60-64;145
Česko;Zemřelí;Celkem; 33. týden 2020;65-69;230
Česko;Zemřelí;Celkem; 33. týden 2020;70-74;301
Česko;Zemřelí;Celkem; 33. týden 2020;75-79;320
Česko;Zemřelí;Celkem; 33. týden 2020;80-84;308
Česko;Zemřelí;Celkem; 33. týden 2020;85-89;343
Česko;Zemřelí;Celkem; 33. týden 2020;90 a více;307
Česko;Zemřelí;Celkem; 32. týden 2020;0-4;6
Česko;Zemřelí;Celkem; 32. týden 2020;5-9;2
Česko;Zemřelí;Celkem; 32. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 32. týden 2020;15-19;6
Česko;Zemřelí;Celkem; 32. týden 2020;20-24;3
Česko;Zemřelí;Celkem; 32. týden 2020;25-29;9
Česko;Zemřelí;Celkem; 32. týden 2020;30-34;17
Česko;Zemřelí;Celkem; 32. týden 2020;35-39;16
Česko;Zemřelí;Celkem; 32. týden 2020;40-44;27
Česko;Zemřelí;Celkem; 32. týden 2020;45-49;32
Česko;Zemřelí;Celkem; 32. týden 2020;50-54;49
Česko;Zemřelí;Celkem; 32. týden 2020;55-59;84
Česko;Zemřelí;Celkem; 32. týden 2020;60-64;115
Česko;Zemřelí;Celkem; 32. týden 2020;65-69;202
Česko;Zemřelí;Celkem; 32. týden 2020;70-74;317
Česko;Zemřelí;Celkem; 32. týden 2020;75-79;321
Česko;Zemřelí;Celkem; 32. týden 2020;80-84;331
Česko;Zemřelí;Celkem; 32. týden 2020;85-89;343
Česko;Zemřelí;Celkem; 32. týden 2020;90 a více;284
Česko;Zemřelí;Celkem; 31. týden 2020;0-4;8
Česko;Zemřelí;Celkem; 31. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 31. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 31. týden 2020;15-19;5
Česko;Zemřelí;Celkem; 31. týden 2020;20-24;9
Česko;Zemřelí;Celkem; 31. týden 2020;25-29;9
Česko;Zemřelí;Celkem; 31. týden 2020;30-34;6
Česko;Zemřelí;Celkem; 31. týden 2020;35-39;11
Česko;Zemřelí;Celkem; 31. týden 2020;40-44;27
Česko;Zemřelí;Celkem; 31. týden 2020;45-49;31
Česko;Zemřelí;Celkem; 31. týden 2020;50-54;61
Česko;Zemřelí;Celkem; 31. týden 2020;55-59;80
Česko;Zemřelí;Celkem; 31. týden 2020;60-64;143
Česko;Zemřelí;Celkem; 31. týden 2020;65-69;208
Česko;Zemřelí;Celkem; 31. týden 2020;70-74;295
Česko;Zemřelí;Celkem; 31. týden 2020;75-79;348
Česko;Zemřelí;Celkem; 31. týden 2020;80-84;317
Česko;Zemřelí;Celkem; 31. týden 2020;85-89;335
Česko;Zemřelí;Celkem; 31. týden 2020;90 a více;333
Česko;Zemřelí;Celkem; 30. týden 2020;0-4;6
Česko;Zemřelí;Celkem; 30. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 30. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 30. týden 2020;15-19;6
Česko;Zemřelí;Celkem; 30. týden 2020;20-24;8
Česko;Zemřelí;Celkem; 30. týden 2020;25-29;6
Česko;Zemřelí;Celkem; 30. týden 2020;30-34;9
Česko;Zemřelí;Celkem; 30. týden 2020;35-39;12
Česko;Zemřelí;Celkem; 30. týden 2020;40-44;23
Česko;Zemřelí;Celkem; 30. týden 2020;45-49;38
Česko;Zemřelí;Celkem; 30. týden 2020;50-54;53
Česko;Zemřelí;Celkem; 30. týden 2020;55-59;83
Česko;Zemřelí;Celkem; 30. týden 2020;60-64;143
Česko;Zemřelí;Celkem; 30. týden 2020;65-69;226
Česko;Zemřelí;Celkem; 30. týden 2020;70-74;272
Česko;Zemřelí;Celkem; 30. týden 2020;75-79;297
Česko;Zemřelí;Celkem; 30. týden 2020;80-84;283
Česko;Zemřelí;Celkem; 30. týden 2020;85-89;345
Česko;Zemřelí;Celkem; 30. týden 2020;90 a více;277
Česko;Zemřelí;Celkem; 29. týden 2020;0-4;8
Česko;Zemřelí;Celkem; 29. týden 2020;5-9;2
Česko;Zemřelí;Celkem; 29. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 29. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 29. týden 2020;20-24;2
Česko;Zemřelí;Celkem; 29. týden 2020;25-29;5
Česko;Zemřelí;Celkem; 29. týden 2020;30-34;5
Česko;Zemřelí;Celkem; 29. týden 2020;35-39;10
Česko;Zemřelí;Celkem; 29. týden 2020;40-44;28
Česko;Zemřelí;Celkem; 29. týden 2020;45-49;43
Česko;Zemřelí;Celkem; 29. týden 2020;50-54;41
Česko;Zemřelí;Celkem; 29. týden 2020;55-59;76
Česko;Zemřelí;Celkem; 29. týden 2020;60-64;122
Česko;Zemřelí;Celkem; 29. týden 2020;65-69;214
Česko;Zemřelí;Celkem; 29. týden 2020;70-74;296
Česko;Zemřelí;Celkem; 29. týden 2020;75-79;300
Česko;Zemřelí;Celkem; 29. týden 2020;80-84;263
Česko;Zemřelí;Celkem; 29. týden 2020;85-89;315
Česko;Zemřelí;Celkem; 29. týden 2020;90 a více;258
Česko;Zemřelí;Celkem; 28. týden 2020;0-4;5
Česko;Zemřelí;Celkem; 28. týden 2020;5-9;2
Česko;Zemřelí;Celkem; 28. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 28. týden 2020;15-19;3
Česko;Zemřelí;Celkem; 28. týden 2020;20-24;4
Česko;Zemřelí;Celkem; 28. týden 2020;25-29;8
Česko;Zemřelí;Celkem; 28. týden 2020;30-34;10
Česko;Zemřelí;Celkem; 28. týden 2020;35-39;14
Česko;Zemřelí;Celkem; 28. týden 2020;40-44;25
Česko;Zemřelí;Celkem; 28. týden 2020;45-49;31
Česko;Zemřelí;Celkem; 28. týden 2020;50-54;49
Česko;Zemřelí;Celkem; 28. týden 2020;55-59;69
Česko;Zemřelí;Celkem; 28. týden 2020;60-64;122
Česko;Zemřelí;Celkem; 28. týden 2020;65-69;184
Česko;Zemřelí;Celkem; 28. týden 2020;70-74;290
Česko;Zemřelí;Celkem; 28. týden 2020;75-79;277
Česko;Zemřelí;Celkem; 28. týden 2020;80-84;317
Česko;Zemřelí;Celkem; 28. týden 2020;85-89;307
Česko;Zemřelí;Celkem; 28. týden 2020;90 a více;282
Česko;Zemřelí;Celkem; 27. týden 2020;0-4;6
Česko;Zemřelí;Celkem; 27. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 27. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 27. týden 2020;15-19;5
Česko;Zemřelí;Celkem; 27. týden 2020;20-24;6
Česko;Zemřelí;Celkem; 27. týden 2020;25-29;7
Česko;Zemřelí;Celkem; 27. týden 2020;30-34;9
Česko;Zemřelí;Celkem; 27. týden 2020;35-39;12
Česko;Zemřelí;Celkem; 27. týden 2020;40-44;23
Česko;Zemřelí;Celkem; 27. týden 2020;45-49;38
Česko;Zemřelí;Celkem; 27. týden 2020;50-54;57
Česko;Zemřelí;Celkem; 27. týden 2020;55-59;78
Česko;Zemřelí;Celkem; 27. týden 2020;60-64;134
Česko;Zemřelí;Celkem; 27. týden 2020;65-69;200
Česko;Zemřelí;Celkem; 27. týden 2020;70-74;303
Česko;Zemřelí;Celkem; 27. týden 2020;75-79;284
Česko;Zemřelí;Celkem; 27. týden 2020;80-84;319
Česko;Zemřelí;Celkem; 27. týden 2020;85-89;326
Česko;Zemřelí;Celkem; 27. týden 2020;90 a více;301
Česko;Zemřelí;Celkem; 26. týden 2020;0-4;6
Česko;Zemřelí;Celkem; 26. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 26. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 26. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 26. týden 2020;20-24;6
Česko;Zemřelí;Celkem; 26. týden 2020;25-29;6
Česko;Zemřelí;Celkem; 26. týden 2020;30-34;10
Česko;Zemřelí;Celkem; 26. týden 2020;35-39;11
Česko;Zemřelí;Celkem; 26. týden 2020;40-44;27
Česko;Zemřelí;Celkem; 26. týden 2020;45-49;39
Česko;Zemřelí;Celkem; 26. týden 2020;50-54;52
Česko;Zemřelí;Celkem; 26. týden 2020;55-59;65
Česko;Zemřelí;Celkem; 26. týden 2020;60-64;148
Česko;Zemřelí;Celkem; 26. týden 2020;65-69;219
Česko;Zemřelí;Celkem; 26. týden 2020;70-74;284
Česko;Zemřelí;Celkem; 26. týden 2020;75-79;277
Česko;Zemřelí;Celkem; 26. týden 2020;80-84;324
Česko;Zemřelí;Celkem; 26. týden 2020;85-89;301
Česko;Zemřelí;Celkem; 26. týden 2020;90 a více;304
Česko;Zemřelí;Celkem; 25. týden 2020;0-4;4
Česko;Zemřelí;Celkem; 25. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 25. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 25. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 25. týden 2020;20-24;3
Česko;Zemřelí;Celkem; 25. týden 2020;25-29;4
Česko;Zemřelí;Celkem; 25. týden 2020;30-34;11
Česko;Zemřelí;Celkem; 25. týden 2020;35-39;24
Česko;Zemřelí;Celkem; 25. týden 2020;40-44;27
Česko;Zemřelí;Celkem; 25. týden 2020;45-49;37
Česko;Zemřelí;Celkem; 25. týden 2020;50-54;51
Česko;Zemřelí;Celkem; 25. týden 2020;55-59;93
Česko;Zemřelí;Celkem; 25. týden 2020;60-64;115
Česko;Zemřelí;Celkem; 25. týden 2020;65-69;223
Česko;Zemřelí;Celkem; 25. týden 2020;70-74;271
Česko;Zemřelí;Celkem; 25. týden 2020;75-79;266
Česko;Zemřelí;Celkem; 25. týden 2020;80-84;307
Česko;Zemřelí;Celkem; 25. týden 2020;85-89;302
Česko;Zemřelí;Celkem; 25. týden 2020;90 a více;281
Česko;Zemřelí;Celkem; 24. týden 2020;0-4;5
Česko;Zemřelí;Celkem; 24. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 24. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 24. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 24. týden 2020;20-24;3
Česko;Zemřelí;Celkem; 24. týden 2020;25-29;3
Česko;Zemřelí;Celkem; 24. týden 2020;30-34;7
Česko;Zemřelí;Celkem; 24. týden 2020;35-39;11
Česko;Zemřelí;Celkem; 24. týden 2020;40-44;23
Česko;Zemřelí;Celkem; 24. týden 2020;45-49;32
Česko;Zemřelí;Celkem; 24. týden 2020;50-54;48
Česko;Zemřelí;Celkem; 24. týden 2020;55-59;79
Česko;Zemřelí;Celkem; 24. týden 2020;60-64;123
Česko;Zemřelí;Celkem; 24. týden 2020;65-69;201
Česko;Zemřelí;Celkem; 24. týden 2020;70-74;271
Česko;Zemřelí;Celkem; 24. týden 2020;75-79;296
Česko;Zemřelí;Celkem; 24. týden 2020;80-84;291
Česko;Zemřelí;Celkem; 24. týden 2020;85-89;319
Česko;Zemřelí;Celkem; 24. týden 2020;90 a více;267
Česko;Zemřelí;Celkem; 23. týden 2020;0-4;2
Česko;Zemřelí;Celkem; 23. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 23. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 23. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 23. týden 2020;20-24;5
Česko;Zemřelí;Celkem; 23. týden 2020;25-29;2
Česko;Zemřelí;Celkem; 23. týden 2020;30-34;5
Česko;Zemřelí;Celkem; 23. týden 2020;35-39;12
Česko;Zemřelí;Celkem; 23. týden 2020;40-44;15
Česko;Zemřelí;Celkem; 23. týden 2020;45-49;34
Česko;Zemřelí;Celkem; 23. týden 2020;50-54;55
Česko;Zemřelí;Celkem; 23. týden 2020;55-59;66
Česko;Zemřelí;Celkem; 23. týden 2020;60-64;134
Česko;Zemřelí;Celkem; 23. týden 2020;65-69;217
Česko;Zemřelí;Celkem; 23. týden 2020;70-74;317
Česko;Zemřelí;Celkem; 23. týden 2020;75-79;314
Česko;Zemřelí;Celkem; 23. týden 2020;80-84;337
Česko;Zemřelí;Celkem; 23. týden 2020;85-89;313
Česko;Zemřelí;Celkem; 23. týden 2020;90 a více;305
Česko;Zemřelí;Celkem; 22. týden 2020;0-4;11
Česko;Zemřelí;Celkem; 22. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 22. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 22. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 22. týden 2020;20-24;3
Česko;Zemřelí;Celkem; 22. týden 2020;25-29;4
Česko;Zemřelí;Celkem; 22. týden 2020;30-34;9
Česko;Zemřelí;Celkem; 22. týden 2020;35-39;12
Česko;Zemřelí;Celkem; 22. týden 2020;40-44;20
Česko;Zemřelí;Celkem; 22. týden 2020;45-49;36
Česko;Zemřelí;Celkem; 22. týden 2020;50-54;43
Česko;Zemřelí;Celkem; 22. týden 2020;55-59;64
Česko;Zemřelí;Celkem; 22. týden 2020;60-64;95
Česko;Zemřelí;Celkem; 22. týden 2020;65-69;211
Česko;Zemřelí;Celkem; 22. týden 2020;70-74;306
Česko;Zemřelí;Celkem; 22. týden 2020;75-79;267
Česko;Zemřelí;Celkem; 22. týden 2020;80-84;247
Česko;Zemřelí;Celkem; 22. týden 2020;85-89;323
Česko;Zemřelí;Celkem; 22. týden 2020;90 a více;284
Česko;Zemřelí;Celkem; 21. týden 2020;0-4;12
Česko;Zemřelí;Celkem; 21. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 21. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 21. týden 2020;15-19;0
Česko;Zemřelí;Celkem; 21. týden 2020;20-24;5
Česko;Zemřelí;Celkem; 21. týden 2020;25-29;4
Česko;Zemřelí;Celkem; 21. týden 2020;30-34;10
Česko;Zemřelí;Celkem; 21. týden 2020;35-39;19
Česko;Zemřelí;Celkem; 21. týden 2020;40-44;16
Česko;Zemřelí;Celkem; 21. týden 2020;45-49;30
Česko;Zemřelí;Celkem; 21. týden 2020;50-54;48
Česko;Zemřelí;Celkem; 21. týden 2020;55-59;55
Česko;Zemřelí;Celkem; 21. týden 2020;60-64;107
Česko;Zemřelí;Celkem; 21. týden 2020;65-69;191
Česko;Zemřelí;Celkem; 21. týden 2020;70-74;272
Česko;Zemřelí;Celkem; 21. týden 2020;75-79;293
Česko;Zemřelí;Celkem; 21. týden 2020;80-84;277
Česko;Zemřelí;Celkem; 21. týden 2020;85-89;312
Česko;Zemřelí;Celkem; 21. týden 2020;90 a více;266
Česko;Zemřelí;Celkem; 20. týden 2020;0-4;6
Česko;Zemřelí;Celkem; 20. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 20. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 20. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 20. týden 2020;20-24;1
Česko;Zemřelí;Celkem; 20. týden 2020;25-29;4
Česko;Zemřelí;Celkem; 20. týden 2020;30-34;6
Česko;Zemřelí;Celkem; 20. týden 2020;35-39;14
Česko;Zemřelí;Celkem; 20. týden 2020;40-44;36
Česko;Zemřelí;Celkem; 20. týden 2020;45-49;43
Česko;Zemřelí;Celkem; 20. týden 2020;50-54;56
Česko;Zemřelí;Celkem; 20. týden 2020;55-59;72
Česko;Zemřelí;Celkem; 20. týden 2020;60-64;131
Česko;Zemřelí;Celkem; 20. týden 2020;65-69;209
Česko;Zemřelí;Celkem; 20. týden 2020;70-74;294
Česko;Zemřelí;Celkem; 20. týden 2020;75-79;264
Česko;Zemřelí;Celkem; 20. týden 2020;80-84;276
Česko;Zemřelí;Celkem; 20. týden 2020;85-89;304
Česko;Zemřelí;Celkem; 20. týden 2020;90 a více;308
Česko;Zemřelí;Celkem; 19. týden 2020;0-4;4
Česko;Zemřelí;Celkem; 19. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 19. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 19. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 19. týden 2020;20-24;1
Česko;Zemřelí;Celkem; 19. týden 2020;25-29;6
Česko;Zemřelí;Celkem; 19. týden 2020;30-34;8
Česko;Zemřelí;Celkem; 19. týden 2020;35-39;11
Česko;Zemřelí;Celkem; 19. týden 2020;40-44;20
Česko;Zemřelí;Celkem; 19. týden 2020;45-49;29
Česko;Zemřelí;Celkem; 19. týden 2020;50-54;55
Česko;Zemřelí;Celkem; 19. týden 2020;55-59;71
Česko;Zemřelí;Celkem; 19. týden 2020;60-64;116
Česko;Zemřelí;Celkem; 19. týden 2020;65-69;204
Česko;Zemřelí;Celkem; 19. týden 2020;70-74;268
Česko;Zemřelí;Celkem; 19. týden 2020;75-79;295
Česko;Zemřelí;Celkem; 19. týden 2020;80-84;296
Česko;Zemřelí;Celkem; 19. týden 2020;85-89;336
Česko;Zemřelí;Celkem; 19. týden 2020;90 a více;276
Česko;Zemřelí;Celkem; 18. týden 2020;0-4;7
Česko;Zemřelí;Celkem; 18. týden 2020;5-9;3
Česko;Zemřelí;Celkem; 18. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 18. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 18. týden 2020;20-24;4
Česko;Zemřelí;Celkem; 18. týden 2020;25-29;5
Česko;Zemřelí;Celkem; 18. týden 2020;30-34;10
Česko;Zemřelí;Celkem; 18. týden 2020;35-39;17
Česko;Zemřelí;Celkem; 18. týden 2020;40-44;29
Česko;Zemřelí;Celkem; 18. týden 2020;45-49;41
Česko;Zemřelí;Celkem; 18. týden 2020;50-54;46
Česko;Zemřelí;Celkem; 18. týden 2020;55-59;59
Česko;Zemřelí;Celkem; 18. týden 2020;60-64;126
Česko;Zemřelí;Celkem; 18. týden 2020;65-69;219
Česko;Zemřelí;Celkem; 18. týden 2020;70-74;304
Česko;Zemřelí;Celkem; 18. týden 2020;75-79;321
Česko;Zemřelí;Celkem; 18. týden 2020;80-84;314
Česko;Zemřelí;Celkem; 18. týden 2020;85-89;310
Česko;Zemřelí;Celkem; 18. týden 2020;90 a více;293
Česko;Zemřelí;Celkem; 17. týden 2020;0-4;7
Česko;Zemřelí;Celkem; 17. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 17. týden 2020;10-14;2
Česko;Zemřelí;Celkem; 17. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 17. týden 2020;20-24;2
Česko;Zemřelí;Celkem; 17. týden 2020;25-29;9
Česko;Zemřelí;Celkem; 17. týden 2020;30-34;13
Česko;Zemřelí;Celkem; 17. týden 2020;35-39;13
Česko;Zemřelí;Celkem; 17. týden 2020;40-44;24
Česko;Zemřelí;Celkem; 17. týden 2020;45-49;31
Česko;Zemřelí;Celkem; 17. týden 2020;50-54;52
Česko;Zemřelí;Celkem; 17. týden 2020;55-59;75
Česko;Zemřelí;Celkem; 17. týden 2020;60-64;127
Česko;Zemřelí;Celkem; 17. týden 2020;65-69;215
Česko;Zemřelí;Celkem; 17. týden 2020;70-74;244
Česko;Zemřelí;Celkem; 17. týden 2020;75-79;288
Česko;Zemřelí;Celkem; 17. týden 2020;80-84;305
Česko;Zemřelí;Celkem; 17. týden 2020;85-89;334
Česko;Zemřelí;Celkem; 17. týden 2020;90 a více;292
Česko;Zemřelí;Celkem; 16. týden 2020;0-4;2
Česko;Zemřelí;Celkem; 16. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 16. týden 2020;10-14;1
Česko;Zemřelí;Celkem; 16. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 16. týden 2020;20-24;4
Česko;Zemřelí;Celkem; 16. týden 2020;25-29;7
Česko;Zemřelí;Celkem; 16. týden 2020;30-34;14
Česko;Zemřelí;Celkem; 16. týden 2020;35-39;16
Česko;Zemřelí;Celkem; 16. týden 2020;40-44;32
Česko;Zemřelí;Celkem; 16. týden 2020;45-49;33
Česko;Zemřelí;Celkem; 16. týden 2020;50-54;53
Česko;Zemřelí;Celkem; 16. týden 2020;55-59;73
Česko;Zemřelí;Celkem; 16. týden 2020;60-64;140
Česko;Zemřelí;Celkem; 16. týden 2020;65-69;208
Česko;Zemřelí;Celkem; 16. týden 2020;70-74;278
Česko;Zemřelí;Celkem; 16. týden 2020;75-79;324
Česko;Zemřelí;Celkem; 16. týden 2020;80-84;331
Česko;Zemřelí;Celkem; 16. týden 2020;85-89;322
Česko;Zemřelí;Celkem; 16. týden 2020;90 a více;286
Česko;Zemřelí;Celkem; 15. týden 2020;0-4;4
Česko;Zemřelí;Celkem; 15. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 15. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 15. týden 2020;15-19;1
Česko;Zemřelí;Celkem; 15. týden 2020;20-24;3
Česko;Zemřelí;Celkem; 15. týden 2020;25-29;4
Česko;Zemřelí;Celkem; 15. týden 2020;30-34;7
Česko;Zemřelí;Celkem; 15. týden 2020;35-39;8
Česko;Zemřelí;Celkem; 15. týden 2020;40-44;27
Česko;Zemřelí;Celkem; 15. týden 2020;45-49;41
Česko;Zemřelí;Celkem; 15. týden 2020;50-54;50
Česko;Zemřelí;Celkem; 15. týden 2020;55-59;87
Česko;Zemřelí;Celkem; 15. týden 2020;60-64;136
Česko;Zemřelí;Celkem; 15. týden 2020;65-69;236
Česko;Zemřelí;Celkem; 15. týden 2020;70-74;271
Česko;Zemřelí;Celkem; 15. týden 2020;75-79;322
Česko;Zemřelí;Celkem; 15. týden 2020;80-84;358
Česko;Zemřelí;Celkem; 15. týden 2020;85-89;344
Česko;Zemřelí;Celkem; 15. týden 2020;90 a více;345
Česko;Zemřelí;Celkem; 14. týden 2020;0-4;4
Česko;Zemřelí;Celkem; 14. týden 2020;5-9;1
Česko;Zemřelí;Celkem; 14. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 14. týden 2020;15-19;0
Česko;Zemřelí;Celkem; 14. týden 2020;20-24;2
Česko;Zemřelí;Celkem; 14. týden 2020;25-29;3
Česko;Zemřelí;Celkem; 14. týden 2020;30-34;8
Česko;Zemřelí;Celkem; 14. týden 2020;35-39;18
Česko;Zemřelí;Celkem; 14. týden 2020;40-44;27
Česko;Zemřelí;Celkem; 14. týden 2020;45-49;42
Česko;Zemřelí;Celkem; 14. týden 2020;50-54;66
Česko;Zemřelí;Celkem; 14. týden 2020;55-59;77
Česko;Zemřelí;Celkem; 14. týden 2020;60-64;104
Česko;Zemřelí;Celkem; 14. týden 2020;65-69;226
Česko;Zemřelí;Celkem; 14. týden 2020;70-74;358
Česko;Zemřelí;Celkem; 14. týden 2020;75-79;361
Česko;Zemřelí;Celkem; 14. týden 2020;80-84;335
Česko;Zemřelí;Celkem; 14. týden 2020;85-89;376
Česko;Zemřelí;Celkem; 14. týden 2020;90 a více;312
Česko;Zemřelí;Celkem; 13. týden 2020;0-4;8
Česko;Zemřelí;Celkem; 13. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 13. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 13. týden 2020;15-19;5
Česko;Zemřelí;Celkem; 13. týden 2020;20-24;4
Česko;Zemřelí;Celkem; 13. týden 2020;25-29;5
Česko;Zemřelí;Celkem; 13. týden 2020;30-34;9
Česko;Zemřelí;Celkem; 13. týden 2020;35-39;13
Česko;Zemřelí;Celkem; 13. týden 2020;40-44;20
Česko;Zemřelí;Celkem; 13. týden 2020;45-49;33
Česko;Zemřelí;Celkem; 13. týden 2020;50-54;47
Česko;Zemřelí;Celkem; 13. týden 2020;55-59;91
Česko;Zemřelí;Celkem; 13. týden 2020;60-64;151
Česko;Zemřelí;Celkem; 13. týden 2020;65-69;216
Česko;Zemřelí;Celkem; 13. týden 2020;70-74;324
Česko;Zemřelí;Celkem; 13. týden 2020;75-79;356
Česko;Zemřelí;Celkem; 13. týden 2020;80-84;328
Česko;Zemřelí;Celkem; 13. týden 2020;85-89;378
Česko;Zemřelí;Celkem; 13. týden 2020;90 a více;309
Česko;Zemřelí;Celkem; 12. týden 2020;0-4;9
Česko;Zemřelí;Celkem; 12. týden 2020;5-9;0
Česko;Zemřelí;Celkem; 12. týden 2020;10-14;0
Česko;Zemřelí;Celkem; 12. týden 2020;15-19;2
Česko;Zemřelí;Celkem; 12. týden 2020;20-24;5
Česko;Zemřelí;Celkem; 12. týden 2020;25-29;10
Česko;Zemřelí;Celkem; 12. týden 2020;30-34;6
Česko;Zemřelí;Celkem; 12. týden 2020;35-39;11
Česko;Zemřelí;Celkem; 12. týden 2020;40-44;14
Česko;Zemřelí;Celkem; 12. týden 2020;45-49;43
