Stát,Roky (ČR),Pohlaví,Věk (roky),Ukazatel,value
Česko,2024,muži,46,Počet obyvatel (Px),93603.0
Česko,2024,muži,46,Míra úmrtnosti (mx),0.0026218629
Česko,2024,muži,46,Pravděpodobnost úmrtí (qx),0.0026184303
Česko,2024,muži,46,Tabulkový počet dožívajících (lx),96345.2494945999
Česko,2024,muži,46,Tabulkový počet zemřelých (dx),252.2733229704
Česko,2024,muži,46,Tabulkový počet žijících (Lx),96219.1128331147
Česko,2024,muži,46,Pomocný ukazatel (Tx),3167381.33861672
Česko,2024,muži,46,Naděje dožití (ex),32.8753244735
Česko,2024,muži,47,Počet zemřelých (Dx),255.0
Česko,2024,muži,47,Počet obyvatel (Px),95180.0
Česko,2024,muži,47,Míra úmrtnosti (mx),0.0028379475
Česko,2024,muži,47,Pravděpodobnost úmrtí (qx),0.0028339262
Česko,2024,muži,47,Tabulkový počet dožívajících (lx),96092.9761716295
Česko,2024,muži,47,Tabulkový počet zemřelých (dx),272.3204021599
Česko,2024,muži,47,Tabulkový počet žijících (Lx),95956.8159705496
Česko,2024,muži,47,Pomocný ukazatel (Tx),3071162.2257836
Česko,2024,muži,47,Naděje dožití (ex),31.9603195586
Česko,2024,muži,48,Počet zemřelých (Dx),297.0
Česko,2024,muži,48,Počet obyvatel (Px),96888.0
Česko,2024,muži,48,Míra úmrtnosti (mx),0.0030970704
Česko,2024,muži,48,Pravděpodobnost úmrtí (qx),0.0030922819
Česko,2024,muži,48,Tabulkový počet dožívajících (lx),95820.6557694696
Česko,2024,muži,48,Tabulkový počet zemřelých (dx),296.3044748692
Česko,2024,muži,48,Tabulkový počet žijících (Lx),95672.503532035
Česko,2024,muži,48,Pomocný ukazatel (Tx),2975205.40981305
Česko,2024,muži,48,Naděje dožití (ex),31.0497291625
Česko,2024,muži,49,Počet zemřelých (Dx),346.0
Česko,2024,muži,49,Počet obyvatel (Px),97835.0
Česko,2024,muži,49,Míra úmrtnosti (mx),0.0034060558
Česko,2024,muži,49,Pravděpodobnost úmrtí (qx),0.0034002651
Česko,2024,muži,49,Tabulkový počet dožívajících (lx),95524.3512946004
Česko,2024,muži,49,Tabulkový počet zemřelých (dx),324.8081135415
Česko,2024,muži,49,Tabulkový počet žijících (Lx),95361.9472378296
Česko,2024,muži,49,Pomocný ukazatel (Tx),2879532.90628102
Česko,2024,muži,49,Naděje dožití (ex),30.1444905645
Česko,2024,muži,50,Počet zemřelých (Dx),357.0
Česko,2024,muži,50,Počet obyvatel (Px),95321.0
Česko,2024,muži,50,Míra úmrtnosti (mx),0.003769412
Česko,2024,muži,50,Pravděpodobnost úmrtí (qx),0.0037623211
Česko,2024,muži,50,Tabulkový počet dožívajících (lx),95199.5431810589
Česko,2024,muži,50,Tabulkový počet zemřelých (dx),358.1712493952
Česko,2024,muži,50,Tabulkový počet žijících (Lx),95020.4575563613
Česko,2024,muži,50,Pomocný ukazatel (Tx),2784170.95904319
Česko,2024,muži,50,Naděje dožití (ex),29.245633603
Česko,2024,muži,51,Počet zemřelých (Dx),362.0
Česko,2024,muži,51,Počet obyvatel (Px),87578.0
Česko,2024,muži,51,Míra úmrtnosti (mx),0.0041895689
Česko,2024,muži,51,Pravděpodobnost úmrtí (qx),0.004180811
Česko,2024,muži,51,Tabulkový počet dožívajících (lx),94841.3719316637
Česko,2024,muži,51,Tabulkový počet zemřelých (dx),396.513848709
Česko,2024,muži,51,Tabulkový počet žijících (Lx),94643.1150073092
Česko,2024,muži,51,Pomocný ukazatel (Tx),2689150.50148683
Česko,2024,muži,51,Naděje dožití (ex),28.3541923394
Česko,2024,muži,52,Počet zemřelých (Dx),374.0
Česko,2024,muži,52,Počet obyvatel (Px),80374.0
Česko,2024,muži,52,Míra úmrtnosti (mx),0.004668023
Česko,2024,muži,52,Pravděpodobnost úmrtí (qx),0.0046571531
Česko,2024,muži,52,Tabulkový počet dožívajících (lx),94444.8580829547
Česko,2024,muži,52,Tabulkový počet zemřelých (dx),439.8441682814
Česko,2024,muži,52,Tabulkový počet žijících (Lx),94224.9359988139
Česko,2024,muži,52,Pomocný ukazatel (Tx),2594507.38647952
Česko,2024,muži,52,Naděje dožití (ex),27.471134365
Česko,2024,muži,53,Počet zemřelých (Dx),417.0
Česko,2024,muži,53,Počet obyvatel (Px),76050.0
Česko,2024,muži,53,Míra úmrtnosti (mx),0.0052068543
Česko,2024,muži,53,Pravděpodobnost úmrtí (qx),0.0051933338
Česko,2024,muži,53,Tabulkový počet dožívajících (lx),94005.0139146732
Česko,2024,muži,53,Tabulkový počet zemřelých (dx),488.1994172579
Česko,2024,muži,53,Tabulkový počet žijících (Lx),93760.9142060443
Česko,2024,muži,53,Pomocný ukazatel (Tx),2500282.45048071
Česko,2024,muži,53,Naděje dožití (ex),26.5973307844
Česko,2024,muži,54,Počet zemřelých (Dx),392.0
Česko,2024,muži,54,Počet obyvatel (Px),72630.0
Česko,2024,muži,54,Míra úmrtnosti (mx),0.0058073227
Česko,2024,muži,54,Pravděpodobnost úmrtí (qx),0.005790509
Česko,2024,muži,54,Tabulkový počet dožívajících (lx),93516.8144974153
Česko,2024,muži,54,Tabulkový počet zemřelých (dx),541.5099540337
Česko,2024,muži,54,Tabulkový počet žijících (Lx),93246.0595203985
Česko,2024,muži,54,Pomocný ukazatel (Tx),2406521.53627466
Česko,2024,muži,54,Naděje dožití (ex),25.7335704729
Česko,2024,muži,55,Počet zemřelých (Dx),440.0
Česko,2024,muži,55,Počet obyvatel (Px),68962.0
Česko,2024,muži,55,Míra úmrtnosti (mx),0.0064687151
Česko,2024,muži,55,Pravděpodobnost úmrtí (qx),0.0064478604
Česko,2024,muži,55,Tabulkový počet dožívajících (lx),92975.3045433816
Česko,2024,muži,55,Tabulkový počet zemřelých (dx),599.4917811541
Česko,2024,muži,55,Tabulkový počet žijících (Lx),92675.5586528046
Česko,2024,muži,55,Pomocný ukazatel (Tx),2313275.47675426
Česko,2024,muži,55,Naděje dožití (ex),24.8805366986
Česko,2024,muži,56,Počet zemřelých (Dx),514.0
Česko,2024,muži,56,Počet obyvatel (Px),66760.0
Česko,2024,muži,56,Míra úmrtnosti (mx),0.0071878338
Česko,2024,muži,56,Pravděpodobnost úmrtí (qx),0.0071620939
Česko,2024,muži,56,Tabulkový počet dožívajících (lx),92375.8127622275
Česko,2024,muži,56,Tabulkový počet zemřelých (dx),661.604241495
Česko,2024,muži,56,Tabulkový počet žijících (Lx),92045.01064148
Česko,2024,muži,56,Pomocný ukazatel (Tx),2220599.91810146
Česko,2024,muži,56,Naděje dožití (ex),24.0387591914
Česko,2024,muži,57,Počet zemřelých (Dx),528.0
Česko,2024,muži,57,Počet obyvatel (Px),66740.0
Česko,2024,muži,57,Míra úmrtnosti (mx),0.0079582368
Česko,2024,muži,57,Pravděpodobnost úmrtí (qx),0.0079266956
Česko,2024,muži,57,Tabulkový počet dožívajících (lx),91714.2085207325
Česko,2024,muži,57,Tabulkový počet zemřelých (dx),726.9906101559
Česko,2024,muži,57,Tabulkový počet žijících (Lx),91350.7132156546
Česko,2024,muži,57,Pomocný ukazatel (Tx),2128554.90745998
Česko,2024,muži,57,Naděje dožití (ex),23.2085621388
Česko,2024,muži,58,Počet zemřelých (Dx),589.0
Česko,2024,muži,58,Počet obyvatel (Px),67636.0
Česko,2024,muži,58,Míra úmrtnosti (mx),0.0087749586
Česko,2024,muži,58,Pravděpodobnost úmrtí (qx),0.0087366268
Česko,2024,muži,58,Tabulkový počet dožívajících (lx),90987.2179105767
Česko,2024,muži,58,Tabulkový počet zemřelých (dx),794.9213708865
Česko,2024,muži,58,Tabulkový počet žijících (Lx),90589.7572251334
Česko,2024,muži,58,Pomocný ukazatel (Tx),2037204.19424432
Česko,2024,muži,58,Naděje dožití (ex),22.3900042339
Česko,2024,muži,59,Počet zemřelých (Dx),669.0
Česko,2024,muži,59,Počet obyvatel (Px),69764.0
Česko,2024,muži,59,Míra úmrtnosti (mx),0.0096427191
Česko,2024,muži,59,Pravděpodobnost úmrtí (qx),0.0095964512
Česko,2024,muži,59,Tabulkový počet dožívajících (lx),90192.2965396902
Česko,2024,muži,59,Tabulkový počet zemřelých (dx),865.5259719817
Česko,2024,muži,59,Tabulkový počet žijících (Lx),89759.5335536994
Česko,2024,muži,59,Pomocný ukazatel (Tx),1946614.43701919
Česko,2024,muži,59,Naděje dožití (ex),21.5829345931
Česko,2024,muži,60,Počet zemřelých (Dx),772.0
Česko,2024,muži,60,Počet obyvatel (Px),69742.0
Česko,2024,muži,60,Míra úmrtnosti (mx),0.0105698036
Česko,2024,muži,60,Pravděpodobnost úmrtí (qx),0.0105142369
Česko,2024,muži,60,Tabulkový počet dožívajících (lx),89326.7705677085
Česko,2024,muži,60,Tabulkový počet zemřelých (dx),939.2028281427
Česko,2024,muži,60,Tabulkový počet žijících (Lx),88857.1691536372
Česko,2024,muži,60,Pomocný ukazatel (Tx),1856854.90346549
Česko,2024,muži,60,Naděje dožití (ex),20.7872163257
Česko,2024,muži,61,Počet zemřelých (Dx),713.0
Česko,2024,muži,61,Počet obyvatel (Px),64446.0
Česko,2024,muži,61,Míra úmrtnosti (mx),0.0115715907
Česko,2024,muži,61,Pravděpodobnost úmrtí (qx),0.011505025
Česko,2024,muži,61,Tabulkový počet dožívajících (lx),88387.5677395659
Česko,2024,muži,61,Tabulkový počet zemřelých (dx),1016.9011748504
Česko,2024,muži,61,Tabulkový počet žijících (Lx),87879.1171521407
Česko,2024,muži,61,Pomocný ukazatel (Tx),1767997.73431185
Česko,2024,muži,61,Naděje dožití (ex),20.0027874907
Česko,2024,muži,62,Počet zemřelých (Dx),777.0
Česko,2024,muži,62,Počet obyvatel (Px),59407.0
Česko,2024,muži,62,Míra úmrtnosti (mx),0.0126746267
Česko,2024,muži,62,Pravděpodobnost úmrtí (qx),0.0125948094
Česko,2024,muži,62,Tabulkový počet dožívajících (lx),87370.6665647155
Česko,2024,muži,62,Tabulkový počet zemřelých (dx),1100.4168930601
Česko,2024,muži,62,Tabulkový počet žijících (Lx),86820.4581181854
Česko,2024,muži,62,Pomocný ukazatel (Tx),1680118.61715971
Česko,2024,muži,62,Naděje dožití (ex),19.229779092
Česko,2024,muži,63,Počet zemřelých (Dx),793.0
Česko,2024,muži,63,Počet obyvatel (Px),57239.0
Česko,2024,muži,63,Míra úmrtnosti (mx),0.0139131134
Česko,2024,muži,63,Pravděpodobnost úmrtí (qx),0.0138169947
Česko,2024,muži,63,Tabulkový počet dožívajících (lx),86270.2496716553
Česko,2024,muži,63,Tabulkový počet zemřelých (dx),1191.9955818643
Česko,2024,muži,63,Tabulkový počet žijících (Lx),85674.2518807232
Česko,2024,muži,63,Pomocný ukazatel (Tx),1593298.15904153
Česko,2024,muži,63,Naděje dožití (ex),18.4686860778
Česko,2024,muži,64,Počet zemřelých (Dx),752.0
Česko,2024,muži,64,Počet obyvatel (Px),55510.0
Česko,2024,muži,64,Míra úmrtnosti (mx),0.015305042
Česko,2024,muži,64,Pravděpodobnost úmrtí (qx),0.0151888093
Česko,2024,muži,64,Tabulkový počet dožívajících (lx),85078.254089791
Česko,2024,muži,64,Tabulkový počet zemřelých (dx),1292.2373765673
Česko,2024,muži,64,Tabulkový počet žijících (Lx),84432.1354015074
Česko,2024,muži,64,Pomocný ukazatel (Tx),1507623.9071608
Česko,2024,muži,64,Naděje dožití (ex),17.7204377698
Česko,2024,muži,65,Počet zemřelých (Dx),974.0
Česko,2024,muži,65,Počet obyvatel (Px),55963.0
Česko,2024,muži,65,Míra úmrtnosti (mx),0.0168450138
Česko,2024,muži,65,Pravděpodobnost úmrtí (qx),0.0167043215
Česko,2024,muži,65,Tabulkový počet dožívajících (lx),83786.0167132237
Česko,2024,muži,65,Tabulkový počet zemřelých (dx),1399.588564327
Česko,2024,muži,65,Tabulkový počet žijících (Lx),83086.2224310602
Česko,2024,muži,65,Pomocný ukazatel (Tx),1423191.7717593
Česko,2024,muži,65,Naděje dožití (ex),16.9860297409
Česko,2024,muži,66,Počet zemřelých (Dx),1163.0
Česko,2024,muži,66,Počet obyvatel (Px),58679.0
Česko,2024,muži,66,Míra úmrtnosti (mx),0.0185210678
Česko,2024,muži,66,Pravděpodobnost úmrtí (qx),0.0183511265
Česko,2024,muži,66,Tabulkový počet dožívajících (lx),82386.4281488967
Česko,2024,muži,66,Tabulkový počet zemřelých (dx),1511.8837667878
Česko,2024,muži,66,Tabulkový počet žijících (Lx),81630.4862655028
Česko,2024,muži,66,Pomocný ukazatel (Tx),1340105.54932824
Česko,2024,muži,66,Naděje dožití (ex),16.2660959995
Česko,2024,muži,67,Počet zemřelých (Dx),1224.0
Česko,2024,muži,67,Počet obyvatel (Px),60311.0
Česko,2024,muži,67,Míra úmrtnosti (mx),0.0203349606
Česko,2024,muži,67,Pravděpodobnost úmrtí (qx),0.0201302863
Česko,2024,muži,67,Tabulkový počet dožívajících (lx),80874.5443821089
Česko,2024,muži,67,Tabulkový počet zemřelých (dx),1628.0277304107
Česko,2024,muži,67,Tabulkový počet žijících (Lx),80060.5305169036
Česko,2024,muži,67,Pomocný ukazatel (Tx),1258475.06306273
Česko,2024,muži,67,Naděje dožití (ex),15.560830329
Česko,2024,muži,68,Počet zemřelých (Dx),1326.0
Česko,2024,muži,68,Počet obyvatel (Px),60082.0
Česko,2024,muži,68,Míra úmrtnosti (mx),0.0223005801
Česko,2024,muži,68,Pravděpodobnost úmrtí (qx),0.0220546642
Česko,2024,muži,68,Tabulkový počet dožívajících (lx),79246.5166516983
Česko,2024,muži,68,Tabulkový počet zemřelých (dx),1747.755310224
Česko,2024,muži,68,Tabulkový počet žijících (Lx),78372.6389965863
Česko,2024,muži,68,Pomocný ukazatel (Tx),1178414.53254583
Česko,2024,muži,68,Naděje dožití (ex),14.8702376121
Česko,2024,muži,69,Počet zemřelých (Dx),1440.0
Česko,2024,muži,69,Počet obyvatel (Px),58924.0
Česko,2024,muži,69,Míra úmrtnosti (mx),0.0244359964
Česko,2024,muži,69,Pravděpodobnost úmrtí (qx),0.0241410412
Česko,2024,muži,69,Tabulkový počet dožívajících (lx),77498.7613414743
Česko,2024,muži,69,Tabulkový počet zemřelých (dx),1870.9007888727
Česko,2024,muži,69,Tabulkový počet žijících (Lx),76563.310947038
Česko,2024,muži,69,Pomocný ukazatel (Tx),1100041.89354924
Česko,2024,muži,69,Naděje dožití (ex),14.1943158124
Česko,2024,muži,70,Počet zemřelých (Dx),1534.0
Česko,2024,muži,70,Počet obyvatel (Px),57775.0
Česko,2024,muži,70,Míra úmrtnosti (mx),0.0267736925
Česko,2024,muži,70,Pravděpodobnost úmrtí (qx),0.0264200119
Česko,2024,muži,70,Tabulkový počet dožívajících (lx),75627.8605526016
Česko,2024,muži,70,Tabulkový počet zemřelých (dx),1998.0889757826
Česko,2024,muži,70,Tabulkový počet žijících (Lx),74628.8160647104
Česko,2024,muži,70,Pomocný ukazatel (Tx),1023478.58260221
Česko,2024,muži,70,Naděje dožití (ex),13.5330891965
Česko,2024,muži,71,Počet zemřelých (Dx),1646.0
Česko,2024,muži,71,Počet obyvatel (Px),56667.0
Česko,2024,muži,71,Míra úmrtnosti (mx),0.0293589903
Česko,2024,muži,71,Pravděpodobnost úmrtí (qx),0.0289342501
Česko,2024,muži,71,Tabulkový počet dožívajících (lx),73629.7715768191
Česko,2024,muži,71,Tabulkový počet zemřelých (dx),2130.4222258531
Česko,2024,muži,71,Tabulkový počet žijících (Lx),72564.5604638925
Česko,2024,muži,71,Pomocný ukazatel (Tx),948849.766537495
Česko,2024,muži,71,Naděje dožití (ex),12.8867677601
Česko,2024,muži,72,Počet zemřelých (Dx),1781.0
Česko,2024,muži,72,Počet obyvatel (Px),55030.0
Česko,2024,muži,72,Míra úmrtnosti (mx),0.0322397759
Česko,2024,muži,72,Pravděpodobnost úmrtí (qx),0.0317283189
Česko,2024,muži,72,Tabulkový počet dožívajících (lx),71499.3493509659
Česko,2024,muži,72,Tabulkový počet zemřelých (dx),2268.554160662
Česko,2024,muži,72,Tabulkový počet žijících (Lx),70365.0722706349
Česko,2024,muži,72,Pomocný ukazatel (Tx),876285.206073603
Česko,2024,muži,72,Naděje dožití (ex),12.2558486759
Česko,2024,muži,73,Počet zemřelých (Dx),1852.0
Česko,2024,muži,73,Počet obyvatel (Px),52565.0
Česko,2024,muži,73,Míra úmrtnosti (mx),0.0354357745
Česko,2024,muži,73,Pravděpodobnost úmrtí (qx),0.0348188579
Česko,2024,muži,73,Tabulkový počet dožívajících (lx),69230.7951903039
Česko,2024,muži,73,Tabulkový počet zemřelých (dx),2410.5372168808
Česko,2024,muži,73,Tabulkový počet žijících (Lx),68025.5265818636
Česko,2024,muži,73,Pomocný ukazatel (Tx),805920.133802968
Česko,2024,muži,73,Naděje dožití (ex),11.6410642343
Česko,2024,muži,74,Počet zemřelých (Dx),1955.0
Česko,2024,muži,74,Počet obyvatel (Px),49604.0
Česko,2024,muži,74,Míra úmrtnosti (mx),0.0389544929
Česko,2024,muži,74,Pravděpodobnost úmrtí (qx),0.0382102622
Česko,2024,muži,74,Tabulkový počet dožívajících (lx),66820.2579734232
Česko,2024,muži,74,Tabulkový počet zemřelých (dx),2553.2195789309
Česko,2024,muži,74,Tabulkový počet žijících (Lx),65543.6481839577
Česko,2024,muži,74,Pomocný ukazatel (Tx),737894.607221104
Česko,2024,muži,74,Naděje dožití (ex),11.0429775281
Česko,2024,muži,75,Počet zemřelých (Dx),2056.0
Česko,2024,muži,75,Počet obyvatel (Px),47752.0
Česko,2024,muži,75,Míra úmrtnosti (mx),0.0427325508
Česko,2024,muži,75,Pravděpodobnost úmrtí (qx),0.0418386154
Česko,2024,muži,75,Tabulkový počet dožívajících (lx),64267.0383944922
Česko,2024,muži,75,Tabulkový počet zemřelých (dx),2688.8439021429
Česko,2024,muži,75,Tabulkový počet žijících (Lx),62922.6164434208
Česko,2024,muži,75,Pomocný ukazatel (Tx),672350.959037147
Česko,2024,muži,75,Naděje dožití (ex),10.4618320034
Česko,2024,muži,76,Počet zemřelých (Dx),2204.0
Česko,2024,muži,76,Počet obyvatel (Px),47114.0
Česko,2024,muži,76,Míra úmrtnosti (mx),0.0468665805
Česko,2024,muži,76,Pravděpodobnost úmrtí (qx),0.0457934884
Česko,2024,muži,76,Tabulkový počet dožívajících (lx),61578.1944923494
Česko,2024,muži,76,Tabulkový počet zemřelých (dx),2819.8803327136
Česko,2024,muži,76,Tabulkový počet žijících (Lx),60168.2543259926
Česko,2024,muži,76,Pomocný ukazatel (Tx),609428.342593726
Česko,2024,muži,76,Naděje dožití (ex),9.896820581
Česko,2024,muži,77,Počet zemřelých (Dx),2265.0
Česko,2024,muži,77,Počet obyvatel (Px),44401.0
Česko,2024,muži,77,Míra úmrtnosti (mx),0.0514284238
Česko,2024,muži,77,Pravděpodobnost úmrtí (qx),0.0501391354
Česko,2024,muži,77,Tabulkový počet dožívajících (lx),58758.3141596358
Česko,2024,muži,77,Tabulkový počet zemřelých (dx),2946.0910716095
Česko,2024,muži,77,Tabulkový počet žijících (Lx),57285.268623831
Česko,2024,muži,77,Pomocný ukazatel (Tx),549260.088267733
Česko,2024,muži,77,Naděje dožití (ex),9.3477850092
Česko,2024,muži,78,Počet zemřelých (Dx),2100.0
Česko,2024,muži,78,Počet obyvatel (Px),36607.0
Česko,2024,muži,78,Míra úmrtnosti (mx),0.0565041586
Česko,2024,muži,78,Pravděpodobnost úmrtí (qx),0.0549516599
Česko,2024,muži,78,Tabulkový počet dožívajících (lx),55812.2230880263
Česko,2024,muži,78,Tabulkový počet zemřelých (dx),3066.9743021455
Česko,2024,muži,78,Tabulkový počet žijících (Lx),54278.7359369535
Česko,2024,muži,78,Pomocný ukazatel (Tx),491974.819643902
Česko,2024,muži,78,Naděje dožití (ex),8.8148221379
Česko,2024,muži,79,Počet zemřelých (Dx),1945.0
Česko,2024,muži,79,Počet obyvatel (Px),31121.0
Česko,2024,muži,79,Míra úmrtnosti (mx),0.0621953516
Česko,2024,muži,79,Pravděpodobnost úmrtí (qx),0.0603195537
Česko,2024,muži,79,Tabulkový počet dožívajících (lx),52745.2487858807
Česko,2024,muži,79,Tabulkový počet zemřelých (dx),3181.5698660732
Česko,2024,muži,79,Tabulkový počet žijících (Lx),51154.4638528441
Česko,2024,muži,79,Pomocný ukazatel (Tx),437696.083706949
Česko,2024,muži,79,Naděje dožití (ex),8.2983035208
Česko,2024,muži,80,Počet zemřelých (Dx),2025.0
Česko,2024,muži,80,Počet obyvatel (Px),29438.0
Česko,2024,muži,80,Míra úmrtnosti (mx),0.0686160526
Česko,2024,muži,80,Pravděpodobnost úmrtí (qx),0.0663400562
Česko,2024,muži,80,Tabulkový počet dožívajících (lx),49563.6789198075
Česko,2024,muži,80,Tabulkový počet zemřelých (dx),3288.0572431968
Česko,2024,muži,80,Tabulkový počet žijících (Lx),47919.6502982091
Česko,2024,muži,80,Pomocný ukazatel (Tx),386541.619854105
Česko,2024,muži,80,Naděje dožití (ex),7.7988887887
Česko,2024,muži,81,Počet zemřelých (Dx),1905.0
Česko,2024,muži,81,Počet obyvatel (Px),25402.0
Česko,2024,muži,81,Míra úmrtnosti (mx),0.0759023394
Česko,2024,muži,81,Pravděpodobnost úmrtí (qx),0.0731270811
Česko,2024,muži,81,Tabulkový počet dožívajících (lx),46275.6216766107
Česko,2024,muži,81,Tabulkový počet zemřelých (dx),3384.0011403794
Česko,2024,muži,81,Tabulkový počet žijících (Lx),44583.621106421
Česko,2024,muži,81,Pomocný ukazatel (Tx),338621.969555895
Česko,2024,muži,81,Naděje dožití (ex),7.3175023325
Česko,2024,muži,82,Počet zemřelých (Dx),1733.0
Česko,2024,muži,82,Počet obyvatel (Px),21523.0
Česko,2024,muži,82,Míra úmrtnosti (mx),0.0841941743
Česko,2024,muži,82,Pravděpodobnost úmrtí (qx),0.0807930233
Česko,2024,muži,82,Tabulkový počet dožívajících (lx),42891.6205362313
Česko,2024,muži,82,Tabulkový počet zemřelých (dx),3465.3436989566
Česko,2024,muži,82,Tabulkový počet žijících (Lx),41158.948686753
Česko,2024,muži,82,Pomocný ukazatel (Tx),294038.348449474
Česko,2024,muži,82,Naděje dožití (ex),6.8553797869
Česko,2024,muži,83,Počet zemřelých (Dx),1759.0
Česko,2024,muži,83,Počet obyvatel (Px),18983.0
Česko,2024,muži,83,Míra úmrtnosti (mx),0.0935986399
Česko,2024,muži,83,Pravděpodobnost úmrtí (qx),0.0894141199
Česko,2024,muži,83,Tabulkový počet dožívajících (lx),39426.2768372747
Česko,2024,muži,83,Tabulkový počet zemřelých (dx),3525.265845892
Česko,2024,muži,83,Tabulkový počet žijících (Lx),37663.6439143287
Česko,2024,muži,83,Pomocný ukazatel (Tx),252879.399762721
Česko,2024,muži,83,Naděje dožití (ex),6.413981234
Česko,2024,muži,84,Počet zemřelých (Dx),1609.0
Česko,2024,muži,84,Počet obyvatel (Px),15860.0
Česko,2024,muži,84,Míra úmrtnosti (mx),0.1041642831
Česko,2024,muži,84,Pravděpodobnost úmrtí (qx),0.0990077476
Česko,2024,muži,84,Tabulkový počet dožívajících (lx),35901.0109913827
Česko,2024,muži,84,Tabulkový počet zemřelých (dx),3554.4782336757
Česko,2024,muži,84,Tabulkový počet žijících (Lx),34123.7718745448
Česko,2024,muži,84,Pomocný ukazatel (Tx),215215.755848393
Česko,2024,muži,84,Naděje dožití (ex),5.9946990323
Česko,2024,muži,85,Počet zemřelých (Dx),1419.0
Česko,2024,muži,85,Počet obyvatel (Px),12754.0
Česko,2024,muži,85,Míra úmrtnosti (mx),0.1155557284
Česko,2024,muži,85,Pravděpodobnost úmrtí (qx),0.1092438519
Česko,2024,muži,85,Tabulkový počet dožívajících (lx),32346.532757707
Česko,2024,muži,85,Tabulkový počet zemřelých (dx),3533.6598345625
Česko,2024,muži,85,Tabulkový počet žijících (Lx),30579.7028404257
Česko,2024,muži,85,Pomocný ukazatel (Tx),181091.983973848
Česko,2024,muži,85,Naděje dožití (ex),5.598497537
Česko,2024,muži,86,Počet zemřelých (Dx),1261.0
Česko,2024,muži,86,Počet obyvatel (Px),10551.0
Česko,2024,muži,86,Míra úmrtnosti (mx),0.1281434299
Česko,2024,muži,86,Pravděpodobnost úmrtí (qx),0.1204274374
Česko,2024,muži,86,Tabulkový počet dožívajících (lx),28812.8729231445
Česko,2024,muži,86,Tabulkový počet zemřelých (dx),3469.8604510564
Česko,2024,muži,86,Tabulkový počet žijících (Lx),27077.9426976163
Česko,2024,muži,86,Pomocný ukazatel (Tx),150512.281133422
Česko,2024,muži,86,Naděje dožití (ex),5.2237859631
Česko,2024,muži,87,Počet zemřelých (Dx),1233.0
Česko,2024,muži,87,Počet obyvatel (Px),8721.0
Česko,2024,muži,87,Míra úmrtnosti (mx),0.1420086694
Česko,2024,muži,87,Pravděpodobnost úmrtí (qx),0.1325939259
Česko,2024,muži,87,Tabulkový počet dožívajících (lx),25343.0124720881
Česko,2024,muži,87,Tabulkový počet zemřelých (dx),3360.3295182927
Česko,2024,muži,87,Tabulkový počet žijících (Lx),23662.8477129418
Česko,2024,muži,87,Pomocný ukazatel (Tx),123434.338435806
Česko,2024,muži,87,Naděje dožití (ex),4.8705472
Česko,2024,muži,88,Počet zemřelých (Dx),1158.0
Česko,2024,muži,88,Počet obyvatel (Px),7267.0
Česko,2024,muži,88,Míra úmrtnosti (mx),0.1572274958
Česko,2024,muži,88,Pravděpodobnost úmrtí (qx),0.1457681178
Česko,2024,muži,88,Tabulkový počet dožívajících (lx),21982.6829537954
Česko,2024,muži,88,Tabulkový počet zemřelých (dx),3204.3743176822
Česko,2024,muži,88,Tabulkový počet žijících (Lx),20380.4957949543
Česko,2024,muži,88,Pomocný ukazatel (Tx),99771.4907228642
Česko,2024,muži,88,Naděje dožití (ex),4.5386402985
Česko,2024,muži,89,Počet zemřelých (Dx),1129.0
Česko,2024,muži,89,Počet obyvatel (Px),5943.0
Česko,2024,muži,89,Míra úmrtnosti (mx),0.1738677132
Česko,2024,muži,89,Pravděpodobnost úmrtí (qx),0.1599616317
Česko,2024,muži,89,Tabulkový počet dožívajících (lx),18778.3086361132
Česko,2024,muži,89,Tabulkový počet zemřelých (dx),3003.8088891166
Česko,2024,muži,89,Tabulkový počet žijících (Lx),17276.4041915549
Česko,2024,muži,89,Pomocný ukazatel (Tx),79390.9949279099
Česko,2024,muži,89,Naděje dožití (ex),4.2278032844
Česko,2024,muži,90,Počet zemřelých (Dx),1027.0
Česko,2024,muži,90,Počet obyvatel (Px),4819.0
Česko,2024,muži,90,Míra úmrtnosti (mx),0.1919854803
Česko,2024,muži,90,Pravděpodobnost úmrtí (qx),0.1751703942
Česko,2024,muži,90,Tabulkový počet dožívajících (lx),15774.4997469966
Česko,2024,muži,90,Tabulkový počet zemřelých (dx),2763.2253384007
Česko,2024,muži,90,Tabulkový počet žijících (Lx),14392.8870777963
Česko,2024,muži,90,Pomocný ukazatel (Tx),62114.5907363549
Česko,2024,muži,90,Naděje dožití (ex),3.9376583557
Česko,2024,muži,91,Počet zemřelých (Dx),870.0
Česko,2024,muži,91,Počet obyvatel (Px),3861.0
Česko,2024,muži,91,Míra úmrtnosti (mx),0.2116216096
Česko,2024,muži,91,Pravděpodobnost úmrtí (qx),0.1913723475
Česko,2024,muži,91,Tabulkový počet dožívajících (lx),13011.2744085959
Česko,2024,muži,91,Tabulkový počet zemřelých (dx),2489.9981279345
Česko,2024,muži,91,Tabulkový počet žijících (Lx),11766.2753446287
Česko,2024,muži,91,Pomocný ukazatel (Tx),47721.7036585586
Česko,2024,muži,91,Naděje dožití (ex),3.667719407
Česko,2024,muži,92,Počet zemřelých (Dx),764.0
Česko,2024,muži,92,Počet obyvatel (Px),2998.0
Česko,2024,muži,92,Míra úmrtnosti (mx),0.2327977058
