Území;Ukazatel;Čtvrtletí;value
Česko;Úroky (konsolidované výdaje);2. čtvrtletí 2024;24978
Česko;Úroky (konsolidované výdaje);3. čtvrtletí 2024;25073
Česko;Úroky (konsolidované výdaje);4. čtvrtletí 2024;25802
Česko;Hrubý domácí produkt (běžné ceny);4. čtvrtletí 2015;1218459
Česko;Hrubý domácí produkt (běžné ceny);1. čtvrtletí 2022;1598429
Česko;Hrubý domácí produkt (běžné ceny);2. čtvrtletí 2022;1764291
Česko;Hrubý domácí produkt (běžné ceny);3. čtvrtletí 2022;1814270
Česko;Hrubý domácí produkt (běžné ceny);4. čtvrtletí 2022;1872882
Česko;Hrubý domácí produkt (běžné ceny);1. čtvrtletí 2023;1773017
Česko;Hrubý domácí produkt (běžné ceny);2. čtvrtletí 2023;1929020
Česko;Hrubý domácí produkt (běžné ceny);3. čtvrtletí 2023;1932468
Česko;Hrubý domácí produkt (běžné ceny);4. čtvrtletí 2023;1984023
Česko;Hrubý domácí produkt (běžné ceny);1. čtvrtletí 2024;1845077
Česko;Hrubý domácí produkt (běžné ceny);2. čtvrtletí 2024;2021470
Česko;Hrubý domácí produkt (běžné ceny);3. čtvrtletí 2024;2050307
Česko;Hrubý domácí produkt (běžné ceny);4. čtvrtletí 2024;2093805
