Ukazatel;Realizace stavby;Roky;Území;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Hlavní město Praha;54348.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Středočeský kraj;23096.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Jihočeský kraj;22538.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Plzeňský kraj;12640.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Karlovarský kraj;7413.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Ústecký kraj;22527.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Liberecký kraj;8231.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Královéhradecký kraj;8379.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Pardubický kraj;8384.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Kraj Vysočina;10051.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Jihomoravský kraj;25774.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Olomoucký kraj;10743.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Zlínský kraj;9991.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Moravskoslezský kraj;30787.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Česko;270225.906
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Hlavní město Praha;57888.745
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Středočeský kraj;24683.16
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Jihočeský kraj;17387.006
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Plzeňský kraj;13210.163
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Karlovarský kraj;11130.721
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Ústecký kraj;22886.83
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Liberecký kraj;8607.252
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Královéhradecký kraj;9761.342
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Pardubický kraj;9226.941
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Kraj Vysočina;8870.767
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Jihomoravský kraj;30544.996
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Olomoucký kraj;12783.613
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Zlínský kraj;12209.632
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2010;Moravskoslezský kraj;31034.738
