Území;Kumulace čtvrtletí;Velikostní skupiny podniků;Ukazatel;value
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);48903.5380580191
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2945.0558401803
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.4080789836
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);397.049082292
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-4.9160930788
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.7769853261
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);47198.4385848743
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2746.3717635038
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.1782768719
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1743.6335971173
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-10.8923158143
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.379187521
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);53520.2134911478
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3502.029382487
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.0015124397
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1819.5195786918
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-5.737491913
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.6856611594
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);51288.0671694404
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3208.1547287509
Česko;Q1-Q4 2024;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.6725469451
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);365.2064534007
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-1.1624083981
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.682721836
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);53390.829647346
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3702.233610519
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.4508718414
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);378.0833581684
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-0.4423496128
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.8831388189
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);51572.4247533269
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3479.6426775667
Česko;Q1-Q4 2024;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.2352700912
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1360.4282612681
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-5.3079881853
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.6113460277
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);54820.6382987078
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3646.762428489
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.1262189281
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1422.4704963998
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-0.8213988343
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.9422887999
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);52429.5905124739
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3325.1042612608
Česko;Q1-Q4 2024;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.7714877298
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);995.2218078674
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-4.1455797872
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.5851796008
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);55345.3206785327
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3626.9400658792
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.0128647164
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1044.3871382314
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-0.3790492215
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.9637192296
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);52739.8970040629
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3268.863630941
Česko;Q1-Q4 2024;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.6076315938
