Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2014,185091.89
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2013,828368.09
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2012,232205.63
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2011,193195.53
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2010,-69590.67
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2009,-1350406.91
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2008,512975.81
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2007,971928.96
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2024,1556181.62448
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2023,372275.07077
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2022,809255.81329
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2021,635677.70639
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2020,267527.5901
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2019,535886.96555
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2018,111107.65045
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2017,961839.46409
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2016,2028477.18092
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2015,-65910.91747
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2014,336304.08
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2013,787886.43
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2012,-417683.12
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2011,-435594.8
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2010,-380667.19
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2009,-1005656.73
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2008,388135.0
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Karlovarský kraj,2007,713016.93
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2024,707964.09948
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2023,1625449.15236
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2022,1466283.94639
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2021,1679732.92976
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2020,-203309.7262
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2019,1395969.92825
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2018,184169.48998
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2017,1995382.17905
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2016,3110769.11647
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2015,839303.23888
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2014,845890.16
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2013,2456762.41
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2012,-839673.51
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2011,-1365814.39
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2010,330775.87
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2009,-3227293.64
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2008,399846.53
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Ústecký kraj,2007,343678.92
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2024,1297195.9111
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2023,1898199.51698
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2022,2319615.92102
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2021,1346505.55202
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2020,965117.00852
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2019,370837.30719
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2018,248128.5177
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2017,950433.5974
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2016,1967761.05554
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2015,720505.4314
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2014,593301.5
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2013,407589.52
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2012,9829.72
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2011,-130771.36
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2010,-594101.98
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2009,-849055.44
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2008,-225787.02
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,2007,438355.12
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2024,999000.64009
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2023,2265278.4674
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2022,749620.1193
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2021,1386075.49204
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2020,-329027.3393
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2019,988226.02418
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2018,243891.6277
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2017,1738934.34062
