Ukazatel;Území;NACE;Roky;value
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2009;147
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2010;159
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2011;157
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2012;144
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2013;141
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2014;140
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2015;127
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2016;118
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2017;118
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2018;107
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2019;108
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2020;108
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2021;93
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2022;93
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2023;89
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2008;538
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2009;547
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2010;563
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2011;598
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2012;643
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2013;677
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2014;687
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2015;722
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2016;754
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2017;769
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2018;806
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2019;829
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2020;811
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2021;827
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2022;852
Počet aktivních podniků;Česko;"Výroba měřících, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů (26.5)";2023;913
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2008;50
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2009;38
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2010;38
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2011;37
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2012;44
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2013;48
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2014;53
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2015;50
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2016;63
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2017;68
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2018;58
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2019;66
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2020;66
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2021;73
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2022;78
Počet aktivních podniků;Česko;Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů (26.6);2023;83
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2008;3118
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2009;3499
Počet aktivních podniků;Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti (59);2010;3667
