Ukazatel;Území;Rodinný stav nevěsty;Věk nevěsty (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;29;2022;3501.0
Sňatky;Česko;Celkem;29;2021;2999.0
Sňatky;Česko;Celkem;29;2020;3021.0
Sňatky;Česko;Celkem;29;2019;3577.0
Sňatky;Česko;Celkem;29;2018;3648.0
Sňatky;Česko;Celkem;29;2017;3612.0
Sňatky;Česko;Celkem;29;2016;3546.0
Sňatky;Česko;Celkem;29;2015;3436.0
Sňatky;Česko;Celkem;29;2014;3210.0
Sňatky;Česko;Celkem;29;2013;3160.0
Sňatky;Česko;Celkem;29;2012;3156.0
Sňatky;Česko;Celkem;29;2011;3001.0
Sňatky;Česko;Celkem;29;2010;3161.0
Sňatky;Česko;Celkem;29;2009;3402.0
Sňatky;Česko;Celkem;29;2008;3805.0
Sňatky;Česko;Celkem;29;2007;4218.0
Sňatky;Česko;Celkem;29;2006;3633.0
Sňatky;Česko;Celkem;29;2005;3417.0
Sňatky;Česko;Celkem;29;2004;3056.0
Sňatky;Česko;Celkem;29;2003;2613.0
Sňatky;Česko;Celkem;29;2002;2288.0
Sňatky;Česko;Celkem;29;2001;1924.0
Sňatky;Česko;Celkem;30;2024;
Sňatky;Česko;Celkem;30;2023;2898.0
Sňatky;Česko;Celkem;30;2022;3123.0
Sňatky;Česko;Celkem;30;2021;2900.0
Sňatky;Česko;Celkem;30;2020;2730.0
Sňatky;Česko;Celkem;30;2019;3293.0
Sňatky;Česko;Celkem;30;2018;3393.0
Sňatky;Česko;Celkem;30;2017;3268.0
Sňatky;Česko;Celkem;30;2016;3132.0
Sňatky;Česko;Celkem;30;2015;3070.0
Sňatky;Česko;Celkem;30;2014;2949.0
Sňatky;Česko;Celkem;30;2013;2749.0
Sňatky;Česko;Celkem;30;2012;2876.0
Sňatky;Česko;Celkem;30;2011;2663.0
Sňatky;Česko;Celkem;30;2010;2972.0
Sňatky;Česko;Celkem;30;2009;3035.0
Sňatky;Česko;Celkem;30;2008;3159.0
Sňatky;Česko;Celkem;30;2007;3364.0
Sňatky;Česko;Celkem;30;2006;3050.0
Sňatky;Česko;Celkem;30;2005;2635.0
Sňatky;Česko;Celkem;30;2004;2342.0
Sňatky;Česko;Celkem;30;2003;1929.0
Sňatky;Česko;Celkem;30;2002;1688.0
Sňatky;Česko;Celkem;30;2001;1410.0
Sňatky;Česko;Celkem;31;2024;
Sňatky;Česko;Celkem;31;2023;2502.0
Sňatky;Česko;Celkem;31;2022;2868.0
Sňatky;Česko;Celkem;31;2021;2409.0
Sňatky;Česko;Celkem;31;2020;2414.0
Sňatky;Česko;Celkem;31;2019;2768.0
Sňatky;Česko;Celkem;31;2018;2730.0
Sňatky;Česko;Celkem;31;2017;2700.0
Sňatky;Česko;Celkem;31;2016;2580.0
Sňatky;Česko;Celkem;31;2015;2399.0
Sňatky;Česko;Celkem;31;2014;2360.0
Sňatky;Česko;Celkem;31;2013;2230.0
Sňatky;Česko;Celkem;31;2012;2197.0
Sňatky;Česko;Celkem;31;2011;2293.0
Sňatky;Česko;Celkem;31;2010;2400.0
Sňatky;Česko;Celkem;31;2009;2374.0
Sňatky;Česko;Celkem;31;2008;2461.0
Sňatky;Česko;Celkem;31;2007;2640.0
Sňatky;Česko;Celkem;31;2006;2297.0
Sňatky;Česko;Celkem;31;2005;1986.0
Sňatky;Česko;Celkem;31;2004;1638.0
Sňatky;Česko;Celkem;31;2003;1293.0
Sňatky;Česko;Celkem;31;2002;1276.0
Sňatky;Česko;Celkem;31;2001;1043.0
Sňatky;Česko;Celkem;32;2024;
Sňatky;Česko;Celkem;32;2023;2262.0
Sňatky;Česko;Celkem;32;2022;2489.0
Sňatky;Česko;Celkem;32;2021;2103.0
Sňatky;Česko;Celkem;32;2020;1981.0
Sňatky;Česko;Celkem;32;2019;2434.0
Sňatky;Česko;Celkem;32;2018;2359.0
Sňatky;Česko;Celkem;32;2017;2255.0
Sňatky;Česko;Celkem;32;2016;2229.0
Sňatky;Česko;Celkem;32;2015;2095.0
Sňatky;Česko;Celkem;32;2014;2005.0
Sňatky;Česko;Celkem;32;2013;1790.0
Sňatky;Česko;Celkem;32;2012;1932.0
Sňatky;Česko;Celkem;32;2011;2102.0
Sňatky;Česko;Celkem;32;2010;2050.0
Sňatky;Česko;Celkem;32;2009;1984.0
Sňatky;Česko;Celkem;32;2008;1946.0
Sňatky;Česko;Celkem;32;2007;2106.0
Sňatky;Česko;Celkem;32;2006;1782.0
Sňatky;Česko;Celkem;32;2005;1488.0
Sňatky;Česko;Celkem;32;2004;1180.0
Sňatky;Česko;Celkem;32;2003;1017.0
Sňatky;Česko;Celkem;32;2002;1013.0
Sňatky;Česko;Celkem;32;2001;899.0
Sňatky;Česko;Celkem;33;2024;
Sňatky;Česko;Celkem;33;2023;1865.0
Sňatky;Česko;Celkem;33;2022;2147.0
Sňatky;Česko;Celkem;33;2021;1823.0
Sňatky;Česko;Celkem;33;2020;1729.0
Sňatky;Česko;Celkem;33;2019;2127.0
Sňatky;Česko;Celkem;33;2018;2114.0
Sňatky;Česko;Celkem;33;2017;2043.0
Sňatky;Česko;Celkem;33;2016;1866.0
Sňatky;Česko;Celkem;33;2015;1791.0
Sňatky;Česko;Celkem;33;2014;1762.0
Sňatky;Česko;Celkem;33;2013;1690.0
Sňatky;Česko;Celkem;33;2012;1694.0
Sňatky;Česko;Celkem;33;2011;1804.0
Sňatky;Česko;Celkem;33;2010;1672.0
Sňatky;Česko;Celkem;33;2009;1675.0
Sňatky;Česko;Celkem;33;2008;1661.0
Sňatky;Česko;Celkem;33;2007;1759.0
Sňatky;Česko;Celkem;33;2006;1432.0
Sňatky;Česko;Celkem;33;2005;1083.0
Sňatky;Česko;Celkem;33;2004;990.0
Sňatky;Česko;Celkem;33;2003;812.0
Sňatky;Česko;Celkem;33;2002;821.0
Sňatky;Česko;Celkem;33;2001;737.0
Sňatky;Česko;Celkem;34;2024;
Sňatky;Česko;Celkem;34;2023;1681.0
Sňatky;Česko;Celkem;34;2022;1969.0
Sňatky;Česko;Celkem;34;2021;1650.0
Sňatky;Česko;Celkem;34;2020;1528.0
Sňatky;Česko;Celkem;34;2019;1842.0
Sňatky;Česko;Celkem;34;2018;1807.0
Sňatky;Česko;Celkem;34;2017;1742.0
Sňatky;Česko;Celkem;34;2016;1669.0
Sňatky;Česko;Celkem;34;2015;1509.0
Sňatky;Česko;Celkem;34;2014;1528.0
Sňatky;Česko;Celkem;34;2013;1444.0
Sňatky;Česko;Celkem;34;2012;1487.0
Sňatky;Česko;Celkem;34;2011;1509.0
Sňatky;Česko;Celkem;34;2010;1450.0
Sňatky;Česko;Celkem;34;2009;1437.0
Sňatky;Česko;Celkem;34;2008;1396.0
Sňatky;Česko;Celkem;34;2007;1370.0
Sňatky;Česko;Celkem;34;2006;1071.0
Sňatky;Česko;Celkem;34;2005;946.0
Sňatky;Česko;Celkem;34;2004;851.0
Sňatky;Česko;Celkem;34;2003;678.0
Sňatky;Česko;Celkem;34;2002;697.0
Sňatky;Česko;Celkem;34;2001;628.0
Sňatky;Česko;Celkem;35;2024;
Sňatky;Česko;Celkem;35;2023;1488.0
Sňatky;Česko;Celkem;35;2022;1723.0
Sňatky;Česko;Celkem;35;2021;1442.0
Sňatky;Česko;Celkem;35;2020;1430.0
Sňatky;Česko;Celkem;35;2019;1632.0
Sňatky;Česko;Celkem;35;2018;1565.0
Sňatky;Česko;Celkem;35;2017;1481.0
Sňatky;Česko;Celkem;35;2016;1454.0
Sňatky;Česko;Celkem;35;2015;1424.0
Sňatky;Česko;Celkem;35;2014;1413.0
Sňatky;Česko;Celkem;35;2013;1310.0
Sňatky;Česko;Celkem;35;2012;1235.0
Sňatky;Česko;Celkem;35;2011;1217.0
Sňatky;Česko;Celkem;35;2010;1265.0
Sňatky;Česko;Celkem;35;2009;1158.0
Sňatky;Česko;Celkem;35;2008;1140.0
Sňatky;Česko;Celkem;35;2007;1136.0
Sňatky;Česko;Celkem;35;2006;895.0
Sňatky;Česko;Celkem;35;2005;785.0
Sňatky;Česko;Celkem;35;2004;721.0
Sňatky;Česko;Celkem;35;2003;597.0
Sňatky;Česko;Celkem;35;2002;593.0
Sňatky;Česko;Celkem;35;2001;569.0
Sňatky;Česko;Celkem;36;2024;
Sňatky;Česko;Celkem;36;2023;1395.0
Sňatky;Česko;Celkem;36;2022;1523.0
Sňatky;Česko;Celkem;36;2021;1211.0
Sňatky;Česko;Celkem;36;2020;1154.0
Sňatky;Česko;Celkem;36;2019;1371.0
Sňatky;Česko;Celkem;36;2018;1353.0
Sňatky;Česko;Celkem;36;2017;1255.0
Sňatky;Česko;Celkem;36;2016;1304.0
Sňatky;Česko;Celkem;36;2015;1258.0
Sňatky;Česko;Celkem;36;2014;1159.0
Sňatky;Česko;Celkem;36;2013;1080.0
Sňatky;Česko;Celkem;36;2012;1068.0
Sňatky;Česko;Celkem;36;2011;1069.0
Sňatky;Česko;Celkem;36;2010;1091.0
Sňatky;Česko;Celkem;36;2009;858.0
Sňatky;Česko;Celkem;36;2008;875.0
Sňatky;Česko;Celkem;36;2007;934.0
Sňatky;Česko;Celkem;36;2006;693.0
Sňatky;Česko;Celkem;36;2005;658.0
Sňatky;Česko;Celkem;36;2004;565.0
Sňatky;Česko;Celkem;36;2003;562.0
Sňatky;Česko;Celkem;36;2002;530.0
Sňatky;Česko;Celkem;36;2001;527.0
Sňatky;Česko;Celkem;37;2024;
Sňatky;Česko;Celkem;37;2023;1251.0
Sňatky;Česko;Celkem;37;2022;1388.0
Sňatky;Česko;Celkem;37;2021;1161.0
