Ukazatel;ČR, Reg. soudržnosti, Kraje;Roky;value
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2021;592773
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2022;636726
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2023;678773
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2015;333796
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2016;349367
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2017;378149
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2018;398611
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2019;428187
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2020;435078
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2021;469289
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2022;512034
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Olomoucký kraj;2023;549377
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2015;375369
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2016;390005
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2017;417830
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2018;432566
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2019;468971
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2020;465734
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2021;494693
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2022;534186
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Zlínský kraj;2023;583790
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2015;360044
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2016;375249
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2017;395873
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2018;421679
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2019;434026
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2020;423357
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2021;465235
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2022;512448
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Moravskoslezský kraj;2023;550454
