Stát,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2023,N - Administrativní a podpůrné činnosti,Přímé náklady - mzdy za vykonanou práci,194.1725983011
Česko,2023,N - Administrativní a podpůrné činnosti,Přímé náklady - náhrady mzdy,22.5169658933
Česko,2023,N - Administrativní a podpůrné činnosti,Nepřímé náklady - sociální požitky,2.3399440289
Česko,2023,N - Administrativní a podpůrné činnosti,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,73.4823383057
Česko,2023,N - Administrativní a podpůrné činnosti,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.6554240946
Česko,2023,N - Administrativní a podpůrné činnosti,Nepřímé náklady - personální náklady/výdaje,2.0653081704
Česko,2023,N - Administrativní a podpůrné činnosti,Nepřímé náklady - daně a dotace,-3.520325161
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Náklady práce celkem,476.9059734897
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Přímé náklady celkem,334.7011401053
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Přímé náklady - mzdy za vykonanou práci,298.3857287288
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Přímé náklady - náhrady mzdy,36.3154113766
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Nepřímé náklady - sociální požitky,9.6606339733
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,115.8170676183
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.4987151115
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Nepřímé náklady - personální náklady/výdaje,12.6623761163
Česko,2023,O - Veřejná správa a obrana; povinné sociální zabezpečení,Nepřímé náklady - daně a dotace,-1.4339594351
Česko,2023,P - Vzdělávání,Náklady práce celkem,434.0905592607
Česko,2023,P - Vzdělávání,Přímé náklady celkem,319.9079241746
Česko,2023,P - Vzdělávání,Přímé náklady - mzdy za vykonanou práci,272.6627561656
Česko,2023,P - Vzdělávání,Přímé náklady - náhrady mzdy,47.245168009
Česko,2023,P - Vzdělávání,Nepřímé náklady - sociální požitky,1.3210109625
Česko,2023,P - Vzdělávání,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,109.2174337779
Česko,2023,P - Vzdělávání,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.1602329984
Česko,2023,P - Vzdělávání,Nepřímé náklady - personální náklady/výdaje,1.4695431198
Česko,2023,P - Vzdělávání,Nepřímé náklady - daně a dotace,-0.9855857724
Česko,2023,Q - Zdravotní a sociální péče,Náklady práce celkem,447.8984761569
Česko,2023,Q - Zdravotní a sociální péče,Přímé náklady celkem,327.8259602729
Česko,2023,Q - Zdravotní a sociální péče,Přímé náklady - mzdy za vykonanou práci,293.236177997
Česko,2023,Q - Zdravotní a sociální péče,Přímé náklady - náhrady mzdy,34.5897822759
Česko,2023,Q - Zdravotní a sociální péče,Nepřímé náklady - sociální požitky,3.5109020387
Česko,2023,Q - Zdravotní a sociální péče,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,113.0608431952
Česko,2023,Q - Zdravotní a sociální péče,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.9086562151
Česko,2023,Q - Zdravotní a sociální péče,Nepřímé náklady - personální náklady/výdaje,2.4424139293
Česko,2023,Q - Zdravotní a sociální péče,Nepřímé náklady - daně a dotace,-2.8502994943
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Náklady práce celkem,348.659127798
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Přímé náklady celkem,254.5003442519
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Přímé náklady - mzdy za vykonanou práci,229.3419124562
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Přímé náklady - náhrady mzdy,25.1584317957
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Nepřímé náklady - sociální požitky,2.4717903364
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,87.6416821813
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Nepřímé náklady - sociální náklady/výdaje - ostatní ,2.92021297
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Nepřímé náklady - personální náklady/výdaje,1.5088265424
Česko,2023,"R - Kulturní, zábavní a rekreační činnosti",Nepřímé náklady - daně a dotace,-0.3837284839
Česko,2023,S - Ostatní činnosti,Náklady práce celkem,298.236060336
Česko,2023,S - Ostatní činnosti,Přímé náklady celkem,222.5140863061
Česko,2023,S - Ostatní činnosti,Přímé náklady - mzdy za vykonanou práci,200.8066871633
Česko,2023,S - Ostatní činnosti,Přímé náklady - náhrady mzdy,21.7073991428
Česko,2023,S - Ostatní činnosti,Nepřímé náklady - sociální požitky,1.5309523337
Česko,2023,S - Ostatní činnosti,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,75.9927906913
Česko,2023,S - Ostatní činnosti,Nepřímé náklady - sociální náklady/výdaje - ostatní ,2.2382325222
Česko,2023,S - Ostatní činnosti,Nepřímé náklady - personální náklady/výdaje,1.0969917013
Česko,2023,S - Ostatní činnosti,Nepřímé náklady - daně a dotace,-5.1369932185
