Ukazatel;Území;Druh nemovitosti;Tříleté období;value
Průměrná jednotková kupní cena nemovitosti;Litoměřice;Rodinné domy [Kč/m2];2019-2021;27472
Průměrná jednotková kupní cena nemovitosti;Litoměřice;Rodinné domy [Kč/m2];2020-2022;32097
Průměrná jednotková kupní cena nemovitosti;Litoměřice;Rodinné domy [Kč/m2];2021-2023;35670
Průměrná jednotková kupní cena nemovitosti;Litoměřice;Byty [Kč/m2];2019-2021;30688
Průměrná jednotková kupní cena nemovitosti;Litoměřice;Byty [Kč/m2];2020-2022;37181
Průměrná jednotková kupní cena nemovitosti;Litoměřice;Byty [Kč/m2];2021-2023;42047
Průměrná jednotková kupní cena nemovitosti;Louny;Rodinné domy [Kč/m2];2019-2021;26071
Průměrná jednotková kupní cena nemovitosti;Louny;Rodinné domy [Kč/m2];2020-2022;29597
Průměrná jednotková kupní cena nemovitosti;Louny;Rodinné domy [Kč/m2];2021-2023;31900
Průměrná jednotková kupní cena nemovitosti;Louny;Byty [Kč/m2];2019-2021;24732
Průměrná jednotková kupní cena nemovitosti;Louny;Byty [Kč/m2];2020-2022;30830
Průměrná jednotková kupní cena nemovitosti;Louny;Byty [Kč/m2];2021-2023;34207
Průměrná jednotková kupní cena nemovitosti;Most;Rodinné domy [Kč/m2];2019-2021;33113
Průměrná jednotková kupní cena nemovitosti;Most;Rodinné domy [Kč/m2];2020-2022;36208
Průměrná jednotková kupní cena nemovitosti;Most;Rodinné domy [Kč/m2];2021-2023;39530
Průměrná jednotková kupní cena nemovitosti;Most;Byty [Kč/m2];2019-2021;23224
Průměrná jednotková kupní cena nemovitosti;Most;Byty [Kč/m2];2020-2022;28254
Průměrná jednotková kupní cena nemovitosti;Most;Byty [Kč/m2];2021-2023;29872
Průměrná jednotková kupní cena nemovitosti;Teplice;Rodinné domy [Kč/m2];2019-2021;31207
Průměrná jednotková kupní cena nemovitosti;Teplice;Rodinné domy [Kč/m2];2020-2022;34177
Průměrná jednotková kupní cena nemovitosti;Teplice;Rodinné domy [Kč/m2];2021-2023;38453
Průměrná jednotková kupní cena nemovitosti;Teplice;Byty [Kč/m2];2019-2021;23242
Průměrná jednotková kupní cena nemovitosti;Teplice;Byty [Kč/m2];2020-2022;27102
Průměrná jednotková kupní cena nemovitosti;Teplice;Byty [Kč/m2];2021-2023;29799
Průměrná jednotková kupní cena nemovitosti;Ústí nad Labem;Rodinné domy [Kč/m2];2019-2021;36293
Průměrná jednotková kupní cena nemovitosti;Ústí nad Labem;Rodinné domy [Kč/m2];2020-2022;41501
Průměrná jednotková kupní cena nemovitosti;Ústí nad Labem;Rodinné domy [Kč/m2];2021-2023;43642
Průměrná jednotková kupní cena nemovitosti;Ústí nad Labem;Byty [Kč/m2];2019-2021;30152
Průměrná jednotková kupní cena nemovitosti;Ústí nad Labem;Byty [Kč/m2];2020-2022;35477
Průměrná jednotková kupní cena nemovitosti;Ústí nad Labem;Byty [Kč/m2];2021-2023;38995
Průměrná jednotková kupní cena nemovitosti;Česká Lípa;Rodinné domy [Kč/m2];2019-2021;30188
Průměrná jednotková kupní cena nemovitosti;Česká Lípa;Rodinné domy [Kč/m2];2020-2022;35471
Průměrná jednotková kupní cena nemovitosti;Česká Lípa;Rodinné domy [Kč/m2];2021-2023;38367
Průměrná jednotková kupní cena nemovitosti;Česká Lípa;Byty [Kč/m2];2019-2021;25172
Průměrná jednotková kupní cena nemovitosti;Česká Lípa;Byty [Kč/m2];2020-2022;31493
Průměrná jednotková kupní cena nemovitosti;Česká Lípa;Byty [Kč/m2];2021-2023;35910
Průměrná jednotková kupní cena nemovitosti;Jablonec nad Nisou;Rodinné domy [Kč/m2];2019-2021;31778
Průměrná jednotková kupní cena nemovitosti;Jablonec nad Nisou;Rodinné domy [Kč/m2];2020-2022;37229
Průměrná jednotková kupní cena nemovitosti;Jablonec nad Nisou;Rodinné domy [Kč/m2];2021-2023;40890
Průměrná jednotková kupní cena nemovitosti;Jablonec nad Nisou;Byty [Kč/m2];2019-2021;31176
Průměrná jednotková kupní cena nemovitosti;Jablonec nad Nisou;Byty [Kč/m2];2020-2022;36880
Průměrná jednotková kupní cena nemovitosti;Jablonec nad Nisou;Byty [Kč/m2];2021-2023;41200
Průměrná jednotková kupní cena nemovitosti;Liberec;Rodinné domy [Kč/m2];2019-2021;39595
Průměrná jednotková kupní cena nemovitosti;Liberec;Rodinné domy [Kč/m2];2020-2022;44567
Průměrná jednotková kupní cena nemovitosti;Liberec;Rodinné domy [Kč/m2];2021-2023;49139
Průměrná jednotková kupní cena nemovitosti;Liberec;Byty [Kč/m2];2019-2021;39089
Průměrná jednotková kupní cena nemovitosti;Liberec;Byty [Kč/m2];2020-2022;45995
Průměrná jednotková kupní cena nemovitosti;Liberec;Byty [Kč/m2];2021-2023;50308
Průměrná jednotková kupní cena nemovitosti;Semily;Rodinné domy [Kč/m2];2019-2021;30091
Průměrná jednotková kupní cena nemovitosti;Semily;Rodinné domy [Kč/m2];2020-2022;34352
Průměrná jednotková kupní cena nemovitosti;Semily;Rodinné domy [Kč/m2];2021-2023;38661
Průměrná jednotková kupní cena nemovitosti;Semily;Byty [Kč/m2];2019-2021;29128
Průměrná jednotková kupní cena nemovitosti;Semily;Byty [Kč/m2];2020-2022;34478
Průměrná jednotková kupní cena nemovitosti;Semily;Byty [Kč/m2];2021-2023;41879
Průměrná jednotková kupní cena nemovitosti;Hradec Králové;Rodinné domy [Kč/m2];2019-2021;41678
Průměrná jednotková kupní cena nemovitosti;Hradec Králové;Rodinné domy [Kč/m2];2020-2022;46958
Průměrná jednotková kupní cena nemovitosti;Hradec Králové;Rodinné domy [Kč/m2];2021-2023;53570
Průměrná jednotková kupní cena nemovitosti;Hradec Králové;Byty [Kč/m2];2019-2021;46301
Průměrná jednotková kupní cena nemovitosti;Hradec Králové;Byty [Kč/m2];2020-2022;55793
Průměrná jednotková kupní cena nemovitosti;Hradec Králové;Byty [Kč/m2];2021-2023;60751
Průměrná jednotková kupní cena nemovitosti;Jičín;Rodinné domy [Kč/m2];2019-2021;28592
Průměrná jednotková kupní cena nemovitosti;Jičín;Rodinné domy [Kč/m2];2020-2022;32783
Průměrná jednotková kupní cena nemovitosti;Jičín;Rodinné domy [Kč/m2];2021-2023;38293
Průměrná jednotková kupní cena nemovitosti;Jičín;Byty [Kč/m2];2019-2021;31929
Průměrná jednotková kupní cena nemovitosti;Jičín;Byty [Kč/m2];2020-2022;36690
Průměrná jednotková kupní cena nemovitosti;Jičín;Byty [Kč/m2];2021-2023;43179
Průměrná jednotková kupní cena nemovitosti;Náchod;Rodinné domy [Kč/m2];2019-2021;28095
Průměrná jednotková kupní cena nemovitosti;Náchod;Rodinné domy [Kč/m2];2020-2022;31247
Průměrná jednotková kupní cena nemovitosti;Náchod;Rodinné domy [Kč/m2];2021-2023;35953
Průměrná jednotková kupní cena nemovitosti;Náchod;Byty [Kč/m2];2019-2021;24716
Průměrná jednotková kupní cena nemovitosti;Náchod;Byty [Kč/m2];2020-2022;30339
Průměrná jednotková kupní cena nemovitosti;Náchod;Byty [Kč/m2];2021-2023;36401
Průměrná jednotková kupní cena nemovitosti;Rychnov nad Kněžnou;Rodinné domy [Kč/m2];2019-2021;30599
Průměrná jednotková kupní cena nemovitosti;Rychnov nad Kněžnou;Rodinné domy [Kč/m2];2020-2022;34558
Průměrná jednotková kupní cena nemovitosti;Rychnov nad Kněžnou;Rodinné domy [Kč/m2];2021-2023;38626
Průměrná jednotková kupní cena nemovitosti;Rychnov nad Kněžnou;Byty [Kč/m2];2019-2021;30670
Průměrná jednotková kupní cena nemovitosti;Rychnov nad Kněžnou;Byty [Kč/m2];2020-2022;36208
Průměrná jednotková kupní cena nemovitosti;Rychnov nad Kněžnou;Byty [Kč/m2];2021-2023;39637
Průměrná jednotková kupní cena nemovitosti;Trutnov;Rodinné domy [Kč/m2];2019-2021;31565
Průměrná jednotková kupní cena nemovitosti;Trutnov;Rodinné domy [Kč/m2];2020-2022;36276
Průměrná jednotková kupní cena nemovitosti;Trutnov;Rodinné domy [Kč/m2];2021-2023;38872
Průměrná jednotková kupní cena nemovitosti;Trutnov;Byty [Kč/m2];2019-2021;29143
Průměrná jednotková kupní cena nemovitosti;Trutnov;Byty [Kč/m2];2020-2022;34830
Průměrná jednotková kupní cena nemovitosti;Trutnov;Byty [Kč/m2];2021-2023;38521
Průměrná jednotková kupní cena nemovitosti;Chrudim;Rodinné domy [Kč/m2];2019-2021;29526
Průměrná jednotková kupní cena nemovitosti;Chrudim;Rodinné domy [Kč/m2];2020-2022;33852
Průměrná jednotková kupní cena nemovitosti;Chrudim;Rodinné domy [Kč/m2];2021-2023;37368
Průměrná jednotková kupní cena nemovitosti;Chrudim;Byty [Kč/m2];2019-2021;29999
Průměrná jednotková kupní cena nemovitosti;Chrudim;Byty [Kč/m2];2020-2022;35430
Průměrná jednotková kupní cena nemovitosti;Chrudim;Byty [Kč/m2];2021-2023;39415
Průměrná jednotková kupní cena nemovitosti;Pardubice;Rodinné domy [Kč/m2];2019-2021;40097
Průměrná jednotková kupní cena nemovitosti;Pardubice;Rodinné domy [Kč/m2];2020-2022;46187
Průměrná jednotková kupní cena nemovitosti;Pardubice;Rodinné domy [Kč/m2];2021-2023;51361
Průměrná jednotková kupní cena nemovitosti;Pardubice;Byty [Kč/m2];2019-2021;42408
Průměrná jednotková kupní cena nemovitosti;Pardubice;Byty [Kč/m2];2020-2022;50069
Průměrná jednotková kupní cena nemovitosti;Pardubice;Byty [Kč/m2];2021-2023;56218
Průměrná jednotková kupní cena nemovitosti;Svitavy;Rodinné domy [Kč/m2];2019-2021;29424
Průměrná jednotková kupní cena nemovitosti;Svitavy;Rodinné domy [Kč/m2];2020-2022;32922
Průměrná jednotková kupní cena nemovitosti;Svitavy;Rodinné domy [Kč/m2];2021-2023;36284
Průměrná jednotková kupní cena nemovitosti;Svitavy;Byty [Kč/m2];2019-2021;29485
Průměrná jednotková kupní cena nemovitosti;Svitavy;Byty [Kč/m2];2020-2022;34613
Průměrná jednotková kupní cena nemovitosti;Svitavy;Byty [Kč/m2];2021-2023;38969
Průměrná jednotková kupní cena nemovitosti;Ústí nad Orlicí;Rodinné domy [Kč/m2];2019-2021;29522
Průměrná jednotková kupní cena nemovitosti;Ústí nad Orlicí;Rodinné domy [Kč/m2];2020-2022;32674
Průměrná jednotková kupní cena nemovitosti;Ústí nad Orlicí;Rodinné domy [Kč/m2];2021-2023;37034
Průměrná jednotková kupní cena nemovitosti;Ústí nad Orlicí;Byty [Kč/m2];2019-2021;29704
Průměrná jednotková kupní cena nemovitosti;Ústí nad Orlicí;Byty [Kč/m2];2020-2022;35104
Průměrná jednotková kupní cena nemovitosti;Ústí nad Orlicí;Byty [Kč/m2];2021-2023;38536
Průměrná jednotková kupní cena nemovitosti;Havlíčkův Brod;Rodinné domy [Kč/m2];2019-2021;30841
Průměrná jednotková kupní cena nemovitosti;Havlíčkův Brod;Rodinné domy [Kč/m2];2020-2022;34466
Průměrná jednotková kupní cena nemovitosti;Havlíčkův Brod;Rodinné domy [Kč/m2];2021-2023;38176
Průměrná jednotková kupní cena nemovitosti;Havlíčkův Brod;Byty [Kč/m2];2019-2021;28086
Průměrná jednotková kupní cena nemovitosti;Havlíčkův Brod;Byty [Kč/m2];2020-2022;33729
Průměrná jednotková kupní cena nemovitosti;Havlíčkův Brod;Byty [Kč/m2];2021-2023;38963
Průměrná jednotková kupní cena nemovitosti;Jihlava;Rodinné domy [Kč/m2];2019-2021;36151
Průměrná jednotková kupní cena nemovitosti;Jihlava;Rodinné domy [Kč/m2];2020-2022;40435
Průměrná jednotková kupní cena nemovitosti;Jihlava;Rodinné domy [Kč/m2];2021-2023;44493
Průměrná jednotková kupní cena nemovitosti;Jihlava;Byty [Kč/m2];2019-2021;38417
Průměrná jednotková kupní cena nemovitosti;Jihlava;Byty [Kč/m2];2020-2022;44323
Průměrná jednotková kupní cena nemovitosti;Jihlava;Byty [Kč/m2];2021-2023;49034
Průměrná jednotková kupní cena nemovitosti;Pelhřimov;Rodinné domy [Kč/m2];2019-2021;30999
Průměrná jednotková kupní cena nemovitosti;Pelhřimov;Rodinné domy [Kč/m2];2020-2022;33570
Průměrná jednotková kupní cena nemovitosti;Pelhřimov;Rodinné domy [Kč/m2];2021-2023;36168
Průměrná jednotková kupní cena nemovitosti;Pelhřimov;Byty [Kč/m2];2019-2021;29179
Průměrná jednotková kupní cena nemovitosti;Pelhřimov;Byty [Kč/m2];2020-2022;35017
Průměrná jednotková kupní cena nemovitosti;Pelhřimov;Byty [Kč/m2];2021-2023;39380
Průměrná jednotková kupní cena nemovitosti;Třebíč;Rodinné domy [Kč/m2];2019-2021;28918
Průměrná jednotková kupní cena nemovitosti;Třebíč;Rodinné domy [Kč/m2];2020-2022;32726
Průměrná jednotková kupní cena nemovitosti;Třebíč;Rodinné domy [Kč/m2];2021-2023;35914
Průměrná jednotková kupní cena nemovitosti;Třebíč;Byty [Kč/m2];2019-2021;32638
Průměrná jednotková kupní cena nemovitosti;Třebíč;Byty [Kč/m2];2020-2022;38660
Průměrná jednotková kupní cena nemovitosti;Třebíč;Byty [Kč/m2];2021-2023;43595
Průměrná jednotková kupní cena nemovitosti;Žďár nad Sázavou;Rodinné domy [Kč/m2];2019-2021;31381
Průměrná jednotková kupní cena nemovitosti;Žďár nad Sázavou;Rodinné domy [Kč/m2];2020-2022;35527
Průměrná jednotková kupní cena nemovitosti;Žďár nad Sázavou;Rodinné domy [Kč/m2];2021-2023;39242
Průměrná jednotková kupní cena nemovitosti;Žďár nad Sázavou;Byty [Kč/m2];2019-2021;34996
Průměrná jednotková kupní cena nemovitosti;Žďár nad Sázavou;Byty [Kč/m2];2020-2022;41963
Průměrná jednotková kupní cena nemovitosti;Žďár nad Sázavou;Byty [Kč/m2];2021-2023;45984
Průměrná jednotková kupní cena nemovitosti;Blansko;Rodinné domy [Kč/m2];2019-2021;32507
Průměrná jednotková kupní cena nemovitosti;Blansko;Rodinné domy [Kč/m2];2020-2022;35348
Průměrná jednotková kupní cena nemovitosti;Blansko;Rodinné domy [Kč/m2];2021-2023;39443
Průměrná jednotková kupní cena nemovitosti;Blansko;Byty [Kč/m2];2019-2021;33414
Průměrná jednotková kupní cena nemovitosti;Blansko;Byty [Kč/m2];2020-2022;38720
Průměrná jednotková kupní cena nemovitosti;Blansko;Byty [Kč/m2];2021-2023;45631
Průměrná jednotková kupní cena nemovitosti;Brno-město;Rodinné domy [Kč/m2];2019-2021;57975
Průměrná jednotková kupní cena nemovitosti;Brno-město;Rodinné domy [Kč/m2];2020-2022;64207
Průměrná jednotková kupní cena nemovitosti;Brno-město;Rodinné domy [Kč/m2];2021-2023;71967
Průměrná jednotková kupní cena nemovitosti;Brno-město;Byty [Kč/m2];2019-2021;59583
Průměrná jednotková kupní cena nemovitosti;Brno-město;Byty [Kč/m2];2020-2022;69210
Průměrná jednotková kupní cena nemovitosti;Brno-město;Byty [Kč/m2];2021-2023;76704
Průměrná jednotková kupní cena nemovitosti;Brno-venkov;Rodinné domy [Kč/m2];2019-2021;36267
Průměrná jednotková kupní cena nemovitosti;Brno-venkov;Rodinné domy [Kč/m2];2020-2022;40204
Průměrná jednotková kupní cena nemovitosti;Brno-venkov;Rodinné domy [Kč/m2];2021-2023;44782
Průměrná jednotková kupní cena nemovitosti;Brno-venkov;Byty [Kč/m2];2019-2021;37705
Průměrná jednotková kupní cena nemovitosti;Brno-venkov;Byty [Kč/m2];2020-2022;42592
Průměrná jednotková kupní cena nemovitosti;Brno-venkov;Byty [Kč/m2];2021-2023;48053
Průměrná jednotková kupní cena nemovitosti;Břeclav;Rodinné domy [Kč/m2];2019-2021;32927
Průměrná jednotková kupní cena nemovitosti;Břeclav;Rodinné domy [Kč/m2];2020-2022;36937
Průměrná jednotková kupní cena nemovitosti;Břeclav;Rodinné domy [Kč/m2];2021-2023;40790
Průměrná jednotková kupní cena nemovitosti;Břeclav;Byty [Kč/m2];2019-2021;35064
Průměrná jednotková kupní cena nemovitosti;Břeclav;Byty [Kč/m2];2020-2022;42923
Průměrná jednotková kupní cena nemovitosti;Břeclav;Byty [Kč/m2];2021-2023;47075
Průměrná jednotková kupní cena nemovitosti;Hodonín;Rodinné domy [Kč/m2];2019-2021;28627
Průměrná jednotková kupní cena nemovitosti;Hodonín;Rodinné domy [Kč/m2];2020-2022;32411
Průměrná jednotková kupní cena nemovitosti;Hodonín;Rodinné domy [Kč/m2];2021-2023;36150
Průměrná jednotková kupní cena nemovitosti;Hodonín;Byty [Kč/m2];2019-2021;31157
Průměrná jednotková kupní cena nemovitosti;Hodonín;Byty [Kč/m2];2020-2022;37854
Průměrná jednotková kupní cena nemovitosti;Hodonín;Byty [Kč/m2];2021-2023;43691
Průměrná jednotková kupní cena nemovitosti;Vyškov;Rodinné domy [Kč/m2];2019-2021;32721
Průměrná jednotková kupní cena nemovitosti;Vyškov;Rodinné domy [Kč/m2];2020-2022;36578
Průměrná jednotková kupní cena nemovitosti;Vyškov;Rodinné domy [Kč/m2];2021-2023;40835
Průměrná jednotková kupní cena nemovitosti;Vyškov;Byty [Kč/m2];2019-2021;36820
Průměrná jednotková kupní cena nemovitosti;Vyškov;Byty [Kč/m2];2020-2022;41530
Průměrná jednotková kupní cena nemovitosti;Vyškov;Byty [Kč/m2];2021-2023;47809
Průměrná jednotková kupní cena nemovitosti;Znojmo;Rodinné domy [Kč/m2];2019-2021;30645
Průměrná jednotková kupní cena nemovitosti;Znojmo;Rodinné domy [Kč/m2];2020-2022;34289
Průměrná jednotková kupní cena nemovitosti;Znojmo;Rodinné domy [Kč/m2];2021-2023;38913
Průměrná jednotková kupní cena nemovitosti;Znojmo;Byty [Kč/m2];2019-2021;33233
Průměrná jednotková kupní cena nemovitosti;Znojmo;Byty [Kč/m2];2020-2022;39170
Průměrná jednotková kupní cena nemovitosti;Znojmo;Byty [Kč/m2];2021-2023;43497
Průměrná jednotková kupní cena nemovitosti;Jeseník;Rodinné domy [Kč/m2];2019-2021;25229
Průměrná jednotková kupní cena nemovitosti;Jeseník;Rodinné domy [Kč/m2];2020-2022;29440
Průměrná jednotková kupní cena nemovitosti;Jeseník;Rodinné domy [Kč/m2];2021-2023;31400
Průměrná jednotková kupní cena nemovitosti;Jeseník;Byty [Kč/m2];2019-2021;23784
Průměrná jednotková kupní cena nemovitosti;Jeseník;Byty [Kč/m2];2020-2022;30290
Průměrná jednotková kupní cena nemovitosti;Jeseník;Byty [Kč/m2];2021-2023;33874
Průměrná jednotková kupní cena nemovitosti;Olomouc;Rodinné domy [Kč/m2];2019-2021;33166
Průměrná jednotková kupní cena nemovitosti;Olomouc;Rodinné domy [Kč/m2];2020-2022;36770
Průměrná jednotková kupní cena nemovitosti;Olomouc;Rodinné domy [Kč/m2];2021-2023;40837
Průměrná jednotková kupní cena nemovitosti;Olomouc;Byty [Kč/m2];2019-2021;41301
Průměrná jednotková kupní cena nemovitosti;Olomouc;Byty [Kč/m2];2020-2022;48331
Průměrná jednotková kupní cena nemovitosti;Olomouc;Byty [Kč/m2];2021-2023;53315
Průměrná jednotková kupní cena nemovitosti;Prostějov;Rodinné domy [Kč/m2];2019-2021;28319
Průměrná jednotková kupní cena nemovitosti;Prostějov;Rodinné domy [Kč/m2];2020-2022;32296
Průměrná jednotková kupní cena nemovitosti;Prostějov;Rodinné domy [Kč/m2];2021-2023;35880
Průměrná jednotková kupní cena nemovitosti;Prostějov;Byty [Kč/m2];2019-2021;30894
Průměrná jednotková kupní cena nemovitosti;Prostějov;Byty [Kč/m2];2020-2022;37257
Průměrná jednotková kupní cena nemovitosti;Prostějov;Byty [Kč/m2];2021-2023;41542
Průměrná jednotková kupní cena nemovitosti;Přerov;Rodinné domy [Kč/m2];2019-2021;25312
Průměrná jednotková kupní cena nemovitosti;Přerov;Rodinné domy [Kč/m2];2020-2022;28977
Průměrná jednotková kupní cena nemovitosti;Přerov;Rodinné domy [Kč/m2];2021-2023;32456
Průměrná jednotková kupní cena nemovitosti;Přerov;Byty [Kč/m2];2019-2021;27782
Průměrná jednotková kupní cena nemovitosti;Přerov;Byty [Kč/m2];2020-2022;33234
Průměrná jednotková kupní cena nemovitosti;Přerov;Byty [Kč/m2];2021-2023;37673
Průměrná jednotková kupní cena nemovitosti;Šumperk;Rodinné domy [Kč/m2];2019-2021;27063
Průměrná jednotková kupní cena nemovitosti;Šumperk;Rodinné domy [Kč/m2];2020-2022;31194
Průměrná jednotková kupní cena nemovitosti;Šumperk;Rodinné domy [Kč/m2];2021-2023;35137
Průměrná jednotková kupní cena nemovitosti;Šumperk;Byty [Kč/m2];2019-2021;28544
Průměrná jednotková kupní cena nemovitosti;Šumperk;Byty [Kč/m2];2020-2022;33784
Průměrná jednotková kupní cena nemovitosti;Šumperk;Byty [Kč/m2];2021-2023;37656
Průměrná jednotková kupní cena nemovitosti;Kroměříž;Rodinné domy [Kč/m2];2019-2021;24607
Průměrná jednotková kupní cena nemovitosti;Kroměříž;Rodinné domy [Kč/m2];2020-2022;28563
Průměrná jednotková kupní cena nemovitosti;Kroměříž;Rodinné domy [Kč/m2];2021-2023;32890
Průměrná jednotková kupní cena nemovitosti;Kroměříž;Byty [Kč/m2];2019-2021;29944
Průměrná jednotková kupní cena nemovitosti;Kroměříž;Byty [Kč/m2];2020-2022;34972
Průměrná jednotková kupní cena nemovitosti;Kroměříž;Byty [Kč/m2];2021-2023;40291
Průměrná jednotková kupní cena nemovitosti;Uherské Hradiště;Rodinné domy [Kč/m2];2019-2021;26940
Průměrná jednotková kupní cena nemovitosti;Uherské Hradiště;Rodinné domy [Kč/m2];2020-2022;30094
Průměrná jednotková kupní cena nemovitosti;Uherské Hradiště;Rodinné domy [Kč/m2];2021-2023;32183
Průměrná jednotková kupní cena nemovitosti;Uherské Hradiště;Byty [Kč/m2];2019-2021;33904
Průměrná jednotková kupní cena nemovitosti;Uherské Hradiště;Byty [Kč/m2];2020-2022;39481
Průměrná jednotková kupní cena nemovitosti;Uherské Hradiště;Byty [Kč/m2];2021-2023;44002
Průměrná jednotková kupní cena nemovitosti;Vsetín;Rodinné domy [Kč/m2];2019-2021;28449
Průměrná jednotková kupní cena nemovitosti;Vsetín;Rodinné domy [Kč/m2];2020-2022;33074
Průměrná jednotková kupní cena nemovitosti;Vsetín;Rodinné domy [Kč/m2];2021-2023;36493
Průměrná jednotková kupní cena nemovitosti;Vsetín;Byty [Kč/m2];2019-2021;31449
Průměrná jednotková kupní cena nemovitosti;Vsetín;Byty [Kč/m2];2020-2022;38027
Průměrná jednotková kupní cena nemovitosti;Vsetín;Byty [Kč/m2];2021-2023;42506
Průměrná jednotková kupní cena nemovitosti;Zlín;Rodinné domy [Kč/m2];2019-2021;32026
Průměrná jednotková kupní cena nemovitosti;Zlín;Rodinné domy [Kč/m2];2020-2022;36410
Průměrná jednotková kupní cena nemovitosti;Zlín;Rodinné domy [Kč/m2];2021-2023;40618
Průměrná jednotková kupní cena nemovitosti;Zlín;Byty [Kč/m2];2019-2021;38596
Průměrná jednotková kupní cena nemovitosti;Zlín;Byty [Kč/m2];2020-2022;44561
Průměrná jednotková kupní cena nemovitosti;Zlín;Byty [Kč/m2];2021-2023;49242
Průměrná jednotková kupní cena nemovitosti;Bruntál;Rodinné domy [Kč/m2];2019-2021;25213
Průměrná jednotková kupní cena nemovitosti;Bruntál;Rodinné domy [Kč/m2];2020-2022;28289
Průměrná jednotková kupní cena nemovitosti;Bruntál;Rodinné domy [Kč/m2];2021-2023;31198
Průměrná jednotková kupní cena nemovitosti;Bruntál;Byty [Kč/m2];2019-2021;21040
Průměrná jednotková kupní cena nemovitosti;Bruntál;Byty [Kč/m2];2020-2022;26112
Průměrná jednotková kupní cena nemovitosti;Bruntál;Byty [Kč/m2];2021-2023;29263
Průměrná jednotková kupní cena nemovitosti;Frýdek-Místek;Rodinné domy [Kč/m2];2019-2021;32366
Průměrná jednotková kupní cena nemovitosti;Frýdek-Místek;Rodinné domy [Kč/m2];2020-2022;36350
Průměrná jednotková kupní cena nemovitosti;Frýdek-Místek;Rodinné domy [Kč/m2];2021-2023;40503
Průměrná jednotková kupní cena nemovitosti;Frýdek-Místek;Byty [Kč/m2];2019-2021;30711
Průměrná jednotková kupní cena nemovitosti;Frýdek-Místek;Byty [Kč/m2];2020-2022;36608
Průměrná jednotková kupní cena nemovitosti;Frýdek-Místek;Byty [Kč/m2];2021-2023;41328
Průměrná jednotková kupní cena nemovitosti;Karviná;Rodinné domy [Kč/m2];2019-2021;30680
Průměrná jednotková kupní cena nemovitosti;Karviná;Rodinné domy [Kč/m2];2020-2022;34328
Průměrná jednotková kupní cena nemovitosti;Karviná;Rodinné domy [Kč/m2];2021-2023;37593
Průměrná jednotková kupní cena nemovitosti;Karviná;Byty [Kč/m2];2019-2021;23351
Průměrná jednotková kupní cena nemovitosti;Karviná;Byty [Kč/m2];2020-2022;27684
Průměrná jednotková kupní cena nemovitosti;Karviná;Byty [Kč/m2];2021-2023;29653
Průměrná jednotková kupní cena nemovitosti;Nový Jičín;Rodinné domy [Kč/m2];2019-2021;28797
Průměrná jednotková kupní cena nemovitosti;Nový Jičín;Rodinné domy [Kč/m2];2020-2022;32196
Průměrná jednotková kupní cena nemovitosti;Nový Jičín;Rodinné domy [Kč/m2];2021-2023;36402
Průměrná jednotková kupní cena nemovitosti;Nový Jičín;Byty [Kč/m2];2019-2021;26519
Průměrná jednotková kupní cena nemovitosti;Nový Jičín;Byty [Kč/m2];2020-2022;32619
Průměrná jednotková kupní cena nemovitosti;Nový Jičín;Byty [Kč/m2];2021-2023;36891
Průměrná jednotková kupní cena nemovitosti;Opava;Rodinné domy [Kč/m2];2019-2021;30683
Průměrná jednotková kupní cena nemovitosti;Opava;Rodinné domy [Kč/m2];2020-2022;34426
Průměrná jednotková kupní cena nemovitosti;Opava;Rodinné domy [Kč/m2];2021-2023;37336
Průměrná jednotková kupní cena nemovitosti;Opava;Byty [Kč/m2];2019-2021;32209
Průměrná jednotková kupní cena nemovitosti;Opava;Byty [Kč/m2];2020-2022;37604
Průměrná jednotková kupní cena nemovitosti;Opava;Byty [Kč/m2];2021-2023;42200
Průměrná jednotková kupní cena nemovitosti;Ostrava-město;Rodinné domy [Kč/m2];2019-2021;37854
Průměrná jednotková kupní cena nemovitosti;Ostrava-město;Rodinné domy [Kč/m2];2020-2022;41683
Průměrná jednotková kupní cena nemovitosti;Ostrava-město;Rodinné domy [Kč/m2];2021-2023;47733
Průměrná jednotková kupní cena nemovitosti;Ostrava-město;Byty [Kč/m2];2019-2021;32700
Průměrná jednotková kupní cena nemovitosti;Ostrava-město;Byty [Kč/m2];2020-2022;39119
Průměrná jednotková kupní cena nemovitosti;Ostrava-město;Byty [Kč/m2];2021-2023;43486
