Ukazatel,Území,Typ údaje,Odvětví,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2021,110.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2022,125.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2023,132.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2024,134.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2000,84.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2001,87.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2002,87.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2003,87.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2004,90.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2005,90.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2006,89.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2007,92.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2008,95.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2009,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2010,92.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2011,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2012,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2013,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2014,102.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2016,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2017,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2018,100.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2019,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2020,106.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2021,107.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2022,125.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2023,137.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,2024,138.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2000,84.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2001,86.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2002,85.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2003,84.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2004,89.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2005,91.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2006,92.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2007,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2008,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2009,93.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2010,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2011,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2012,102.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2013,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2014,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2016,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2017,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2018,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2019,102.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2020,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2021,109.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2022,131.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2023,134.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl,2024,134.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2000,85.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2001,88.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2002,87.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2003,86.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2004,91.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2005,92.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2006,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2007,95.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2008,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2009,94.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2010,93.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2011,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2012,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2013,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2014,101.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2016,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2017,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2019,102.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2020,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2021,109.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2022,127.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2023,131.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba nerostných surovin + zpracovatelský průmysl - Energie,2024,131.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2000,86.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2001,88.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2002,87.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2003,87.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2004,91.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2005,93.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2006,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2007,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2008,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2009,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2010,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2011,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2012,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2013,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2014,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2016,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2017,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2019,101.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2020,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2021,110.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2022,126.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2023,129.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zprac. prům. - Energie - C10 - C11 - C12,2024,130.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2000,84.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2001,85.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2002,84.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2003,84.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2004,89.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2005,92.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2006,93.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2007,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2008,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2009,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2010,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2011,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2012,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2013,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2014,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2016,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2017,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2018,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2019,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2020,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2021,110.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2022,132.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2023,133.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Težba ner. surovin a zprac. průmysl bez C10, C11, C12",2024,133.1
